person_id,movie_id
2554,ASa14
2554,ASa29
2554,ASa30
2554,ASa31
2554,ASa34
2554,ASa39
2554,ASa41
2554,ASa47
2554,ASa50
2554,ASa51
1907,GM190
1907,GM200
1907,GM210
1907,GM220
1907,GM222
1907,GM223
1907,GM224
1907,GM225
1907,GM226
1907,GM227
1907,GM230
1907,GM237
1907,GM238
1907,GM242
1907,GM305
1907,GM310
346,ISR5
346,ISR10
346,ISR30
374,TB10
374,TB15
374,TB34
374,TB35
374,TB40
374,TB45
374,TB50
374,TB55
374,TB60
374,TB70
2221,AlP50
2879,SaT4
2879,SaT5
2879,SaT6
2879,SaT8
2879,SaT9
2879,SaT10
2879,SaT12
2879,SaT13
2879,SaT17
2879,SaT20
2825,HSt1
2880,SET1
2880,SET8
2878,RyT40
2878,RyT50
2878,RyT55
1623,LvK10
866,REn6
866,REn18
866,REn32
866,REn35
866,REn40
866,REn45
866,REn53
866,REn55
866,REn60
772,xDo10
1031,TG8
1031,TG15
1031,TG16
1031,TG17
1031,TG22
1031,TG27
1031,TG30
1031,TG39
1031,TG42
1154,JGr5
1154,JGr15
1154,JGr18
1154,JGr23
1154,JGr30
1948,LMC13
1948,LMC14
1948,LMC16
1948,LMC18
1948,LMC19
1948,LMC23
1948,LMC24
1037,xGa10
3145,GBW10
455,HPC10
2552,MSa6
2552,MSa7
2552,MSa9
2552,MSa10
2552,MSa12
2552,MSa16
34,MAl2
34,MAl5
34,MAl13
1004,xFl10
35,YAl3
35,YAl10
2419,LeR5
2419,LeR15
2419,LeR25
2314,OP8
2314,OP10
2314,OP12
2314,OP14
2314,OP15
2314,OP17
2314,OP20
2314,OP21
2314,OP23
2314,OP24
2314,OP28
2314,OP29
2314,OP30
2314,OP31
2314,OP32
2314,OP33
2314,OP34
2314,OP35
2314,OP40
2314,OP44
2314,OP50
2314,OP48
61,RoS3
61,RoS4
61,RoS11
61,RoS13
61,RoS15
61,RoS50
61,RoS51
61,RoS52
61,RoS53
61,RoS54
61,RoS55
61,RoS68
61,RoS70
61,RoS80
61,RoS85
61,RoS90
61,RoS92
61,RoS94
61,RoS95
61,RoS98
61,RoS100
61,RoS110
61,RoS112
2924,xTo10
2100,JN2
2100,JN3
2100,JN7
2100,JN9
2100,JN10
2100,JN12
2100,JN13
2100,JN14
2100,JN15
2100,JN16
2100,JN19
2100,JN20
2100,JN22
2100,JN23
2100,JN25
2100,JN31
863,xEn10
2306,HCP5
2306,HCP6
2306,HCP10
2306,HCP12
