3257,actor,WilliamAames,Willie Aames,Aames,William,M,,,,1960,,USA
3258,actor,WilliamAbbott,Bud Abbott,Abbott,William,M,straight comedian,1939,1956,1895,1974,USA
3259,actor,,Diahnne Abbott,,,F,sexy,1976,1982,,,USA
3260,actor,JohnAbbott,John Abbott,Abbott,John,M,"staring eyes, eccentric parts",1937,,1905,,Great Britain
3261,actor,PhilipAbbott,Philip Abbott,Abbott,Philip,M,second lead,1957,1973,1923,,USA
3262,actor,,Kareem AbdulJabbar,,,M,basketball player,,,,,USA
3263,actor,WalterAbel,Walter Abel,Abel,Walter,M,harrassed hero,1935,1974,1898,1987,USA
3264,actor,,F.Murray Abraham,,,M,,1983,,,,
3265,actor,,James Abrahams,,,M,,,,,,
3266,actor,,Maury Abram,,,,,,,,,
3267,actor,,Victoria Abril,,,F,sexy,1985,1990,,,Portugal
3268,actor,JossAckland,Joss Ackland,Ackland,Joss,M,larger-than-life personality,1949,1979,1928,,Great Britain
3269,actor,DanAckroyd,Dan Ackroyd,Ackroyd,Dan,M,comic,1979,1990,,,USA
3270,actor,,David Ackroyd,,,M,,,,1940,,USA
3271,actor,,Peter Ackroyd,,,M,,,,,,
3272,actor,RodolfoAcosta,Rodolfo Acosta,Acosta,Rodolfo,M,cold-eyed,1948,1967,1920,1974,Mexico
3273,actor,EddieAcuff,Eddie Acuff,Acuff,Eddie,M,supporting comedian,1935,1947,1902,1956,USA
3274,actor,JeanAdair,Jean Adair,Adair,Jean,F,sweet aunt,1922,1947,1872,1956,USA
3275,actor,AlfredAdam,Alfred Adam,Adam,Alfred,M,"weak, villainous",1935,,1909,1982,France
3276,actor,RonaldAdam,Ronald Adam,Adam,Ronald,M,"well-bred, stuffy professional",1938,,1896,1979,Great Britain
3277,actor,,John Adames,,,M,,,,,,
3278,actor,BeverlyAdams,Beverly Adams,Adams,Beverly,F,lead,1963,1967,1945,,Canada
3279,actor,BrookeAdams,Brooke Adams,Adams,Brooke,F,laid-back,1977,1983,1949,,USA
3280,actor,CatlinBarab,Catlin Adams,Barab,Catlin,,,,,1950,,USA
3281,actor,DorothyAdams,Dorothy Adams,Adams,Dorothy,F,timorous sullen,1938,1976,1915,,USA
3282,actor,Elizabeth EdithEnke,Edie Adams,Enke,Elizabeth Edith,F,pert comedienne,1960,1979,1929,,USA
3283,actor,JaneAdams,Jane Adams,Adams,Jane,F,,1945,1949,1921,,USA
3284,actor,JuliaAdams,Jill Adams,Adams,Julia,F,pert light lead,1954,1966,1931,,Great Britain
3285,actor,Betty May (Julia)Adams,Julie Adams,Adams,Betty May (Julia),F,soft,1947,1981,1926,,USA
3286,actor,MaudeWikstrom,Maud Adams,Wikstrom,Maude,F,lead,1952,1967,1950,,Sweden
3287,actor,NicholasAdamschock,Nick Adams,Adamschock,Nicholas,M,neurotic aggressive lead,1952,1967,1931,1968,USA
3288,actor,RobertAdams,Robert Adams,Adams,Robert,M,black,1935,1947,1906,,Guyana
3289,actor,,Sam Adams,,,M,comic,,,,,
3290,actor,TomeAdams,Tome Adams,Adams,Tome,M,burly,1963,1975,1938,,Great Britain
3291,actor,DawnAddams,Dawn Addams,Addams,Dawn,F,"smart, glamorous",1951,,1930,1985,Great Britain
3292,actor,WesleyAddy,Wesley Addy,Addy,Wesley,M,"humourless, sinister",1951,,1912,1997,USA
3293,actor,IsabelleAdjani,Isabelle Adjani,Adjani,Isabelle,F,lead,1971,1983,1955,,France
3294,actor,JayAdler,Jay Adler,Adler,Jay,M,character,1938,1965,1899,1978,USA
3295,actor,LuthaAdler,Luther Adler,Adler,Lutha,M,heavy,1937,1981,1903,1984,USA
3296,actor,Jeannede la Fonte,Renee Adoree,de la Fonte,Jeanne,F,exotic,1920,1930,1898,1933,France
3297,actor,MarioAdorf,Mario Adorf,Adorf,Mario,M,European films,1959,1981,1930,,Switzerland
3298,actor,MaxBor,Max Adrian,Bor,Max,M,high camp personality,1934,1971,1902,1973,Ireland
3299,actor,JohnAgar,John Agar,Agar,John,M,lead,1948,1976,1921,,USA
3300,actor,RatiAgnihotri,Rati Agnihotri,Agnihotri,Rati,F,modern dancer,1985,,1960,,India
3301,actor,JennyAgutter,Jenny Agutter,Agutter,Jenny,F,lead,1964,1981,1952,,Great Britain
3302,actor,BrianAherne,Brian Aherne,Aherne,Brian,M,gentle lead,1924,1967,1902,1986,Great Britain
3303,actor,PhilipAhn,Philip Ahn,Ahn,Philip,M,Asiatic,1936,1975,1911,1978,USA
3304,actor,Francoise SoryaDreyfus,Anouk Aimee,Dreyfus,Francoise Sorya,F,poised heartthrob,1947,1983,1932,,France
3305,actor,RichardAinley,Richard Ainley,Ainley,Richard,M,,1936,1949,1910,1967,Great Britain
3306,actor,,Maria Aitkins,,,F,,1989,,,,
3307,actor,,Franklyn Ajaye,,,M,,1976,1978,1949,,USA
3308,actor,MurielAked,Muriel Aked,Aked,Muriel,F,"comedy spinster, gossip",1922,,1887,1955,Great Britain
3309,actor,ClaudeAkins,Claude Akins,Akins,Claude,M,"western villain, burly middle-aged hero",1953,,1918,1994,USA
3310,actor,SerapAksoy,Serap Aksoy,Aksoy,Serap,F,sr,1991,,,,Turkey
3311,actor,,Josh Albee,,,M,,1979,,,,
3312,actor,Anna MariaAlberghetti,Anna Maria Alberghetti,Alberghetti,Anna Maria,F,singer,1951,1960,1936,,Italy
3313,actor,HanAlbers,Han Albers,Albers,Han,M,lead,1923,1960,1892,,Germany
3314,actor,Eddie AlbertHeimberger,Eddie Albert,Heimberger,Eddie Albert,M,honest Joe,1938,1982,1908,,USA
3315,actor,EdwardAlbert,Edward Albert,Albert,Edward,M,light,1965,1982,1951,,USA
3316,actor,,Edward Albert~jr.,,,M,,,,,,
