1381,made_by,Lucien Hubbard,GBS100,Lucien Hubbard
3044,made_by,Hal B. Wallis,RaW59,Hal B. Wallis
3225,made_by,Darryl Zanuck,HK77,Darryl Zanuck
1755,made_by,Albert Lewin,JqF30,Albert Lewin
1755,made_by,Albert Lewin,SFr43,Albert Lewin
1676,made_by,Jessse L. Lasky,FLl62,Jessse L. Lasky
3242,made_by,Zimbalist,IF108,Zimbalist
2825,made_by,Stromberg,RyB10,Stromberg
2038,made_by,Paul Jones,ViS86,Paul Jones
2743,made_by,Edward Small,KV43,Edward Small
2300,made_by,Carlo Ponti,KV64,Carlo Ponti
374,made_by,T.Browning,TB35,T.Browning
1642,made_by,Carl Laemmle~jr.,TB55,Carl Laemmle~jr.
374,made_by,T.Browning,TB60,T.Browning
2825,made_by,Stromberg,WvD51,Stromberg
2825,made_by,Stromberg,WvD53,Stromberg
2825,made_by,Stromberg,WvD58,Stromberg
2825,made_by,Stromberg,WvD60,Stromberg
1730,made_by,Robert Lord,C119,Robert Lord
3044,made_by,Hal Wallis,C120,Hal Wallis
3044,made_by,Hal B. Wallis,C121,Hal B. Wallis
3044,made_by,Hal B. Wallis,C127,Hal B. Wallis
2825,made_by,Stromberg,HB70,Stromberg
2299,made_by,Erich Pommer,RW1,Erich Pommer
984,made_by,Sidney Franklin,CBw41,Sidney Franklin
3242,made_by,Zimbalist,CuB40,Zimbalist
159,made_by,Michael Balcon,RoF20,Michael Balcon
1596,made_by,Alexander Korda,RoF30,Alexander Korda
621,made_by,Jack Cummins,SW33,Jack Cummins
2825,made_by,Stromberg,VF33,Stromberg
2825,made_by,Hunt Stromberg,VF36,Hunt Stromberg
1755,made_by,Albert Lewis,WR86,Albert Lewis
1132,made_by,Edmund Grainger,AC20,Edmund Grainger
1786,made_by,Harold Lloyd,TWh1,Harold Lloyd
1526,made_by,Sam Katzman,WiB100,Sam Katzman
2825,made_by,Stromberg,HSt1,Stromberg
2825,made_by,Hunt Stromberg,W70,Hunt Stromberg
1676,made_by,Jesse L. Lasky,WKH35,Jesse L. Lasky
