Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Caan,AD,JsC,@1980,Caan,James,,\Un,\Am,,
Cabanne,D,CCb,@1940,Cabanne,Christy,,\Un,\Ct,,
Cacoyannis,D,MCy,@1953-1976,Cacoyannis,Michael,1922,\Un,\Gr,,
Cadiff,D,ACf,@1997,Cadiff,Andy,19xx,199x,\Ct,,
E.L.Cahn,D,ELC,@1931-1963,Cahn,Edward L.,1899,1963,\Am,Nt(prodigious),
Sammy~Cahn,M,,@1940-1963,Cahn,Sammy,1913,1992,\Am,Nt(lyrics),
J.M.Cain,B,,1933-1968,Cain,James M.,1892,\Un,\Ct,,
Caiozzi,WDP,SCz,@1990,Caiozzi,Silvio,19xx,\Un,\Ch ile,,
Callow,D,SCa,@1991,Callow,Simon,,\Un,\Am,,
Camerini,D,xCm,@1933,Camerini,Mario,,\Un,\It,Er(1930/1954 same),
J.Cameron,VDWP,JCm,@1978-1994,Cameron,James,1955,\Un,\Ca,"Mt(Gale Ann Hurd;P, Kathryn Bigelow; D) Ww(Roger Corman)",
K.Cameron,D,KCm,@1992,Cameron,Ken,,\Un,\Ct,,
Cammell,D,DCa,@1969-1977,Cammell,Donald,,\Un,\Am,,
Camp,D,JCp,@1981-1982,Camp,Joe,,\Un,\Am,,
Campanella,D,JJC,@1998,Campanella,Juan J.,,\Un,\Ct,,
Campanile,D,PFC,@1970-1971,Campanile,Pasquale Festa,,\Un,\It,,
C.Campbell,D,CoC,@1914,Campbell,Colin,[1],,\Am,Ty(Chicago),
M.Campbell,D,MtC,@1994-1998,Campbell,Martin,,,\Am,,
Campion,D,JCi,@1984-1993,Campion,Jane,,\Un,\Au,Gd(F),
Camus,D,MCm,@1958,Camus,Marcel,1912,1982,\Fr,,
Cannon,D,DCn,@1995-1998,Cannon,Danny,,1980,\Un,,
Capra,D,FC,@1926,Capra,Frank Chico,1897,1991,\It,,
Capuano,D,ACp,@1991,Capuano,Antonio,19xx,\Un,\It,,
Carax,D,LCa,@1985,Carax,L\'eos,,\Un,,Ww(Juliette Biniche) Ty(obscure) Er(year),
Carewe,D,ECa,@1915-1934,Fox,"Jay (Edwin, Arthur Edmund)",1883,1940,\Am,,
Cardiff,CDP,JCa,@1958-1976,Cardiff,Jack,1914,\Un,\Br,,
Cardona,D,RCj,@1977-1980,Cardona,Ren\'e jr.,,\Un,\Ct,,
Cardos,D,ICd,@1979,Cardos,John,[1],\Un,,,
Cardoza,D,AnC,@1979,Cardoza,Anthony,,\Un,,,
Carlsen,D,HCn,@1992,Carlsen,Henning,,\Un,\Sw,
Carlei,WD,CCa,@1993-1995,Carlei,Carlo,19xx,\Un,\It,,
Carlino,D,LIC,@1976-1983,Carlino,Lewis John,,\Un,\Am,,
Carne,DW,MC,@1936-1971,Carn\'e,Marcel,1903,\Un,\Fr,,
Caron,DW,GGC,@1994,Caron,Glenn Gordon,19xx,\Un,\Ct,,
Caros,D,IBC,@1992,Caros,John `Bud',19xx,\Un,\Ct,Er(sp fn),
Carow,D,HCa,@1989,Carow,Heiner,,\Un,\Ge,Or(GDR),
Carpenter,DP,ICa,@1974-1998,Carpenter,John,,\Un,,,
Carr,D,HoC,@1953,Carr,Howard,,\Un,\Am,,
Carra,PD,LuC,@1992,Carra,Lucille,,\Un,\Ct,Gd(F),
Carreras,D,MlC,@1966,Carreras,Michael,,\Un,\Ct,,
Carriere,WP,,1962-1982,Carriere,Jean-Claude,1931,\Un,\Fr,Ww(Louis Bunuel),
Carstairs,D,IPC,@1939-1961,Keys,John Paddy,1912,1970,\Br,,
Carter,D,CrC,@1998,Carter,Chris,,\Un,\Am,,
P.Carter,D,PeC,@1984,Carter,Peter,,\Un,\Am,,
T.Carter,D,ThC,@1970-1993,Carter,Thomas,[10],\Un,\Am,Er(dow),
H.Carver,D,HPC,@1930,Carver,H.P.,,\Un,\Am,Ty(Docu),
S.Carver,D,StC,@1974,Carver,Steve,[1],\Un,,,
JCassavetes,ADWP,ICs,@1961-1983,Cassavetes,John,1929,1989,\Am,,
NCassavetes,D,NCs,@1997,Cassavetes,Nick,19xx,1980,\Am,Ch(Jcassavetes) Mt(Gena Rowlands?),
Castellani,WD,EGC,@1970-1994,Castellani,Enzo Girolami,,199x,\It,,
Caserini,D,MCs,@1913,Caserini,Mario,19xx,\Un,\It,,
