Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Carol~Eastman,W,,@1970,Joyce,Adrien,19xx,\Un,\Ct,,
Eastwood,AD,CEa,@1977-1993,Eastwood,Clint,1930,\Un,\Am,,
G.Eckman,AD,GEc,@1912-1937,Eckman,"G\""osta",1890,1938,\Sw,Pt(Hasse Eckman),
H.Eckman,DAW,HEc,@1940-1964,Eckman,Hasse,1915,1938,\Sw,Pt(Eckman),
Edel,D,UEd,@1982-1992,Edel,Uli,,\Un,\Am,,
Eddington,P,,,Eddington,Samsom,1896,1983,\Am,St(RKO) Ww(Hitchcock),
Edgren,D,GuE,@1935,Edgren,Gustav,,\Un,\Sw,,
Edison,D,ThE,@1904,Edison,Thomas Alva,1847,1831,\Am,,
B.Edwards,AWDP,BE,@1955-1990,McEdwards,William Blake,1922,\Un,\Am,"Ch(Ch(G.Edwards)) Pa(Jennifer Blake; A, Geoffrey Blake, W) Mt(Julie Andrews) Ww(Quine)",
Buck~Edwards,P,,1972,Edwards,Buck,,,\Am,,
G.Edwards,D,JGE,@1915-1924,Edwards,J. Gordon,,\Un,\Am,,
H.Edwards,AD,HeE,@1932-1941,Edwards,Henry,1882,1952,\Br,Mainly(A),
W.Edwards,PWD,WEd,@1969,Edwards,William,,,\Ct,,
Edzard,PD,CEd,@1988-1992,Edzard,Christine,[1],\Un,,Gd(F) Mt(Richard Goodwin),
Egoyan,D,AEy,@1985-1995,Egoyan,Atom,,\Un,\Ca,\Er(dow) Note(Armenian background) Mt(Arsinee Khanjian),
Eichorn,D,FrE,@1956,Eichorn,Franz,19xx,\Un,\Ct,,
Eisenstein,DW,SE,@1924-1944,Eisenstein,Sergei,1898,1948,\Ru,,
Eisner,P,,y-1988,Eisner,Hal,,\Un,\Am,St(Disney) Er(f_name),
Ek,M,MEk,@1998,Ek,Matt,,\Un,\Sw,,
Elias,D,MEl,@1994,Elias,Michael,19xx,\Un,\Ct,,
Ellen,D,DEl,@1998,Ellen,Doug,19xx,199x,\Ct,,
Elliott,D,StE,@1998,Elliott,Stephan,,\Un,\Ct,,
B.Ellis,D,BEE,@1987,Ellis,Bret Easton,,\Un,\Am,,
D.Ellis,D,DRE,@1996,Ellis,David R.,,\Un,\Am,,
J.Ellis,D,,@1987,Ellis,J,,\Un,\Am,,
Elman,D,IrE,@1958,Elman,Irving,,\Un,\Am,Ww(Hitchcock; TV),
Else,D,IEl,@1990,Else,John,19xx,\Un,\Am,Ty(Docu) Er(dow),
Elvey,D,ME,@1912-1956,Folkard,William (Maurice),1887,1967,\Br,,
Emmerich,D,RlE,@1992-1997,Emmerich,Roland,1946,\Un,\Ge,,
Enders,D,RoE,@1978,Enders,Robert,,\Un,\Am,,
Endfield,D,CyE,@1951-1969,Endfield,Cy,,\Un,\Am,,
Engel,D,xEn,@1935,Engel,,[1],\Un,\Ge,,
English,D,IEn,@1935-1951,English,John,1903,\Un,\Br,St(Republic) Ty(West) Ww(Witney),
Englund,PD,GgE,@1962,Englund,George,,\Un,\Ct,,
Enright,ED,REn,@1927-1939,Enright,Ray,1896,1965,\Am,,
Enyedi,D,IlE,@1990,Enyedi,Ildik\^o,[1],\Un,\Hu,,
H.Ephron,WP,,,Ephron,Henry,1911,1992,\Am,Pa(Nora Ephron) Mt(Phoebe Ephron),
N.Ephron,BWAD,NoE,@1992,Ephron,Nora,,\Un,\Am,Gd(F) Si(Delia Ephron) Mt(Carl Bernstein?),
J.Epstein,D,JEp,@1922-1947,Epstein,Jean,1897,1953,\Fr,Inf(Hitchcock) Si(M.Epstein),
Julius~Epstein,WP,,1942-1972,Epstein,Julius J.,1910,1992+,\Am,Si(Philip G. Epstein; twin),
M.Epstein,DW,MEp,@1933-1938,Epstein,Marie,1899,\Un,\Fr,Si(J.Epstein) Gd(F),
Philip~Epstein,W,,1941,Epstein,Philip G.,1910,,\Am,Si(Julius~Epstein; twin),
R.Epstein,DW,REp,@1984,Epstein,Robert,,\Un,\Am,Ty(Docu),
Erschbamer,D,GeE,@1992,Erschbamer,Georg,19xx,\Un,\Ct,,
Erskine,WPD,ChE,@1934-1959,Erskine,Chester,1905,\Un,\Am,,
Essex,D,HEs,@1953,Essex,Harry,,\Un,\Am,,
Eszterhaz,W,id,1997,Eszterhaz,Joe,1945,1998,\Ct,T(sexual situations),
Estevez,D,EmE,@1990,Estevez,Emilio,,\Un,,,
Etaix,WPD,PEt,@1961,Etaix,Pierre,19xx,199x,\Fr,,
Eustache,D,JEu,@1964-1973,Eustache,Jean,[1],\Un,\Fr,,
Evans,D,DME,@1993,Evans,David Mickey,19xx,\Un,\Ct,,
Eyres,D,IEy,@1992,Eyres,John,19xx,\Un,\Ct,,
