Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Aaron,D,PAa,@1979,Aaron,Paul,[1],\Un,\Am,,
Abel,DPW,JeA,@1971,Abel,Jeanne,,\Un,\Am,Ww(Alan Abel),
Abbott,AWDP,GgA,@1929-1958,Abbott,George,1887,\Un,\Am,,
Abrahams,WD,xAb,@1948,Abrahams,,[1],\Un,\Am,"Er(fn [16,4,1])",
J.Abrahams,WD,JiA,@1980-1988,Abrahams,Jim,,\Un,\Am,,
Jeffrey~Abrams,W,,@1991-1992,Abrams,Jeffrey,1967,\Un,\Am,,
Abramson,D,NAb,@1998,Abramson,Neil,,\Un,\Ct,,
Abduladze,D,TAb,@1977,Abduladze,Tengiz,,\Un,\Ru,Or(Georgian),
Abramson,D,NAb,@1998,Abramson,Nel,,\Un,\Ct,,
Ackerman,D,RAA,@1994,Ackerman,Robert Allan,19xx,\Un,\Ct,,
Acub,D,NAA,@1957,Acub,Nya' Abbas,,\Un,\II,,
Ken~Adam,V,,1947-1993,Adam,Ken,1921,\Un,\Ge,,
Adamson,DP,AlA,@1969-1983,Adamson,Al,[1],\Un,\Am,Mt(Regina Carrol),
Addis,D,JuA,@1955-1957,Addis,Justus,[1],,,Ww(Hitchcock; TV),
Adler,D,GAe,@1996,Adler,Gilber,,\Un,\Ct,Er(Gilber),
C.Adler,D,CAd,@1998,Adler,Carine,,\Un,\Br,Ge(F),
Adlon,D,PAd,@1981-1994,Adlon,Percy,[1],\Un,
Adolfi,AD,IGA,@1915-1933,Adolfi,John G.,1888,1933,\Am,Ww(George Arless: A),
Adomenaite,D,NyA,@1991,Adomenaite,Niyole,19xx,\Un,\Ru,Gd(F),
Afredson,D,DAf,@1993,Afredson,Daniel,19xx,\Un,\Sw,
Aguirre,D,MoA,@1991,Aguirre,Monte,19xx,\Un,\Ct,Ty(Docu),
Fred~Ahern,P,,,Ahern,Fred,[1],,\Br,Ww(Hitchcock),
Akerman,D,CAm,@1969-1993,Akerman,Chantal,19xx,\Un,\Be,,
Akkad,D,MAk,@1976,Akkad,Mustapha,[1],\Un,,,
Alardice,W,,,Allardice,James,,\Un,\Am,Ww(Hitchcock 1955-1965) Ty(counterpoint introduction),
Alda,AWD,AAl,@1979-1986,Alda,Alan,1936,\Un,\Am,,
Aldrich,DP,RoA,@1953-1981,Aldrich,Robert,1918,1983,\Am,Nt(P for his films after 1962),
Alea,D,TGA,@1964-1968,Alea,Tomas Gutierrez,1927,1996,\Cu,Mt(Mirta Ibarra),
Alessandrini,D,GoA,@1942,Alessandrini,Goffredo,[1],\Un,\It,,
Alexander,WPD,JAx,@1992,Alexander,Jourdon,19xx,\Un,\Ct,Ty(Porn),
Alexandrov,D,GAv,@1934,Alexandrov,Grigori,19xx,19xx,\Ru,Ty(Musc),
Algar,D,JAl,@1954,Algar,James,19xx,\Un,\Am,Ty(Docu),
Aliwalas,WDA,FcA,@1997,Aliwalas,Francisco,1965,199x,\Ph illipines,,
Algrant,WD,DAl,@1994,Algrant,Dan,19xx,\Un,\Ct,,
M.Allegret,D,MAl,@1931-1963,All\'egret,Marc,1900,1973,\Fr,,
Y.Allegret,D,YAl,@1941-1963,All\'egret,Yves,1907,\Un,\Fr,,
C.Allen,ADW,CoA,@1977-1978,Allen,Corey,1934,\Un,\Am,,
F.Allen,D,FAl,@1940,Allen,Fred,[1],\Un,\Am,St(RKO) Ty(West) Er(dow),
I.Allen,WPD,InA,@1955-1974,Allan,Irwin,1916,1991,\Am,"Ty(instructional, fantasy, disaster)",
L.Allen,D,LAl,@1944-1963,Allan,Lewis,1905,\Un,\Br,,
T.Allen,WD,TAl,@1990,Allan,Ted,[1],\Un,\Am,,
Woody~Allen,WDAP,WA,@1969-1991,Konigsberg,Allen Stewart,1935,\Un,\Am,,
Allers,D,RgA,@1994,Allers,Roger,19xx,\Un,\Ct,,
Almendros,C,,@1965,Almendros,Nestor,1931,1992,\Sp,"Nt(lived in France, U.S.,Cuba) Also(CoD)",
Almond,DW,PlA,@1959-1968,Almond,Paul,,\Un,\Ca,"Ww(Hitchcock, TV)",
Almodovar,DA,PAl,@1980-1994,Almod\'ovar,Pedro,1951,\Un,\Sp,,
Altman,DWP,RAl,@1955-1982,Altman,Robert,1922,\Un,\Am,Ww(Hitchcock),
Amadio,D,SiA,@1960,Amadio,Silvio,,\Un,\It,,
Amaral,D,SuA,@1985,Amaral,Suzana,,\Un,\Br,Gd(F),
Amelio,D,GnA,@1993-1996,Amelio,Gianni,19xx,\Un,\It,,
Amenabar,D,AAm,@1999,Amen\'abar,Alejandro,19xx,19yy,\Sp,,
Amurri,WD,FAm,@1989-1994,Amurri,Franco,,199x,\It,,
Amiel,PD,JoA,@1990-1993,Amiel,Jon,[1],\Un,,,
Anders,D,AAn,@1992-1194,Anders,Allison,,\Un,\Ct,,
Andersen,D,ToA,@1974,Andersen,Thom,19xx,\Un,\Am,Ty(Docu),
B.Anderson,D,BdA,@1996,Anderson,Brad,,\Un,\Am,Er(yr),
K.Anderson,D,KuA,@1991,Anderson,Kurt,,\Un,\Ct,Er(yr),
Lr.Anderson,D,LrA,@1991,Anderson,Laurie,,\Un,\Ct,,
L.Anderson,DA,LiA,@1953-1987,Anderson,Lindsay,1923,1994,\Br,Also(critic),
M.Anderson,D,MiA,@1950-1982,Anderson,Michael,1920,\Un,\Br,,
P.Anderson,WD,PTA,@1997,Anderson,Paul Thomas,19xx,\Un,\Am,Ty(porn),
