Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Kaczender,D,GKc,@1973-1983,Kaczender,Georges,,\Un,\Ca,,
Kadar,D,JaK,@1956-1977,Kadar,Jan,1918,1979,\Cz,Ww(Elmer Klos),
Kagan,D,JPK,@1982-1983,Kagan,Jeremy Paul,,\Un,\Am,,
Kaige,D,ChK,@1993,Kaige,Chen,,\Un,\Ch,,
Kalatozov,D,MKv,@1928-1969,Kalatozov,Mikhail,1903,1973,\Ru,,
Kalin,D,ToK,@1992,Kalin,Tom,,\Un,\Am,,
Kaminsky,D,LnK,@1971,Kaminsky,Leon,,\Un,\Ct,,
Kan,D,JGK,@1998,Kan,Je Gyu,1960,\Un,\Ko rea,,
Kane,D,JKa,@1935-1957,Kane,Joe,1894,1975,\Am,St(Republic) Ty(West),
Kanew,D,JKw,@1983-1986,Kanew,Jeff,[1],\Un,,,
Kanganis,D,CTK,@1994,Kanganis,Charles T.,19xx,\Un,\Ct,,
Kanievska,D,MKa,@1984,Kanievska,Marek,,\Un,,,
Kanin,WD,GaK,@1938-1953,Kanin,Garson,1912,\Un,\Am,Mt(Ruth Gordon),
J.Kaplan,D,JKp,@1975-1994,Kaplan,Jonathan,,\Un,\Am,,
N.Kaplan,D,NKp,@1961-1991,Kaplan,Nelly,,\Un,\Fr,Ty(Docu) Ww(Abel Gance),
R.Kaplan,D,RKp,@1965,Kaplan,Richard,,\Un,\Am,Ty(Docu),
Kapoor,D,RjK,@1971,Kapoor,Raj,[1],1988,\In,ER(197x),
Kapur,D,SKa,@1998,Kapur,Shehkar,,\Un,\Ct,,
Karbelnikoff,D,MKb,@1991,Karbelnikoff,Michael,,\Un,,,
Kardos,D,LeK,@1952,Kardos,Leslie,,\Un,\Am,,,,Karn,D,BiK,@1960,Karn,Bill,,\Un,\Am,,
Karnad,AWD,GiK,@1970,Karnad,Girish,,\Un,\In,,
Karsen,D,ErK,@1980-1989,Karsen,Eric,,\Un,\Am,,
Karlson,D,PhK,@1944-1975,Karlstein,Philip (Phil),1908,\Un,\Am,,
Karya,D,TeK,@1982,Karya,Teguh,,\Un,\II,,
J.Kasdan,D,JoK,@1998,Kasdan,Joe,,\Un,\Am,,
L.Kasdan,WDP,LaK,@1982-1989,Kasdan,Lawrence,,\Un,\Am,[6],
Kaska,PD,,,Kasha,Larry,,1990,\Am,Si(Al Kasha; M),
Kassovitz,DA,MuK,@1994,Kassovitz,Mathiau,1969,\Un,\Fr,,
Kastle,DW,LKa,@1970,Kastle,Leonard,,\Un,,,
Katani,D,TKa,@1981,Katani,Tom,,\Un,,,
Katchatrian,WD,HaK,@1992,Katchatrian,Haroutiun,19xx,\Un,\Ru (Armenian),,
Katselas,D,MiK,@1972-1979,Katselas,Milton,1933,\Un,\Am,,
Katsouridis,D,DKa,@1971,Katsouridis,Dinos,19xx,\Un,\Gr,,
Katzenberg,PD,JKt,@1998,Katzenberg,Jerry,,\Un,\Am,"St(Disney, Dreamworks) Er(D)",
Katzman,P,,1967,Katzman,Sam,,\Un,\Am,,
Katzin,D,LHK,@1969-1979,Katzin,Lee H.,1935,\Un,\Am,,
Kaufer,D,JKf,@1998,Kaufer,Jonathan,,\Un,\Ct,,
Boris~Kaufman,C,,1934,Kaufman,Boris,,\Un,\Fr,Si(Dziga Vertov),
G.S.Kaufman,WD,GSK,@1947,Kaufman,G.S.,,\Un,\Am,Ty(Comd),
J.Kaufman,D,JKm,@1918,Kaufman,Joseph,,\Un,\Am,,
