Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Sachs,WD,WSa,@1977-1980,Sachs,William,19xx,\Un,\Ct,,
Sackheim,D,DSa,@1995,Sackheim,Daniel,19xx,199x,\Ct,,
Saderman,D,AoS,@1993,Saderman,Alejandro,19xx,199x,\Ar gentina,,
Sagal,D,BoS,@1958-1971,Sagal,Boris,,1982,,"Ww(Hitchcock, TV) Ty(TV)",
Sakellarios,D,ASk,@1955,Sakellarios,Alekos,19xx,\Un,\Gr,,,
Saks,DS,GSs,@1967-1978,Saks,Gene,1921,\Un,\Am,,
Sale,WD,RrS,@1951-1955,Sale,Richard,19xx,\Un,\Ct,,
Salkow,D,SSa,@1965,Salkow,Sidney,,\Un,\Ct,,
Salomon,CD,MkS,@1993,Salomon,Mikael,,\Un,\Ct,,
W.Salt,W,,1969-1978,Salt,Waldo,,\Un,\Am,Nt(Stanford '34),,
Saltzman,P,,1948-1980,Saltzman,Harry,1915,1994,\Ca,Ty(Actn: Bond),
Salter,BWD,JSt,@1968,Salter,James,,199x,\Am,,
Salva,D,VSa,@1987-1996,Salva,Victor,,\Un,\Ct,Ty(Horr),
Salvatores,D,GSa,@1992,Salvatores,Gabriele,,\Un,\It,,
Samanta,D,ASt,@1998,Samanta,Ashim S.,,\Un,\In,,
Samples,WD,KSa,@1997,Samples,Keith,19xx,199x,\Ct,,
Sancher,WD,HpS,@1998,Sancher,Hampton,,\Un,\Ct,,
Sander,WD,HSa,@1992,Sander,Helke,19xx,\Un,\Ge,,
SandersBrahms,WD,HSB,@1985,Sanders-Brahms,Helma,19xx,\Un,\Ge,,
Sandgren,D,AkS,@1994,Sandgren,Ake,19xx,\Un,\Sw,,
Sandrich,D,MSa,@1930-1944,Sandrich,Mark,1900,1945,\Am,,
J.Sandrich,D,JSd,@1980,Sandrich,Jay,,,\Am,,
Sanjines,D,JSa,@1969,Sanjines,J,,\Un,\Bo livia,,
Santell,WADP,ASa,@1915-1946,Santell,Al,1895,1981,\Am,,
Santiago,D,CiS,@1990,Santiago,Cirio,,\Un,\Ph illipines,Er(Ph?),
Santino,D,JcS,@1983,Santino,Jack,,\Un,,,
Santley,ADW,JS,@1929-1950,Mansfield,Joseph,1889,1971,\Am,Mt(Ivy Sawyer),
dosSantos,D,NPS,@1955-1971,dos Santos,Nelson Pereira,,\Un,\Bz,Ty(Cinema Novo),
Sarafian,D,RSa,@1973-1970,Sarafian,Richard C.,,\Un,\Am,,
Sargent,D,JSg,@1966-1980,Sargent,Joseph,,\Un,\Am,,
Sarne,AD,MiS,@1966-1969,Sarne,Michael,1939,\Un,\Br,,
Sanford,D,ASf,@1996,Sanford,Arlene,,\Un,\Ct,Ge(F),
Sasdy,D,PeS,@1970-1983,Sasdy,Peter,,\Un,\Ct,,
Saunders,W,,1927-1935,Saunders,John Monk,1895,1940,\Am,,
Saura,D,CSr,@1977-1989,Saura,Carlos,[1],\Un,\Sp,,
