Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Wachowski,D,AWw,@1995,Wachowski,Andy,,\Un,\Ct,,
Wadleigh,D,MWa,@1970-1981,Wadleigh,Michael,,\Un,\Am,,
Waggner,AWMDP,GWg,@1938-1959,Waggoner,George,1894,\Un,\Am,"Ty(West,Horr)",
Wagner,WPD,PaW,@1994,Wagner,Paul,19xx,\Un,\Ct,Mt(Ellen Casey Wagner) Aw(AA ; 19xx),
Wajda,D,AWj,@1954-1992,Wajda,Andrzej,1926,\Un,\Po,,
D.Walker,D,DWa,@1984,Walker,Dorian,,\Un,\Am,,
P.Walker,D,PWa,@1982,Walker,Pete,,\Un,\Am,,
S.Walker,D,StW,@1931-1940,Walker,Stuart,1887,1941,\Am,,
M.Wallace,WD,MWl,@1987,Wallace,Mary,,,\Am,Ty(Docu) Gd(F),
Ri.Wallace,ED,RWa,@1927-1950,Wallace,Richard,1894,1951,\Am,,
Ra.Wallace,D,RWc,@1998,Wallace,Randall,,,\Am,,
T.L.Wallace,D,TLW,@1991,Wallace,Tommy Lee,,\Un,\Am,,
Waller,D,AyW,@1996,Waller,Anthony,,199x,\Un,,
Wallis,P,,1930-1975,Wallis,Hal B.,1899,\Un,\Am,"Nt(f_name: Harold Brent) St(Warners) Fd(Hal Wallis Productions;1944) Mt(Loise Fazenda, Martha Hyer)",
Walls,SD,TWa,@1935,Walls,Tom,,\Un,\Br,,
Walsh,AD,RaW,@1915-1964,Walsh,Raoul,1887,1980,\Am,InB(D.W. Griffiths),
Bill~Walsh,WP,,1960,Walsh,Bill,,,\Am,,
Walters,D,ChW,@1943-1966,Walters,Charles,1911,1982,\Am,Ty(Musc) Also(Dancer),
Walton,D,FWa,@1979,Walton,Fred,,\Un,\Am,,
Walz,WD,MWz,@1998,Walz,Martin,,\Un,\Ge,,
Wanamaker,AD,SWa,@1977,Wanamaker,Sam,1919,1993,\Am,,
Wang,D,WaW,@1982-1989,Wang,Wayne,,\Un,\HK,Mt(Cora Miao),
Wanger,P,,,Feuchtwanger,"Lion, Walter",1894,1968,\Os,St(U.A.) Ww(Hitchcock) Mt(Joan Bennett),
D.S.Ward,WD,DSW,@1982-1993,Ward,David S.,[1],\Un,,,
V.Ward,WD,ViW,@1988-1998,Ward,Vincent,,\Un,\NZ,,
Wargnier,D,RWg,@1993,Wargnier,R\'egis,19xx,\Un,\Fr,,
Warhol,D,AWa,@1963-1967,Warhol,Andy,1926,\Un,\Am,,
A.Warner,P,,1916-,Warner,Abe,[1],,\Am,,
D.Warner,D,DbW,@1999,Warner,Deborah,19xx,19yy,\Ct,Ge(F),
H.Warner,P,,1916-,Warner,Harry,[1],,\Am,,
J.Warner,P,,1916-,Warner,Jack L.,1892,1978,\Am,,
S.Warner,P,,1916-,Warner,Sam,[1],1927,\Am,Mt(Lina Basquette) Fd(Vitaphone),
Harry~Warren,M,,1930-1954,Guaragna,Salvatore,1893,\Un,\Am,,
Wartman,D,SoW,@1992,Wartman,Sonke,19xx,\Un,\Ge,,
Waszynski,D,MaW,@1938,Waszynski,Machael,,\Un,\Ct,,
Waters,DA,IWa,@1969-1994,Waters,John,[1],\Un,\Am,Ty(Porn),
Watt,D,HWa,@1936-1959,Watt,Harry,1906,1987,\Br,St(GPO) Er(St?),
Watts,D,RWs,@1983,Watts,Roy,,\Un,\Am,,
Waxman,M,,1930-1950,Waxman,Franz,,\Un,\Ge,"Ww(Universal, MGM, Warners) Nt(more than 140 films)",
J.Wayne,APD,JWa,@1960-1968,Morrison,Marion Michael (John),1907,1979,\Am,,
M.Wayne,P,,,Wayne,Michael,1934,\Un,\Am,St(Batjac) Ch(John Wayne),
J.Webb,APD,JWe,@1954-1962,Webb,Jack,1920,1982,\Am,,
J.R.Webb,W,,1963,Webb,James R.\,,\Un,\Am,Nt(Stanford '30),
M.Webb,D,MlW,@1926-1929,Webb,Millard,[1],\Un,\Am,,
R.D.Webb,CD,RDW,@1953-1970,Webb,Robert D.,1903,\Un,,,
Weber,WD,LoW,@1913,Weber,Lois,[1],\Un,\Am,Gd(F) Mt(Phillips Smalley),
B.Weber,CD,BWb,@1986,Weber,Bruce,,\Un,\Am,Er(D),
Weeks,D,AnW,@1992,Weeks,Andrew,19xx,\Un,\Am,Ty(Docu),
Weide,D,RWd,@1999,Weide,Robert,,\Un,\Ct,,
Wegener,AWD,PW,@1913,Wegener,Paul,1874,1948,\Ge,,
Weiland,D,PlW,@1994,Weiland,Paul,19xx,\Un,\Ct,,
Weill,D,ClW,@1975,Weill,Claudia,,\Un,\Am,Gd(F),
Weintraub,P,,1962,Weintraub,Sy,,\Un,\Am,,
Weir,D,PWr,@1971-1993,Weir,Peter,1944,\Un,\Au,"Inb(Capra, Hitchcock)",
D.Weis,D,DoW,@1951-1966,Weis,Don,1922,\Un,\Am,"Ww(Hitchcock, TV)",
G.Weis,D,GaW,@1980,Weis,Gary,,\Un,\Am,,
Weisberg,D,RgW,@1993,Weisberg,Roger,19xx,\Un,\Ct,,
Weisman,D,SWm,@1999,Weisman,Sam,,\Un,\Ct,,
Weiss,D,RbW,@1994,Weiss,Rob,19xx,\Un,\Ct,,
Wekwerth,D,MWe,@1957-1961,Wekwerth,Manfred,,\Un,\Ger many (East),,
