Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Rademakers,D,FRa,@1980,Rademakers,Fons,,\Un,\Du tch,,
Radford,D,MiR,@1984,Radford,Michael,,,,,
Radler,D,RRa,@1989,Radler,Robert,,\Un,\Am,,
Rafelson,DW,BRf,@1970-1997,Rafelson,Bob,1934,\Un,\Am,,
Rafkin,D,ARa,@1967,Rafkin,Alan,,\Un,,Er(Or),
Ragona,D,UbR,@1964,Ragona,Ubaldo,19xx,\Un,\It,,
Raimi,DA,SRi,@1977-1990,Raimi,Sam,1960,\Un,\Am,,
Rainer,D,YRa,@1974,Rainer,Yvonne,19xx,\Un,\Am,,
Ramis,AWD,HaR,@1980-1993,Ramis,Harold,,\Un,,,
Ramsay,WD,LyR,@1999,Ramsay,Lynn,19xx,19yy,\GB,,
Randel,D,CRd,@1992,Randel,Christopher,19xx,\Un,\Am,,
Ranga,D,DRa,@1997,Ranga,Donna,,199x,\Un,,
Ransick,DW,WhR,@1993,Ransick,Whitney,19xx,\Un,\Am,,
Ransohoff,WP,,1962-93,Ransohoff,Martin,1927,\Un,\Am,,
Rappaport,WD,MRa,@1996,Rappaport,Mark,,\Un,\Ct,,
Rappeneau,D,JPR,@1977-1991,Rappeneau,Jean-Paul,*,\Un,\Fr,,
Rapper,D,IrR,@1941-1978,Rapper,Irving,1898,\Un,\Am,St(Warners),
Rash,D,SRa,@1981,Rash,Steven,[1],\Un,\Am,,
Ratner,D,BRa,@1997-1999,Ratner,Brett,,199x,\Un,,
Ratoff,AD,GrR,@1937-1957,Ratoff,Gregory,1897,1960,\Ru,,
Ravel,D,GRv,@1928,Ravel,Gaston,19xx,\Un,\Fr,,
Irving~Ravetch,,,1958,Ravetch,Irving,,\Un,\Am,Mt(Harriet Frank~jr.; W),
Ravett,D,ARv,@1989,Ravett,Abraham,,\Un,\Ct,,
Rawlins,D,IRa,@1946-1947,Rawlins,John,,\Un,\Am,Ty(Actn: Dick Tracy) ER(Jack?),
F.O.Ray,D,FOR,@1980-1990,Ray,Fred Olen,,\Un,\Am,"Ty(B-movies, Porn)",
Man~Ray,D,MnR,@1923,Radnitsky,Emmanuel,1890,1976,\Am,Ty(surreal) Ww(Meret Oppenheim),
N.Ray,WDA,NR,@1947-1976,Kienzle,Raymond Nicholas,1911,1979,\Am,,
S.Ray,D,SR,@1954-1977,Ray,Satyajit,1921,1992,\In,Aw(AFI Lifetime AA? 1992) InB(Billy Wilder) Pa(Sondeep Ray; D),
Raymond,PD,JRa,@1934-1952,Caines,John (Jack),1892,11953,\Br,Ty(Comd),
S.Raymond,D,SRd,@1973,Raymond,Susan,19xx,\Un,\Am,Mt(Allen Raymond),
Redford,AD,RR,@1980-1998,Redford,"Charles Robert, jr.",1937,\Un,\Am,Mt(Lola van Wagenen;),
C.Reed,D,CR,@1934-1972,Reed,Sir Carol,1906,1976,\Br,Ty(civilized),
L.Reed,WD,LuR,@1929-1930,Reed,Luther,,\Un,\Am,,
T.Reed,D,ThR,@1939,Reed,Theodore,,\Un,\Am,,
Rees,D,JeR,@1991,Rees,Jerry,,\Un,\Am,,
Reeves,D,MRv,@1965-1968,Reeves,Michael,1944,1969,\Br,,
Regan,D,RRe,@1990,Regan,Rob,,\Un,,,
Reggio,DW,GoR,@1983-1988,Reggio,Godfrey,,,,[1],
Reichert,D,MRc,@1980,Reichert,Mark,,\Un,\Am,,
C.Reiner,AWD,CaR,@1959-1989,Reiner,Carl,1922,\Un,\Am,Ty(Comd),
Reid,D,IRd,@1979-1994,Reid,John,,199x,\NZ,,
R.Reiner,D,RbR,@1983,Reiner,Robert,,,\Am,Mt(Penny Marshall),
Reinert,D,ARt,@1990,Reinert,Al,,\Un,\Am,Ty(Docu),
G.Reinhardt,WPD,GxR,@1961-1964,Reinhardt,Gottfried,1913,1994,,"St(MGM) Ch(Max Reinhardt) Note(W,P since 1940)",
M.Reinhardt,D,MxR,@1935,Reinhardt,Max,,\Un,,,
Reinl,D,HrR,@1961-1962,Reinl,Harald,19xx,\Un,\Ge,,
Reis,DP,IgR,@1940-1952,Reis,Irving,1906,1953,\Am,,
Reisch,D,WRh,@1945,Reisch,Walter,,\Und,\Un,Er(dow),
A.Reisner,D,AlR,@1958-1972,Reisner,Allen,,\Un,\Am,,
Ch.Reisner,D,ChR,@1925-1950,Reisner,Charles,1887,1962,\Am,Er(Riesner?),
Reitherman,D,WRe,@1961-1986,Reitherman,Wolfgang (Woolie),,\Un,,Er(dow-end),
Reitz,Dw,ERz,@1974-1984,Reitz,Edgar,"[1,4]",\Un,\Ge,,
Reisz,DP,KRz,@1958-1981,Reisz,Karel,1926,\Un,\Cz,,
Reitman,D,IvR,@1971-1990,Reitman,Ivan,,\Un,\Ca,,
Relph,VPD,MRe,@1957-1957,Relph,Michael,1915,\Un,\Br,Ww(Dearden as P),
Rene,D,NRe,@1990,Ren\'e,Norman,,\Un,\Ct,,
C.Renoir,C,,1934-1977,Renoir,Claude,1914,\Un,\Fr,,
J.Renoir,D,JR1,@1924-1969,Renoir,Jean,1894,1979,\Fr,"Si(Pierre Renoir (A)), Ch(Auguste Renoir) Mt(Catherine Hessling,)",
Renzi,PA,id,@1997,Renzi,Maggie,,199x,\Un,Ww(John Sayles),
Resnais,D,AR,@1959-1976,Resnais,Alain,,,\Fr,,
Revier,D,HRv,@1935,Revier,Harry,,\Un,\Am,,
B.Reynolds,AD,BuR,@1976-1981,Reynolds,Burt,,\Un,\Am,,
G.Reynolds,D,GeR,@1960,Reynolds,Gene,,\Un,\Am,,
K.Reynolds,AD,KeR,@1991,Reynolds,Kevin,,\Un,,,
D.Rich,D,DLR,@1958-1983,Rich,David Lowell,1923,\Un,\Am,,
M.Rich,DA,MtR,@1991,Rich,Matty,1972,\Un,\Am,,
Richards,D,DRi,@1975-1983,Richards,Dick,,\Un,\Am,,
P.Richardson,AWD,PRs,@1991,Richardson,Peter,,\Un,\Ct,,
T.Richardson,DP,TRs,@1959-1990,Richardson,Tony,1927,\Un,\Br,Mt(Vanessa Redgrave) Lv(Jeanne Moreau),
Richebe,D,xRi,@1941,Richebe,gn,[1],\Un,\Fr,,
Richert,WD,WRi,@1979,Richert,William,,\Un,\Am,,
Richet,D,JRi,@1992,Richet,Jean-Francois,,\Un,\Fr,,
Richter,D,HRi,@1946,Richter,Hans,,\Un,\Ge,,
Rickman,AWD,ARm,@1997,Rickman,Alan,19xx,199x,\Am,,
Riefenstahl,AD,LeR,@1932-1945,Riefenstahl,Leni,1902,\Un,\Ge,Ty(Nazi propaganda) Gd(F),
Rifkin,WD,ARk,@1994,Rifkin,Adam,19xx,\Un,\Ct,,
Riggs,D,MRg,@1993,Riggs,Marlon,1957,1994,\Am,Ty(Docu),
Righelli,D,GRi,@1920-1946,Righelli,Gennaro,,\Un,\It,,
Rilla,DW,WoR,@1953-1973,Rilla,Wolf,1920,\Un,\Br,Ch(Walter Rilla; A),
Rim,D,CrR,@1951,Rim,Carlos,[1],\Un,,Er(name),
Ringel,D,DeR,@1992,Deborah,Ringel,19xx,\Un,\Am,Mt(Alfredo Ringel),
Ripley,D,AtR,@1958,Ripley,Arthur,,\Un,\Am,,
Ripploh,D,FRi,@1981,Ripploh,Frank,,\Un,\Ge,,
Ripstein,D,ARi,@1985,Ripstein,Arturo,,\Un,\Me,Er(dow),
Risi,D,DnR,@1982,Risi,Dino,,\Un,\It,,
Risyaf,D,MRi,@1987,Risyaf,M.T.,,\Un,\II,,
Ritchie,WD,GRt,@1999,Ritchie,Guy,1968,\Un,\Br,,
M.Ritchie,DP,MRt,@1967-1992,Ritchie,Michael,1919,\Un,\Am,,
Ritt,DA,MR,@1956-1983,Ritter,Martin,1919,1990,,
Rivette,D,JqR,@1956-1991,Rivette,Jacques,1928,\Un,\Fr,Also(critic),
Roach,APD,HRo,@1933-1941,Roach,Hal,1892,1992,\Am,"Aw(AA lifetime; 1984, 1991) Ty(gag comedies) St(MGM) Ty(shorts))",
Rob,D,MkR,@1987,Rob,Mike,,\Un,\Ct,,
RobbeGrillet,WD,ARG,@1962-1966,Robbe-Grillet,Alain,1922,\Un,\Fr,Ww(Resnais),
RobertsonPearce,D,PRP,@1990,Robertson-Pearce,Pamela,19xx,\Un,\Ct,,
A.Robbins,D,ARb,@1987,Robbins,Arthur,[1],\Un,,,
H.Robbins,B,,,Robbins,Robbins,1916,1997,\Am,,
M.Robbins,D,MRb,@1979,Robbins,Matthew,*,\Un,\Am,Ww(Hal Barwood),
T.Robbins,AWD,TRb,@1992-1996,Robbins,Tim,,\Un,\Am,,
Robert,D,GvR,@1988,Robert,Genevieve,[1],\Un,\Am,Gd(F),
Y.Robert,D,YvR,@1954-1982,Robert,Yves,,\Un,\Fr,,
A.Roberts,D,ARo,@1982,Roberts,Alan,,\Un,\Am,,
J.Roberts,D,IRo,@1998,Roberts,John,,\Un,\Am,,
S.Roberts,D,StR,@1932-1936,Roberts,Stephen,1895,1936,\Am,,
Robertson,D,ISR,@1917-1935,Robertson,John S.,1878,1964,\Ca,,
A.Robinson,D,ArR,@1929,Robinson,Arthur,[1],\Un,\Br,,
B.Robinson,DW,BRo,@1989-1992,Robinson,Bruce,,\Un,\Ct,,
