stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Lauren Bacall,1944-1981,Perske,Betty Jean,F,1924,199x,R:sultry to resourceful,USA,,"Mt(Humphrey Bogart) Lw(Frank Sinatra, Anthony Quinn) Aw(AFI#20) Aw(AP)",
Barbara Bach,1977-1981,Bach,Barbara,F,1951,199x,R:lead,\Ge,,Mt(Ringo Starr),
Pamela Bach,,Bach,Pamela,F,1962,199x,RU:,USA,,Mt(David Haselhoff; singer),
Amitabh Bachchan,1970-1980,bn,fn,M,1942,199x,R:romantic hero Am,,Nt(India's most popular male star),
Jim Backus,1958-1980,Backus,Jim,M,1913,1989,R:burly comedian,USA,,"Also(vaudeville,radio)",
Kevin Bacon,1984-1990,,,M,[1],199x,RU:,\Un,,Cit(3),
Hermione Baddeley,1940-1964,Baddely,Hermione,F,,1986,R:sr,,,,
Alan Badel,1953-1980,Badel,Alan,M,1923,1982,R:sensitive,Great Britain,,,
Buddy Baer,1949-1961,Baer,Jacob Henry,M,1915,199x,RU:,USA,,Si(Max Baer) Also(boxer),
Harry Baer,1979-1980,,,M,[1],199x,RU:,\Un,Cit(2),
Max Baer,1933-1958,Baer,Max,M,1909,1959,R:boxer,USA,,Also(boxer),
Pearl Bailey,1047-1976,Bailey,Pearl,F,1918,1990,R:black singer,USA,,,,,
Barbara Bain,1971-1973,Bain,Barbara,F,1932,199x,R:lead,USA,,Mt(Martin Landau),
Fay Bainter,1934-1962,Bainter,Fay,F,1892,1968,R:stalwart matron,USA,[4.697],,,
Scott Baio,1978-1982,Baio,Scott,M,1961,199x,R:teenager,USA,,,
Blanche Baker,1984-1990,,,F,[1],199x,RU:,\Un,,Cit(2),
Carrol Baker,1953-1983,Baker,Carrol,F,1931,199x,R:sex symbol,USA,[9.148],,,
Diane Baker,1959-1971,Baker,Diane,F,1936,199x,R:demure,USA,,,
Hylda Baker,1960-1973,Baker,Hylda,F,1909,199x,R:comedienne,Great Britain,,,
Joe Don Baker,1967-1979,Baker,Joe Don,M,1943,199x,R:tough,USA,,,
Josephine Baker,1927,Baker,Josephine,F,1906,1975,R:sexy dancer,USA,,,
Kathy Baker,1987-1990,,,F,[1],199x,R:good girl,USA,,Cit(4),
Kenny Baker,1936-1946,Baker,Kenny,M,1912,199x,R:crooner,USA,,,
Ruby Baker,1982,,,F,[1],199x,RU:,\Un,,Cit(1),
Stanley Baker,1941-1975,Baker,Sir Stanley,M,1927,1976,R:virile,Great Britain; Welsh,,"Also(D,P)",
Tom Baker,1971-1975,Baker,Tom,M,1935,199x,R:larger than life,Great Britain,,Ty(Doctor Who),
Bob Balaban,1978-1966,Balaban,Bob,M,1965,199x,R:character,USA,,Also(D),
Jill Balcon,1947,Balcon,Jill,F,1925,199x,RU:,Great Britain,,Ch(Michael Balcon) Pa(Daniel DayLewis),
Rebecca Balding,,,,F,[1],199x,RU:,\Un,,
Adam Baldwin,1980-1989,,,M,[1],199x,RU:,\Un,,Cit(2),
Alec Baldwin,1988-1990,Baldwin,Alec,M,195x,199x,R:peevish,,[1],,Mt(Kim Basinger),
Daniel Baldwin,,Baldwin,Daniel,M,[1],199x,RU:,USA,,Si(Alec Baldwin) Cit(0),
Stephen Baldwin,,Baldwin,Stephen,M,1963+,199x,RU:,USA,,"Si(Alec Baldwin, Daniel Baldwin, William Baldwin) Cit(0)",
