stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
James Caan,1963-1982,Caan,James,M,1938,,R:hero,USA,[4.68],,,
Bruce Cabot,1932-1971,deBujac,Etienne Pelissier,M,1904,1972,R:hero,USA,,,
Sebastian Cabot,1936-1973,Cabot,Sebastian,M,1918,1977,R:pompous,Great Britain,,,
Jean Cadell,1930-1960,Cadell,Jean,F,1884,1967,"R:acidulous spinster, latterly dowager",Great Britain(Sc),
Sid Caesar,1945-1981,Caesar,Sid,M,1922,,R:comedian,USA,,,
Cheri Caffaro,,,,F,[1],,RU:,,,
Nicolas Cage,1988,Coppola,Nicolas,M,1964,,R:awkward charm,USA,,Lw(Christina Fulton) Ch(Si(Francis Ford Coppola; D)),
Jeanne Cagney,1940-1965,Cagney,Jean,F,1919,,RU:,USA,,Si(James Cagney),
Jimmy Cagney,1930-1980,Cagney,James,M,1899,1986,"R:cocky, tough",USA,"[4.116,137,1136]",,Aw(AFI#8),
William Cagney,1933,Cagney,William,M,,,RU:,USA,,Si(James Cagney),,Also(P),
Howard Caine,1948-1961,Cohen,Howard,M,1926,1993,R:German,USA,,Mainly(TV: Major Hochstedder in Hogan's Heroes),
Michael Caine,1956-1983,Micklewhite,Maurice,M,1933,,R:mild cockney,Great Britain,,Mt(Shakira Caine) Also(P),
Shakira Caine,1975,,,F,[1],,RU:,,,Mt(Michael Caine),
Anna Calder-Marshall,1970-1979,Calder-Marshall,Anna,F,1949,,R:lead,Great Britain,,,
Louis Calhern,1921-1956,Vogt,Carl,M,1895,1956,R:statesmanlike,USA,,,
Rory Calhoun,1944-1972,Durgin,Frances Timothy,M,1922,,R:amiable,USA,[34.21],,,
Joseph Cali,,,,M,[1],,RU:,,,
Michael Callan,1958-1975,Caliniff,Martin,M,1935,,R:lead,USA,,,
Maria Callas,1971-1971,Kalogeropolos,Maria,F,1923,1977,R:non-singing role,USA,,,
Joseph Calleia,1931-1963,Spurin-Calleia,Joseph,M,1897,1975,R:sinister humor,Maltese,[4.401],,,
Simon Callow,,,,M,[1],,RU:,,,
Cab Calloway,1932-1980,Calloway,Cabell,M,1907,1994,R:high-spirited scat singer,USA,,,
Donald Calthrop,1918-1940,Calthrop,Donald,M,1888,1940,R:slightly-built nervy villain,Great Britain,[4.753],Ww(Hitchcock),
Phyllis Calvert,1939-1969,Bickle,Phyllis,F,1915,,R:good girl,Great Britain,,,
Corinne Calvet,1945-1965,Dibos,Corinne,F,1925,,R:statuesque,France,,,
Henry Calvin,1960-1963,Calvin Goodman jr.,Wimberly,M,1918,1975,R:rotund,USA,,,
Godfrey Cambridge,1959-1972,Cambridge,Godfrey,M,1929,1976,R:comic,USA,,,
Rod Cameron,1940-1976,Cox,Nathan,M,1910,1983,R:rugged,Canada,,,
Coleen Camp,,,,F,[1],,RU:,,[4.182],,,
Hamilton Camp,,,,M,[1],,RU:,,,
Rosemary Camp,,,,F,1913,,RU:,,,Note(Jimmy Cagney's mother in film),
Frank Campanella,,,,M,[1],,RU:,,,
Joseph Campanella,1961-1972,Campanella,Joseph,M,1927,,RU:,USA,,,
Beatrice Campbell,1946-1955,Campbell,Beatrice,F,1923,1980,R:lead,Great Britain,,,
Bill Campbell,1991,Campbell,William O.,M,,,R:sr,USA,,,
Cheryl Campbell,,,,F,[1],,RU:,,,
Colin Campbell,1915-1960,Campbell,Colin,M,1883,1966,R:diminutive,Great Britain(Scotish),
Colin Campbell,1963,Campbell,Colin,M,1937,,R:proletarian,Great Britain,,,
Daisy Campbell,,,,F,[1],,RU:,,,
Eric Campbell,1916-1917,Campbell,Eric,M,1878,1917,R:bearded heavy,Great Britain(Sc),
Glen Campbell,1969-1969,Campbell,Glen,M,1935,,R:pop singer,USA,,,
William Campbell,1950-1974,Campbell,William,M,1926,,"R:personable villain, friend of hero",USA,,,
Gianna Maria Canale,1949-1963,Canale,Gianna Maria,F,1927,,R:lead,Italy,,,
John Candy,1981-1989,Candy,John,M,1951,1994,"R:fat, obnoxious",USA,,,
James Canning,,,,M,[1],,RU:,,,
Dyan Cannon,1959-1982,Friesen,Samile Diane,F,1938,,R:floozy,USA,,,
Freedy Cannon,,,,M,[1],,RU:,,,
J.D. Cannon,1966-1976,Cannon,J.D.,M,1922,,R:cold-eyed,USA,,,
Kathy Cannon,,,,F,[1],,RU:,,,
Judy Canova,1935-1960,Canova,Juliet,F,1916,1983,R:hillbilly,USA,,,
Cantilene,1919,Cantilene,,F,,,"Romantic, phlegmatic)",France,,,
Cantinflas,1941-1959,Moreno,Mario,M,1911,,R:clown,Mexico,,,
Eddie Cantor,1926-1952,Itskowitz,Edward Israel,M,1892,1964,"R:rolling-eyed, hight-toned voice, sprightly movement",,Aw(Special AA; 1930),
Truman Capote,1976-1976,Capote,Truman,M,1925,,R:small,USA,"Mainly(B,W)",
Ahna Capri,,,,F,[1],,RU:,,,
Kate Capshaw,1989,,,F,[1],,RU:,,,Lw(Steven Spielberg),
Capucine,1960-1983,Lefebre,Germaine,F,1933,1990,R:lean and elegant,France,,,
Irene Cara,,,,F,[1],,RU:,,,
Richard Cardella,,,,M,[1],,RU:,,,
Pat Cardi,,,,,[1],,RU:,,,
Claudia Cardinale,1958-1982,Cardinale,Claudia,F,[1]1939,,R:lead,Italy,[4.46],,,
Arthur Carewe,,,,M,[1],,RU:,,,
Harry Carey,1911-1946,Carey,Harry,M,1878,1947,R:lead westerns,USA,,,
Harry Carey~jr.,1947-1982,Carey jr.,Harry,M,,,R:light westerns,USA,,Si(Harry Carey),
Joyce Carey,1921-1974,Lawrence,Joyce,F,1898,,R:upper-class lady,Great Britain,,Ch(Lilian Braithwaite ),
Leonard Carey,1940-1940,Carey,Leonard,M,1893,1977,R:character,Great Britain,,,
MacDonald Carey,1942-1960,Carey,MacDonald,M,1913,,R:sympathetic goo guy,USA,[4.963],,,
Phil Carey,1951-1976,Carey,Philip,M,1925,,"R:rugged, good-humored, senior officer",USA,,,
Ron Carey,,,,M,[1],,RU:,,,
Timothy Carey,1952-1973,Carey,Timothy,M,1925,,"R:heavy-eyed, loathsome villain",USA,,,
Patrick Cargill,1960-1983,Cargill,Patrick,M,1918,,"R:impeccable, farce",Great Britain,,,
Tim Carhart,,,,M,[1],,RU:,,,
Leo Carillo,,,,M,[1],,RU:,,,
George Carlin,,,,M,[1],,RU:,,,
Anne Carlisle,,,,F,[1],,RU:,,,
Kitty Carlisle,1934-1993,Conn Holzman,Catherine,F,1915,,R:singer,USA,,Mt(Moss Hart),
Johanna Carlo,,,,F,[1],,RU:,,,
Charles Carlson,,,,M,[1],,RU:,,,
Karen Carlson,,,,F,[1],,RU:,,,
Moose Carlson,,,,M,[1],,RU:,,,
Richard Carlson,1938-1969,Carlson,Richard,M,,,R:juvenile,USA,,,
Ingmari Carlssen,,,,F,[1],,RU:,,,
Pamela Carme,,,,F,[1],,RU:,,,
Julie Carmen,,,,F,[1],,RU:,,,
Hoagy Carmichael,1944-1962,Carmichael,Hoagland Howard,M,1899,1981,R:slow-speaking,USA,,,
Ian Carmichael,1954-1979,Carmichael,Ian,M,1920,,R:nervous novices,Great Britain,,,
Tullio Carminati,1926-1963,Carminati de Brambilla,Count Tullio,M,1894,1971,R:romantic,Italy,,,
Judy Carne,1963-1972,Carne,Judy,F,1939,,R:`sock it to me',Great Britain,,,
Art Carney,1941-1981,Carney,Art,M,1918,,R:comedy,USA,[4.226],,,
George Carney,1934-1947,Carney,George,M,1887,1947,R:character,Great Britain,,,
Angela Carnon,,,,F,[1],,RU:,,,
Morris Carnovsky,1937-1974,Carnovsky,Morris,M,1897,1992,"R:jewish characters, villains",USA,[18.185]
Martine Carol,1948-1966,Mourer,Maryse,F,1922,1967,R:undressed roles,France,,,
Sue Carol,1927-1937,Lederer,Evelyn,F,1907,1982,R:lead,USA,,Mt(Alan Ladd),
Leslie Caron,1951-1980,Caron,Leslie,F,1931,,R:pixie dancer,France,[4.398][4.19],St(MGM) MT(Michael S. Laughlin),
Horace Carpenter,,,,M,[1],,RU:,,,
Linda Carpenter,,,,F,[1],,RU:,,[4.182],,,
Carpin,,,,,[1],,RU:,,,
Carol Carr,,,,F,[1],,RU:,,,
Darleen Carr,1966-1977,Carr,Darleen,F,,,R:lead,USA,,,
Mary Carr,1919-1956,Carr,Mary,F,1874,1973,R:character,USA,,,
Paul Carr,,,,M,[1],,RU:,,,
Bruce Carradine,,,,M,[1],,RU:,,,
David Carradine,1967-1982,Carradine,John Arthur,M,1940,,R:lanky sad-eyed,USA,[4.130][9.348],Er(dob(1936) Ch(John Carradine),
John Carradine,1930-1983,Carradine,Richmond Reed,M,1906,1988,R:gaunt,USA,,Pt(David Carradine),
Keith Carradine,1971-1997,Carradine,Keith,M,1945,,"R:lead, singer",USA,[4.54][9.348],Si(David Carradine),
Robert Carradine,1972-1983,Carradine,Robert,M,1954,,R:lead,USA,[9.348],Ch(John Carradine),
Barbara Carrera,1970-1983,Carrera,Barbara,F,1945,,R:smouldering,USA,,,
Jim Carrey,1994,Carrey,Jim,M,[1],,R:ubber-lipped comedian,,,,Mt(Lauren Holly; ),
Matthew Carriere,,,,M,[1],,RU:,,,
Pat Carrol,,,,,[1],,RU:,,,
Regina Carrol,,,,F,[1],,RU:,,,
John Carroll,1929-1959,LaFaye,Julian,M,1906,1979,R:singer,Latin-USA,,St(Republic),
