stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
David Labiosa,,,,M,[1],,RU:,\Un,,
Catherine Lacey,1938-1967,Lacey,Catherine,F,1904,1979,"R:sympathetic spinsters, eccentric types",Great Britain,,,
Ronald Lacey,1964-1984,,,M,[1],1991,RU:,\Un,,
Taylor Lacher,,,,M,[1],,RU:,\Un,,
Stephen Lack,,,,M,[1],,RU:,\Un,,
Frank Lackteen,1916-1965,Lackteen,Frank,M,1894,1968,R:character,USA,,,
Denis Lacroix,,,,M,[1],,RU:,\Un,,
Jerry Lacy,,,,M,[1],,RU:,\Un,,
Alan Ladd,1932-1964,Ladd,Alan,M,1913,1964,"R:unsmiling, pint-sized tough-guy",USA,"[4.108,1134]",,,
Cheryl Ladd,1973-1983,Stoppelmoor,Cheryl,F,1951,,R:lead,USA,,,
David Ladd,,,,M,[1],,RU:,\Un,,
Diane Ladd,1973-1983,Ladnier,Diane,F,1932,,R:lead,USA,,,
Patricia Laffan,1945-1956,Laffan,Patricia,F,1919,,RU:,Great Britain,,,
Marcy Lafferty,,,,F,[1],,RU:,\Un,,
Bert Lahr,1931-1968,Lahrheim,Irving,M,1895,1967,R:wry-faced vaudeville comedian,USA,,,
Christine Lahti,,,,F,[1],,RU:,\Un,,
Gary Lahti,,,,M,[1],,RU:,\Un,,
Frankie Laine,1950-1956,LoVecchio,Frank Paul,M,1913,,R:pop singer,USA,,,
Jenny Laird,1939-1960,Laird,Jenny,F,1917,,R:character,Great Britain,,,
Arthur Lake,1917-1954,Silverlake,Arthur,M,1905,,"R:harassed, crumpled-faced",USA,,,
Veronica Lake,1939-1970,Ockleman,Constance,F,1919,1973,R:petite lead,USA,,,
Barbara LaMarr,1922-1926,LaMarr,Barbara,F,1896,1926,"R:lead, silent films",USA,,,
Hedy Lamarr,1933-1957,Kiesler,Hedwig,F,1913,,R:lead,Austria,,Mt(Mt(Joan Bennett),
Fernando Lamas,1951-1978,Lamas,Fernando,M,1915,1982,R:sexy,Argentina,,,
Lorenzo Lamas,,,,M,[1],,RU:,\Un,,
Gil Lamb,1942-1967,Lamb,Gil,M,1906,,R:rubber-boned comic,USA,,,
Christopher Lambert,1984,Lambert,Christopher,M,[1],,R:ape man,USA,[9.319],Mt(Diane Lane),
Constant Lambert,1947-1947,Lambert,Constant,M,1905,1951,R:conductor,Great Britain,,,
Jack Lambert,1936-1966,Lambert,Jack,M,1899,1976,R:character,Great Britain; Scots,,,,,
Jack Lambert,1943-1963,Lambert,Jack,M,1920,,R:evil-eyed heavy character,USA,,,
Paul Lambert,,,,M,[1],,RU:,\Un,,
Heath Lamberts,,,,,[1],,RU:,\Un,,
Lloyd Lamble,1953-1960,Lamble,Lloyd,M,1914,,"R:detective, official, other man",Australia,,,
