stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Al Pacino,1968-1983,Pacino,Alfredo James,M,1939,199x,R:malevolent lead,USA,[4.68],,,
Anna Pacquin,1993,,Pacquin,Anna,F,1982,199x,"R:malicious, cute",Australia,,,
Joanna Pacula,,,,F,[1],199x,RU:,\Un,,
Lee Padovani,1949-1958,Padovani,Lee,F,1920,199x,R:lead,\It,,,
Anita Page,,,,F,[1],199x,RU:,\Un,,,,,
Gale Page,1938-1954,Rutter,Sally,F,1911,1983,R:lead,USA,,,
Genevieve Page,1956-1970,Page,Genevieve,F,1931,199x,R:lead,\Fr,,,
Geraldine Page,1953-1982,Page,Geraldine,F,1924,1987,R:lead,USA,,,
Joy Page,1942,page,Anita,F,[1],199x,R:cute,,,Ch(Mt(Jack Warner; P),
Patti Page,1960-1963,Fowler,Clara Ann,F,1927,199x,R:singer,USA,,,
Debra Paget,1948-1964,Griffin,Debralee,F,1933,199x,R:lead,USA,,,
Marcel Pagliero,1947,Pagliero,Marcelo,M,19aa,1980,R:sr,,,,
Jacqueline Pagnol,,,,F,[1],199x,RU:,\Un,,
Dre Pahich,,,,,[1],199x,RU:,\Un,,
Janis Paige,1944-1956,Jaden,Donna Mae,F,1922,199x,R:lead,USA,,,
Mabel Paige,1942-1953,Paige,Mabel,F,1879,1954,R:character,USA,,,
Robert Paige,1937-1966,Page,John Arthur,M,1910,199x,R:lead,USA,,,
Nestor Paiva,1938-1966,Paiva,Nestor,M,1905,1966,R:police chief,USA,,,
Pal,1943,Lassie,,A,[1],199x,R:faithful dog,USA,,Ge(F),
Jack Palance,1950-1982,Palanuik,Walter,M,1920,199x,R:gaunt,USA,,,
Michael Palin,1982-1982,Palin,Michael,M,1943,199x,R:light actor,Great Britain,,,
Anita Pallenberg,,,,F,[1][23],199x,RU:,\Un,,
Eugene Pallette,1916-1946,Pallette,Eugene,M,1889,1954,R:rotund gravel-voiced,USA,,,
Betsy Palmer,1955-1981,Brumek,Patricia,F,1929,199x,R:wholesomd,USA,,Mainly(TV),
Gregg Palmer,1951-1971,Lee,Palmer,M,1927,199x,R:second lead,USA,,,
Lilli Palmer,1934-1978,Peiser,Lilli,F,1911,1986,R:lead,\Os,,"Mt(Carlos Thompson; A,W)",
Maria Palmer,1942-1956,Palmer,Maria,F,1924,1981,R:lead,\Os,,,
Gwyneth Paltrow,1996-1997,Paltrow,Gwyneth,F,1973,199x,RU:,USA,,"Ch(Blythe Danner, A; Bruce Paltrow, P TV) Si(Jake Paltrow, D) Lw(Brad Pitt)",
Peter Palmer,1959-1967,Palmer,Peter,M,1931,199x,R:singer,USA,[4.602],,,
Luciana Paluzzi,1954-1959,Paluzzi,Luciana,F,1939,199x,R:lead,\It,,,
Franklin Pangborn,1927-1957,Pangborn,Franklin,M,1894,1958,R:character comedian,USA,,,
Stuart Pankin,,,,M,[1][23],199x,RU:,\Un,,
Joe Pantoliano,,,,M,[1][23],199x,RU:,\Un,,
Paul Panzer,1914-1947,Panzer,Paul,M,1872,1958,R:silent screen villain,USA,,,
Tatania Papamoskou,1976,,Papamoskou,Tatania,F,1964,199x,R:trsgic,\Gr,,,
Irene Papas,1951-1979,Papas,Irene,F,1926,199x,RU:,\Gr,,,
Don Pardo,,,,M,[1],199x,RU:,\Un,,
Michael Pare,,,,M,[1],199x,RU:,\Un,,
Jerry Paris,1954-1970,Paris,Jerry,M,1925,199x,R:supporting,USA,,,
Barnett Parker,1936-1941,Parker,Barnett,M,1890,1941,R:servant,Great Britain,,,
Cecil Parker,1933-1969,Schwabe,Cecil,M,1897,1971,R:character,Great Britain,[4.580],,,
Cecilia Parker,1931-1958,Parker,Cecilia,F,1905,199x,R:lead,\Ca,,,
Eleanor Parker,1941-1979,Parker,Eleanor,F,1922,199x,R:lead,USA,,,
Fess Parker,1952-1968,Parker,Fess,M,1925,199x,R:lead,USA,,,
Jameson Parker,1979-1980,Parker,Jameson,M,1947,199x,R:lead,USA,,,
Jean Parker,1932-1965,Greene,Lois Mae,M,1912,199x,R:lead,USA,,,
MaryLoise Parker,1991,Parker,Mary-Loise,F,1960,199x,R:pretty,USA,,Er(dob),
Sarah Jessica Parker,1983-1986,Parker,Sarah Jessica Parker,F,19x5,199x,R:stately,USA,,Mt(Matthew Broderick),
Suzy Parker,1957-1966,Parker,Cecelia,F,1932,199x,R:lead,USA,,,
Barbara Parkins,1967-1978,Parkins,Barbara,F,1942,199x,R:lead,\Ca,,,
Larry Parks,1941-1963,Parks,\FN{Sam Kleusman Lawrence,M,1914,1975,R:light lead,USA,,,
Michael Parks,1964-1982,Parks,Michael,M,1938,199x,R:brooding,USA,,,
