stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
George Eastman,1972,,,M,[1],199x,RU:,\Un,,
Marilyn Eastman,,,,F,[1],199x,RU:,\Un,[4.199],,,
Alison Eastwood,,,,F,[1],199x,RU:,USA,,Ch(Clint Eastwood),
Clint Eastwood,1955-1988,Eastwood,Clint,M,1930,199x,R:tough cop,USA,,"Lw(, Frances Fisher) Mt(, Dina Ruiz)",
Francesca Eastwood,1999,,,F,1994,199x,RU:,USA,,"Ch(Clint Eastwood, Frances Framer) Er(Fisher)",
Kimber Eastwood,,,,F,[1],199x,RU:,USA,,Ch(Clint Eastwood),
Kyle Eastwood,,,,,[1],199x,RU:,\Un,,
Mary Eaton,1923-1929,Eaton,Mary,F,1901,1948,R:lead,USA,,,
Shirley Eaton,1956-1968,Eaton,Shirley,F,,199x,R:pneumatic blonde,Great Britain,,,
Horst Ebersberg,,,,M,[1],199x,RU:,\Un,,
Christine Ebersole,,,,F,[1],199x,RU:,\Un,,
Buddy Ebsen,1936-1981,Ebsen,Christian Rudolf,M,1908,199x,"R:dancer, country",USA,,,
Maude Eburne,1930-1950,Eburne,Maude,F,1875,1960,"R:diminutive, frowning matron",USA,,,
Eileen Eckhart,,,,F,[1],199x,RU:,\Un,,
Gosta Eckman~sr.,1939,Eckman,"G\""osta",M,[1],199x,RU:,\Sw,,Pa(Hasse Eckman),
Gosta Eckman,1980,Eckman,"G\""osta",M,[1],199x,RU:,\Sw,,Ch(Hasse Eckman),
Hasse Eckman,1936-1960,Hasse,Eckman,,1915,199x,R:[1],\Sw,,"Mt(Eva Henning) Ch(G\""osta Eckman senior)",
Hallie Eckstein,,,,,[1],199x,RU:,\Un,,
Helen Jerome Eddy,1916-1940,Eddy,Helen Jerome,F,1897,199x,R:character,USA,,,
Nelson Eddy,1931-1947,Eddy,Nelson,M,1901,1967,R:romantic singer,USA,,St(MGM),
Herb Edelman,1967-1983,Edelman,Herb,M,1930,199x,"R:bald, lanky",USA,,,
Barbara Eden,1956-1981,Huffman,Barbara,F,1934,199x,"R:lead, singer",USA,,,
Elizabeth Edmonds,,,,F,[1],199x,RU:,\Un,,
Anthony Edwards,,,,M,[1],199x,RU:,\Un,,
Blake Edwards,1947,Edwards,Blake,M,1922,1971,RU:,USA,,Mainly(D),
Cliff Edwards,1929-1953,Edwards,Cliff,M,1895,1971,R:diminutive,USA,,,
Henry Edwards,1918-1952,Edwards,Henry,M,1882,1952,R:gentlemanly,Great Britain,,Also(D),
James Edwards,1949-1965,Edwards,James,M,1922,1970,R:black character,USA,,,
Jennifer Edwards,,,,F,[1],199x,RU:,\Un,,
Luke Edmonds,,,,M,,199x,RU:,\Un,,
Snitz Edwards,,,,M,[1],199x,RU:,\Un,,
Vince Edwards,1951-1983,Zoine,Vincento Eduardo,M,1928,199x,R:tough sincere,USA,,,
Eddie Egan,1974-1979,Egan,Eddie,M,1924,199x,R:burly,USA,[4.220],,,
Richard Egan,1949-1979,Egan,Richard,M,1921,199x,R:virile,USA,,Nt(Stanford '61),
Julie Ege,1970-1974,Ege,Julie,F,1943,199x,R:decorative,\No,,,
Samantha Eggar,1962-1979,Eggar,Samantha,F,1939,199x,R:lead,Great Britain,,,
Lisa Eichhorn,1979-1981,Eichhorn,Lisa,F,1952,199x,R:lead,USA,,,
Jill Eikenberry,1977-1986,Eikenberry,Jill,F,1947,199x,R:lead,USA,,Mt(Michael Tucker),
Lisa Eilbacher,,,,F,[1],199x,RU:,\Un,,
Janet Eilber,,,,F,[1],199x,RU:,\Un,,
Sally Eilers,1928-1950,Eilers,Sally,F,1908,1978,R:quiet-spoken,USA,,,
Anthony Eisley,1959,Eisley,Fred,M,19aa,199x,R:sr,,,Alias(Fred Eisley),
Ike Eisenmann,,,,F,[1],199x,RU:,\Un,,
Anita Ekberg,1953-1992,Ekberg,Anita,F,1931,199x,R:statuesque,\Sw,,,
Britt Ekland,1966-1982,Ekland,Britt-Marie,F,1942,199x,R:cool blonde,\Sw,,,
Jack Elam,1950-1979,Elam,Jack,M,1916,199x,"R:laconic, swarthy",USA,,,
John Eldredge,1934-1956,Eldredge,John,F,1917,1960,R:mild wimp,USA,,,
Florence Eldridge,1923-1966,MacKechnie,Florence,F,1901,1988,RU:,USA,,Mt(Frederic March),
Hector Elizondo,1971-1983,Elizondo,Hector,M,1936,199x,R:character,USA,,,
Duke Ellington,dow,Ellington,Edward,M,19aa,199x,R:musician,USA,,,
Laura Elliot,1949-1954,Elliot,Laura,F,1929,199x,R:support,USA,[12.197],Ww(Hitchcock),
Biff Elliott,,,,M,[1],199x,RU:,\Un,,
Denholm Elliott,1949-1983,Elliott,Denholm,M,1922,1992,R:well-mannered,Great Britain,,Mt(Virginia McKenna),
Frank Elliott,,,,M,[1],199x,RU:,\Un,,
Jane Elliott,,,,F,[1],199x,RU:,\Un,,
Robert Elliott,1917-1945,Elliott,Robert,M,1879,1951,R:lead,\Ir,,,
Sam Elliott,1970-1980,Elliott,Sam,M,1944,199x,R:lead,USA,,,
Stephen Elliott,,,,M,[1],199x,RU:,\Un,,
`Wild Bill' Elliott,1927-1957,Elliott,Gordon,M,1904,1965,R:burly,USA,,,
Edward Ellis,1932-1942,Ellis,Edward,M,1872,1952,R:stern,USA,,,
Mary Ellis,1934-1961,Elsas,Mary,F,1900,199x,R:lead,USA,[4.26],Nt(worked in \GB),
Patricia Ellis,1932-1939,OBrien,Patricia Gene,,1916,1970,R:lead,USA,,,
Robin Ellis,,,,,[1],199x,RU:,\Un,,
Art Ellison,,,,M,[1],199x,RU:,\Un,,
Frank Ellison,1932-1952,Smith,Frank Ellison,M,1910,199x,R:genial,USA,,,
James Ellison,1932-1952,Smith,James Ellison,M,1910,199x,R:genial lead,USA,,,
Isobel Elsom,1919-1964,Reed,Isobel,F,1893,1981,R:romantic lady,Great Britain,,,
Sallee Elyse,,,,F,[1],199x,RU:,\Un,,
Faye Emerson,1943-1944,Emerson,Faye,F,,1983,RU:,USA,,,,,
Hope Emerson,1932-1958,Emerson,Hope,F,1897,1960,R:brawny,USA,,"Ph(6'2"")",
Roy Emerton,1932-1944,Emerton,Roy,M,1892,1944,R:long-nosed,Great Britain,,,
