stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Dennis Quaid,1977-1983,Quaid,Dennis,M,1955,,RU:,USA,,Si(Randy Quaid) Lw(Meg Ryan@{Innerspace}),
Randy Quaid,1971-1983,Quaid,Randy,M,1953,,"R:gangling, awkward roles",USA,,,
John Qualen,1956-1990,,,M,,,R:Swedish immigrant,,,"TV,F Ww(Hitchcock)",
Robert Quarry,1956-1977,Quarry,Robert,M,1923,,R:character,USA,,,
Anna Quayle,1967-1971,Quayle,Anna,F,1937,,R:comedienne,Great Britain,,,
Anthony Quayle,1948-1984,Quayle,Anthony,M,1913,1989,R:distinguished,Great Britain,,Ww(Hitchcock),
Diana Quick,1971-1983,Quick,Diana,F,1946,,R:lead,Great Britain,,,
Rita Quigley,,,,F,[1],,RU:,,,
Eddie Quillan,1930-1966,Quillan,Eddie,M,1907,,"R:bouncy, beaming",USA,,,
Dennis Quilley,1969-1983,Quilley,Dennis,M,1933,,R:lead,Great Britain,,,
Richard Quine,1932-1942,Quine,Richard,M,1920,1989,R:juvenile,USA,,"Also(D,W)",
Kathleen Quinlan,1974-1983,Quinlan,Kathleen,F,1954,,R:lead,USA,,,
Aidan Quinn,,,,,[1],,RU:,,,
Aileen Quinn,,,,F,[1],,RU:,,,
Anthony Quinn,1936-1981,Quinn,Anthony,M,1915,,R:lead,Mexico,,Mt(Ch(deMille)),
Bill Quinn,,,,M,[1],,RU:,,,
Valerie Quinnessen,,,,F,[1],,RU:,,,
