stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Kereem Abdul Jabar,,,,M,[1],199x,RU:,\Un,,
Wolfman Jack,,,,M,[1],199x,RU:,\Un,,
Anne Jackson,1950-1980,Jackson,Anne,F,1925,199x,RU:,\Am,,Mt(Eli Wallach),
Freda Jackson,1942-1965,Jackson,Freda,F,1909,1990,R:melodramatic,\Br,,,
Glenda Jackson,1966-1983,Jackson,Glenda,F,1937,199x,RU:,\Br,,,
Gordon Jackson,1942-1981,Jackson,Gordon,M,1923,1990,R:rueful expression,\Br ; Scots,,,,,
Jamie Smith Jackson,,,,,[1],199x,RU:,\Un,,
Kate Jackson,1970-1983,Jackson,Kate,F,1950,199x,R:ghost,\Am,,,
Michael Jackson,,,,M,[1],199x,RU:,\Un,,
Selmer Jackson,1931-1960,Jackson,Selmer,M,1888,1971,R:character,\Am,,,
Sherry Jackson,,,,F,[1],199x,RU:,\Un,,
Thomas Jackson,1930-1965,Jackson,Thomas E.,M,1886,1967,R:character,\Am,[4.1152],,,
Irene Jacob,1991,Jacob,Ir\`ene,F,,\UN,,R:beauty,\Zw,,,,
Derek Jacobi,1973-1982,Jacobi,Derek,M,1938,199x,RU:,\Br,,,
Lou Jacobi,1962-1982,Jacobi,Lou,M,1913,199x,R:chubby,\Am,,,
Scott Jacoby,1972-1977,Jacoby,Scott,M,1956,199x,R:juvenile lead,\Am,,,
Hattie Jacques,1947-1969,Jacques,Hattie,F,1924,1980,R:oversized comic,\Br,,Ww(Gerald Thomas),
Richard Jaeckel,1943-1977,Jaeckel,Richard,M,1926,1997,R:frightened youth,\Am,,,
Sam Jaffe,1934-1980,Jaffe,Sam,M,1893,1984,"R:eccentric appearance, sharp talent",\Am,,,
Saeed Jaffrey,,,,,[1],199x,RU:,\Un,,
Bianca Jagger,1979-1985,Perez-Macias,Blanca,F,1945,199x,RU:,\Ni,,Mt(Mick Jagger; 1971-1979),
Dean Jagger,1929-1977,Jeffries,Dean,M,1903,1991,R:sympathetic roles,\Am,,,
Henry Jaglom,1990,Jaglom,Henry,M,,199x,R:lead,\Am,,Lw(Andrea Marcovicci) Mainly(D),
Clifton James,1964-1980,James,Clifton,M,1921,199x,R:corpulent,\Am,,,
Elizabeth James,,,,F,[1],199x,RU:,\Un,,
Harry James,1942-1956,James,Harry,M,1916,199x,R:bandleader,\Am,,,
Jessica James,,,,F,[1],199x,RU:,\Un,,
Sid James,1946-1973,James,Sidney,M,1913,1976,R:crumple-faced comic,\SA,,Ww(Gerald Thomas),%
