stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Francine Racette,,,,F,[1][23],,RU:,\Un,,
Kurt Raab,1969-1976,Raab,Kurt,M,,1988,R:sr,Germany,Ww(Fassbinder),
Basil Radford,1929-1951,Radford,Basil,M,1897,1942,R:imperturbable,Great Britain,[4.580],Ww(Hitchcock),
M.G. Ramachandran,1950,Ramachandran,M.G.,M,,,R:ty,India,,Nt(became prime minister of Tamil Nadu),
Gilda Radner,1982,Radner,Gilda,F,*,1989,RU:,USA,,,
Chips Rafferty,1940-1970,Goffage,John,M,1909,1971,R:rangy,Australia,,,
Frances Rafferty,1942-1961,Rafferty,Frances,F,1922,,R:lead,USA,,,
Michael Raffetto,,,,M,[1][23],,RU:,\Un,,
Deborah Raffin,1973-1980,Raffin,Deborah,F,1953,,R:lead,USA,,,
George Raft,1929-1977,Ranft,George,M,1895,1980,R:smooth sinister,USA,,,
Rags Ragland,1941-1946,Ragland,Rags,M,1905,1946,R:character comedian,USA,,,
Steve Railsback,1971-1983,Railsback,Steve,M,,,R:character,USA,,,
Raimu,1912-1946,Muraire,Jules,M,1883,1946,"R:character, comic",France,,,
Douglas Rain,,,,M,[1][23],,RU:,\Un,,
Jack Rain,1952-1969,Rain,Jack,M,1895,1979,R:light actor,Great Britain,,,
Luise Rainer,1935-1943,Rainer,Luise,F,1909,1998x,RU:,Austria,[4.504],,,
Cristina Raines,1974-1981,Raines,Cristina,F,1954,,R:lead,USA,,,
Ella Raines,1943-1957,Raubes,Ella,F,1921,,R:lead,USA,,,
Claude Rains,1933-1965,Rains,Claude,M,1889,1967,R:suave,Great Britain,[34.xii],"[4.796,983]",Ww(Hitchcock),
Ford Rainey,,,,M,[1][23],,RU:,\Un,,
Bill Raisch,,,,M,[1][23],,RU:,\Un,,
Rohn Raitt,1957-1957,Raitt,Rohn,M,1921,,R:singer,USA,,,
Laya Raki,1954-1965,Raki,Laya,F,1927,,R:lead,New Zealand,,,
Giovanna Ralli,1943-1975,Ralli,Giovanna,F,1935,,R:lead,Italy,,,
Jessie Ralph,1921-1941,Chambers,Jessie Ralph,M,1864,1944,R:character,USA,,,
Esther Ralston,1923-1940,Ralston,Esther,F,1902,,R:lead,USA,,,
Jobyna Ralston,1923-1927,Ralston,Jobyna,F,1901,1967,R:lead,USA,,,
Vera Hruba Ralston,1941-1958,Ralston,Vera Hruba,F,1921,,RU:,Czechoslovakia,,Mt(Herbert J. Yates; Fd) St(Republic),
Marjorie Rambeau,1916-1957,Rambeau,Marjorie,F,1889,1970,R:character,USA,,,
Dack Rambo,,,,M,1941,,RU:,USA,,,
Laura Rambotham,,,,F,[1][23],,RU:,\Un,,
Harold Ramis,,,,M,[1][23],,RU:,\Un,,
Charlotte Rampling,1965-1982,Rampling,Charlotte,F,1945,,R:lead,Great Britain,,,
Sally Rand,1924-1934,Beck,Helen Gould,F,1904,1979,R:uninhibited,USA,,Lw(H.B. Warner),
Tony Randall,1957-1982,Rosenberg,Leonard,M,1920,,R:light comedy,USA,[34.254],Ww(Hitchcock),
Ron Randell,1947-1983,Randell,Ron,M,1918,,R:lead,Australia,[34.310],Ww(Hitchcock) Er(Randall?),
Frank Randie,1940-1953,McEvoy,Arthur,M,1901,1957,R:vulgar,Great Britain,,,
Anders Randolph,1916-1929,Randolph,Anders,M,1876,1930,R:heavy villain,USA,,,
Elsie Randolph,1931-1977,Randolph,Elsie,F,1904,1982,RU:,Great Britain,,,
Jane Randolph,1942-1948,Randolph,Jane,F,1919,,R:lead,USA,,,
John Randolph,1948-1977,Randolph,John,M,1917,,R:pompous business man,USA,,,
Prunella Ransome,1967-1975,Ransome,Prunella,F,1943,,R:lead,Great Britain,,,
David Rappaport,1981,Rappaport,David,M,,1990,R:sr,,,,
Michael Rappaport,1991,Rappaport,Michael,M,,,R:sr,,,,
Michael Rapport,,,,M,[1][23],,RU:,\Un,,
Fritz Rasp,1922-1976,Rasp,Fritz,M,1891,1976,R:character,Germany,,,
Thalmus Rasulala,1971-1977,Rasulala,Thalmus,M,1939,,R:black character,USA,,,
Mikhail Rasumny,1940-1955,Rasumny,Mikhail,M,1890,1956,R:character,Russia,,,
Basil Rathbone,1921-1967,Rathbone,Basil,M,1892,1967,R:incisive,Great Britain,[4.108],Mt(Ouida Bergere),
Gregory Ratoff,1933-1961,Ratoff,Gregory,M,1897,1960,R:foreigner,Russia,,,
Peter Ratray,,,,M,[1][23],,RU:,\Un,,
Heather Rattray,,,,F,[1][23],,RU:,\Un,,
Blanche Ravalec,,,,F,[1][23],,RU:,\Un,,
Herbert Rawlinson,1912-1948,Rawlinson,Herbert,M,1885,1953,"R:circus star, character",Great Britain,,,
Aldo Ray,1951-1980,da Re,Aldo,M,1926,1991,R:beefy,USA,,,
Andrew Ray,1950-1978,Ray,Andrew,M,1939,,R:juvenile lead,Great Britain,,Ch(Ted Ray),
Charles Ray,1919-1937,Ray,Charles,M,1891,1943,R:silent lead,USA,,,
Johnnie Ray,1954-1954,Ray,Johnnie,M,1927,,R:`crying' singer,USA,,,
Rene Ray,1930-1957,Creese,Irene (Rene),F,1912,,R:downtrodden waif,Great Britain,,,
Ted Ray,1930-1960,Olden,Charles,M,1906,1977,R:comedian,Great Britain,,,
Carol Raye,1945-1948,Corkrey,Kathleen,F,1923,,R:lead,Australia,,,
Martha Raye,1936-1979,OReed,Maggie,F,1916,1994,R:wide-mouthed comedienne,USA,,Mt(Mark Harris),
Candy Raymond,,,,F,[1][23],,RU:,\Un,,
Cyril Raymond,1932-1956,Raymond,Cyril,M,1897,1973,R:dull husband,Great Britain,,,
Gary Raymond,1958-1966,Raymond,Gary,M,1935,,R:second lead,Great Britain,,,
Gene Raymond,1931-1970,Guion,Raymond,M,1908,,"R:lead, character",USA,,Mt(Jeanette MacDonald),
Paula Raymond,1949-1970,Wright,Paula Ramona,F,1923,,R:lead,USA,,,
Sheila Raynor,,,,F,[1][23],,RU:,\Un,,
Stephen Rea,1980-1993,Rea,Stephen,M,,,R:sr,Ireland,,,
James Read,,,,M,[1][23],,RU:,\Un,,
Bertice Reading,,,,F,[1][23],1991,RU:,\Un,,
Ronald Reagan,1937-1964,Reagan,Ronald,M,1911,,R:good guy,USA,[4.39],"Ph(60"") St(Warners)",
Rex Reason,1952-1960,Roberts,Bart,M,1928,,R:lead,USA,,,
Billy Redden,,,,,[1][23],,RU:,\Un,,
Helen Reddy,1974-1977,Reddy,Helen,F,,,R:folk singer,USA,,,
William Redfield,,,,M,[1][23],,RU:,\Un,[4.239],,,
Basil Redford,,,,M,[1][23],,RU:,\Un,,
Robert Redford,1961-1984,Redford,Robert,M,1937,,R:lead,USA,[4.126],Also(D) Mt(Lola van Wagenen;),
Corin Redgrave,1966-1971,Redgrave,Corin,M,1939,,R:supporting,Great Britain,,Ch(Sir Michael Redgrave),
Jemma Redgrave,1992,Redgrave,Jemma,F,,,R:plain,Great Britain,,Ch(Vanessa Redgrave),
Lynn Redgrave,1963-1981,Redgrave,Lynn,F,1943,,R:sophisticated,Great Britain,,Ch(Michael Redgrave),
Michael Redgrave,1936-1971,Redgrave,Sir Michael,M,1908,1985,R:distinguished,Great Britain,"[4.580,1052]",Ww(Hitchcock) Mt(Rachel Kempson),
Vanessa Redgrave,1958-1983,Redgrave,Vanessa,F,1937,1998x,R:lead,Great Britain,,Ch(Michael Redgrave) Mt(Tony Richardson; D),
Joyce Redman,1963-1963,Redman,Joyce,F,1918,,RU:,Ireland,,,
Liam Redmond,1945-1967,Redmond,Liam,M,1913,1989,R:character,Ireland,,,
Moira Redmond,1958-1966,Redmond,Moira,F,1958,1966,RU:,Great Britain,,,
