stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Jim Nabors,,,,M,[1],,R:comic,,,
George Nader,1952-1966,Nader,George,M,1921,,R:lead,USA,,,
Anne Nagel,1936-1947,Dolan,Anne,F,1912,1966,R:supporting,USA,,,
Conrad Nagel,1919-1959,Nagel,Conrad,M,1896,1970,R:romantic hero,USA,,,
Joanne Nail,,,,F,[1],,RU:,,,
J.Carrol Naish,1932-1970,Naish,J. Carrol,M,1900,1973,R:character,USA,,,
Laurence Naismith,1947-1972,Johnson,Laurence,M,1908,,R:character,Great Britain,,,
Reggie Nalder,,,,M,[1],,RU:,,,
Nita Naldi,1920-1927,Dooley,Anita Donna,F,1899,1961,R:lead,USA,[18.217],Ww(Hitchcock),
Jack Nance,,,,M,[1],1997,RU:,,,
John Nance,,,,M,[1],,RU:,,,
Alan Napier,1931-1967,Napier-Clavering,Alan,M,1903,,R:character,Great Britain,,,
Diana Napier,1933-1948,Ellis,Molly,F,1908,1982,R:lead,Great Britain,,Mt(Richard Tauber),
Brian Narelle,,,,M,[1],,RU:,,,
Owen Nares,1914-1941,Nares,Owen,M,1888,1943,R:silent screem,Great Britain,,,
Clarence Nash,1930-1950,Nash,Clarence,M,,1985,R:duck,USA,,Nt(the voice of Donald Duck),
Marilyn Nash,1947-1947,Nash,Marilyn,F,1924,,R:lead,USA,,,
Mary Nash,1934-1946,Nash,Mary,F,1885,1976,RU:,USA,,,
Stephen Nathan,,,,M,[1],,RU:,,,
Mildred Natwick,1940-1982,Natwick,Mildred,F,1908,,R:eccentric,USA,,Ww(Hitchcock),
David Naughton,,,,M,[1],,RU:,,,
James Naughton,1974-1982,Naughton,James,M,1945,,R:lead,USA,,,
Rene Navarre,1916-1919,Navarre,Rene,,18bb,,R:detective,France,,Also(P),
Alla Nazimova,1918-1945,Nazimoff,Alla,F,1879,1945,RU:,Russia,,,
Amedeo Nazzari,1947-1972,Nazzari,Amedeo,M,1907,1979,R:virile,Italy,,,
Anna Neagle,1930-1958,Robertson,Dame Marjorie,F,1904,1986,"R:dancer, heroines",Great Britain,,Also(P) Mt(Herbert Wilcox),
Patricia Neal,1949-1980,Neal,Patricia,F,1926,,R:lead,USA,[4.107],,,
Tom Neal,1939-1954,Neal,Tom,M,1914,1972,R:lead,USA,,,
Kay Nebel,1913-1923,Nebel,Kay,M,1889,1953,R:villain,Germany,,Also(painter),
Bernard Nedell,1916-1972,Nedell,Bernard,M,1898,1972,R:character,USA,,,
Audrie J. Neenan,,,,,[1],,RU:,,,
Kay Neer,,,,F,[1],,RU:,,,
Liam Neeson,1988,Neeson,Liam,M,[1],,RU:,Ireland,,,
Hildegard Neff,1946-1968,Knef,Hildegard,F,1925,,R:lead,Germany,,,
Pola Negri,1915-1964,Chalupek,Appolonia,F,1897,1987,R:lead,Poland,,,
Hildegarde Neil,1970-1980,Neil,Hildegarde,F,1939,,R:lead,South Africa,,,
Sam Neill,1980-1982,Neill,Sam,M,1948,,R:lead,Australia,,,
Little Nell,,,,F,[1],,RU:,,,
Kate Nelligan,1975-1983,Nelligan,Kate,F,1951,,RU:,Canada,,,
Barry Nelson,1942-1972,Neilson,Robert,M,1920,,R:stocky,USA,[34.300],Ww(Hitchcock),
Bob Nelson,,,,M,[1],,RU:,,,
Craig T. Nelson,1982-1984,Nelson,Craig T.,M,,,R:lead,USA,,,
David Nelson,1958,,,M,1947,,RU:,,[4.247],,"Ch(Ozzie Nelsn, Harriet Nelson)",
Ed Nelson,1964-1977,Nelson,Ed,M,1928,,"R:gangster, brother-in-law, boyfriend",USA,[34.261],Ww(Hitchcock),
Gene Nelson,1947-1963,Berg,Leander,M,1920,,R:actor-dancer,USA,,,
Judd Nelson,1984,Nelson,,M,1959,,RU:,,,
Kenneth Nelson,,,,M,[1],,RU:,,,
Lori Nelson,1952-1958,Nelson,Lori,F,1933,,R:light lead,USA,,,
Ozzie Nelson,1941-1973,Nelson,Ozzie,M,1906,1975,R:diffident,USA,,"Mt(Harriet Nelson), Pa(David Neslon)",
Richard Nelson,,,,M,[1],,RU:,,,
Rick Nelson,1952-1969,Nelson,Rick,M,1940,,R:singer,USA,,Ch(Ozzie Nelson),
Willie Nelson,1979-1982,Nelson,Willie,M,1933,,R:character,USA,,,
Rosalba Neri,,,,F,[1],,RU:,,,
Tommaso Neri,,,,M,[1],,RU:,,,
Franco Nero,1966-1984,Nero,Franco,M,1942,,R:lead,Italy,,,
Cathleen Nesbitt,1932-1977,Nesbitt,Cathleen,F,1888,1982,R:character,Great Britain,,Ww(Hitchcock),
Derren Nesbitt,1960-1974,Nesbitt,Derren,M,1932,,R:character,Great Britain,,,
John Nettleton,1967-1970,Nettleton,John,M,1929,,R:character,Great Britain,,,
Lois Nettleton,1962-1982,Nettleton,Lois,F,1929,,R:character,USA,,,
Robert Neuman,,,,M,[1],,RU:,,,
Paul Nevens,,,,M,[1],,RU:,,,
Guy Newall,1918-1937,Newall,Guy,M,1885,1937,R:lead,Great Britain,,Mt(Ivy Duke),
Carol Irene Newell,,,,F,[1],,RU:,,,
Bob Newhart,1962-1982,Newhart,Bob,M,1923,,R:comedian,USA,,,
John Newland,1957-1970,Newland,John,M,1916,,RU:,USA,,,
Anthony Newlands,1959-1967,Newlands,Anthony,M,1926,,R:schemer,Great Britain,,,
Anthony Newley,1948-1983,Newley,Anthony,M,1931,,"R:versatile, dislikeable",Great Britain,,,
Barry Newman,1960-1974,Newman,Barry,M,1940,,R:lead,USA,,,
Lorraine Newman,,,,F,[1],,RU:,,,
Nanette Newman,1953-1978,Newman,Nanette,F,1934,,R:lead,Great Britain,,,
Paul Newman,1954-1984,Newman,Paul,M,1925,,R:lead,USA,"[4.205,939,942][4.36,126,234][9.171]","Mt(,Joanne Woodward) Also(D,P) Aw(AA lifetime; 1986) Aw(Hersholt; 1994)",
Rachel Newman,1968,Rachel,Newman,F,,,,RU:,,"Ch(Paul Newman, Joanne Woodward)",
Scott Newman,,Scott,Newman,F,,,,RU:,,Nt(died at age 28) Ch(Paul Newman),
Julie Newmar,1955-1967,Newmeyer,Julia,F,1930,,R:tall blonde,USA,,,
Robert Newton,1932-1956,Newton,Robert,M,1905,1956,"R:rolling eyes, a ham",Great Britain,,Ww(Hitchcock),
Olivia NewtonJohn,1970-1983,Newton-John,Olivia,F,1948,,R:pop singer,Great Britain,,,
Marie Ney,1930-1964,Ney,Marie,M,1895,1981,RU:,Great Britain,,,
Richard Ney,1942-1961,Ney,Richard,M,1917,,RU:,USA,,,
Haing S. Ngor,,,,M,[1],,RU:,,,
Barbara Nichols,1956-1966,Nichols,Barbara,F,1929,1976,R:not-so-dumb blonde,USA,,,
Britt Nichols,,,,F,[1],,RU:,,,
Dandy Nichols,1946-1974,Nichols,Dandy,F,1907,1986,R:comedienne,Great Britain,,,
Nichelle Nichols,,,,F,[1],,RU:,,,
Jack Nicholson,1958-1983,Nicholson,Jack,M,1937,,R:lead,USA,"[4.154,238]","Lw(Karen MayoChandler, Rebecca Broussard; dob 1964) Aw(AP)",
Nora Nicholson,1948-1969,Nicholson,Nora,F,1892,1973,R:fey or eccentric,Great Britain,,,
Alex Nicol,1950-1975,Nicol,Alex,M,1919,,R:lead,USA,,,
Daria Nicolodi,,,,F,[1],,RU:,,,
Asta Nielsen,1910-1932,Nielsen,Asta,F,1882,1972,RU:,Denmark,,,
Brigitte Nielsen,1985,Nielsen,Brigitte,F,,,RU:,,,"Lw(Sylvester Stallone, Marc Gastineau, Sebastian Copeland; P)",
Leslie Nielsen,1955-1982,Nielsen,Leslie,,1925,,R:lead,Canada,,,
Lisa Niemi,1990,Niemi,Lisa,F,,,R:agent,USA,,,,,
Gertrude Niesen,1940-1948,Niesen,Gertrude,F,1912,1975,R:singer,USA,,,
Jane Nigh,1944-1953,Nigh,Jane,F,1926,,R:lead,USA,,,
John Niland,,,,M,[1],,RU:,,,
Anna Q. Nilsson,1919-1959,Nilsson,Anna Q.,F,1889,1974,R:silent,Sweden,,,
Leonard Nimoy,,,,M,[1],,RU:,,,
Derek Nimmo,1961-1973,Nimmo,Derek,M,1931,,"R:toe-twiddling, funny voice",Great Britain,,,
Leonard Nimoy 1951-1982,,1982,Leonard,M,1931,,R:lean-faced,USA,,,
Greta Nissen,1925-1936,Rutz-Nissen,Grethe,F,1906,,R:lead,Norway,,,
David Niven,1935-1983,Niven,David,M,1909,1983,R:debonair,Great Britain,[4.311],,,
Cynthia Nixon,,,,F,[1],,RU:,,,
Marian Nixon,1926-1932,Nixon,Marian,F,1904,1983,R:lead,USA,,,
Marni Nixon,1965,Nixon,Marni,F,1929,,R:Voi,USA,,Nt(often dubbed high notes),
Nancy Lee Noble,,,,F,[1],,RU:,,,
Trisha Noble,,,,F,[1],,RU:,,,
Miyamoto Nobuko,1983-1989,Nobuko,Miyamoto,F,[1]19,,R:determined,Japan,,Mt(Juzo Itami),
Magali Noel,1951-1974,Noel,Magali,F,1932,,R:lead,France,,,
Noel-Noel,1932-1962,Noel,Lucien,M,1897,,R:dapper,France,,,
Natalie Nogulich,,,,F,[1],,RU:,,,
Philipe Noiret,1960-1983,Noiret,Philipe,M,1931,,R:chubby,France,,,
Bob Nolan,,Nolnan,Robert,M,[1],,R:cowboy,,Ww(Roy Rogers),
Doris Nolan,1937-1944,Nolan,Doris,M,1916,,R:lead,USA,,Mt(John McIntire),
John Nolan,,,,M,[1],,RU:,,,
Lloyd Nolan,1934-1978,Nolan,Lloyd,M,1902,,R:character,USA,,,
Mary Nolan,1926-1932,Robertson,Mary Imogene,F,1905,1948,R:lead,USA,,,
Nick Nolte,1975-1992,Nolte,Nick,M,1941,,R:virile,USA,,"Mt(sheila Page, Sharyn Haddad, Rebecca Linger) Lw(Karen Ecklund)",
Mike Nomad,,,,M,[1],,RU:,,,
Christine Noonan,,,,F,[1],,RU:,,,
Tom Noonan,1986-1994,Noonan,Tom,M,,,R:menacing,USA,,Also(D),
Tommy Noonan,1951-1960,Noon,Thomas,M,1921,1968,R:ebullient comedian,USA,"Also(D,P,W)",
Christine Norden,1947-1952,Thornton,Maria Lydia,F,1924,1988,R:sex symbol,USA,,,
Jack Norman,,,,M,[1],,RU:,,,
Mabel Normand,1912-1924,Fortescue,Mabel,F,1894,1930,R:comic lead,USA,,Ww(Roscoe Arbuckle),
Christopher Norris,,,,M,[1],,RU:,,,
Chuck Norris,1982-1982,Norris,Chuck,M,1939,,R:tough guy,USA,,,
Edward Norris,1933-1955,Norris,Edward,M,1910,,R:lead,USA,,,
Mike Norris,,,,M,[1],,RU:,,,
Jay North,1959-1965,North,Jay,M,1952,,R:juvenile,USA,,,
Michael North,1948-1948,North,Ted,M,1920,,R:lead,USA,,,
Sheree North,1951-1978,Bethel,Dawn,F,1933,,R:lead,USA,,,
Harry Northup,,,,M,[1],,RU:,,,
Edgar Norton,1924-1947,Norton,Edgar,M,1868,1953,R:butler,USA,,,
Jack Norton,1934-1946,Naughton,Mortimer J.,M,1889,1958,R:character,USA,,,
Ken Norton,1975,Norton,,M,,,"R:boxer, hunk",USA,,,
Michael Nouri,,,,M,[1],,RU:,,,
Eva Novak,1921-1930,Novak,Eva,F,1899,,R:lead,USA,,Si(Jane Novak),
Jane Novak,1921-1929,Novak,Jane,F,1896,,R:lead,USA,,Si(Eva Novak),
Kim Novak,1953-1983,Novak,Marilyn,F,1933,,R:groomed,USA,[37.326],Ww(Hitchcock),
Ramon Novarro,1923-1960,Samaniegos,Ramon,M,1899,1968,R:romantic,Mexico,,,
Ivor Novello,1919-1934,Davies,Ivor,M,1893,1951,R:idol,Great Britain; Welsh,,Ww(Hitchcock),
Jay Novello,1938-1961,Novello,Jay,M,1905,1982,R:wiry,USA,,,
Elliott Nugent,1929-1931,Nugent,Elliott,M,1899,1980,RU:,USA,,"Also(P,D)",
Terri Nunn,,,,F,[1],,RU:,,,
Rudolph Nureyev,1973-1983,Nureyev,Rudolph,M,1938,1993,R:dancer,Russia,,,
France Nuyen,1957-1973,Nuyen,France,M,1939,,R:sexy model,France,,,
Will Nye,,,,M,[1],,RU:,,,
