stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Martin Gabel,1951-1980,Gabel,Martin,M,1912,199x,"R:balding, rotund",USA,,Ww(Hitchcock),
Jean Gabin,1930-1972,Moncourg\'e,Alexis,M,1904,1976,R:cool tough,\Fr,,Lw(Marlene Dietrich),
Clark Gable,1924-1961,Gable,Clark,M,1901,1960,"R:big ears, impudent grin",USA,[4.856],St(MGM) Mt(Carole Lombard) Aw(AFI#7),
John Clark Gable,1989-1995,Gable,John Clark,M,1960,199x,RU:,USA,,Ch(Clark Gable),
Eva Gabor,1941-1970,Gabor,Eva,F,1921,199x,R:blonde,\Hu,,Si(Zsa Zsa Gabor),
Zsa Zsa Gabor,1952-1972,Gabor,Sari,F,1917,199x,R:spoiled exotic,\Hu,,Nt(claims dob 1919) Si(Eva Gabor),
Helen Gahagan,1935,,Gahagan Douglas,Helen,F,,1980,R:royal,USA,,"Nt(became politician, vs. Nixon)",
Max Gail,1984,,,M,[1],199x,RU:,\Un,,Cit(1),
Charlotte Gainsbourg,1989,Gainsbourg,Charlotte,F,*,199x,R:lively,\Fr,,"Ch(Jane Birkin, Serge Gainsbourg)",
Serge Gainsbourg,,Gainsbourg,Serge,M,,1891,RU:,\Fr,,Mt(Jane Birkin),
Peter Gallagher,1982-1990,Gallagher,Peter,M,[1],199x,RU:,\Un,,Mt(Paula Harwood),
Rita Gam,1954,Gam,Rita,F,1940,199x,R:exotic,,,Er(dob=194x),
Michael Gambon,1972-1986,Gambon,Michael,M,"[1,6]",199x,R:intellectual,Great Britain,,,
Robin Gammell,,,,,[1],199x,RU:,\Un,,Cit(1),
Ken Gampu,,,,M,[1],199x,RU:,\Un,,Cit(1),
Abel Gance,1930,Gance,Abel,M,,1981,\Fr,,Mainly(D) In(own films),
Bruno Ganz,1976-1988,Ganz,Bruno,M,[1],199x,R:unusual,\Ge,,,,,
Teresa Ganzel,,,,F,[1],199x,RU:,\Un,,
Matthew Garber,1963-1967,Garber,Matthew,M,1956,199x,R:child,Great Britain,,,
Greta Garbo,1922-1941,Gustafson,Greta,F,1905,1990,R:aloof beauty,\Sw,[9.19],St(MGM) Lw(John Gilbert@{Flesh and the Devil}) Aw(AA special; 1955) Aw(AFI#5),
Andres Garcia,,,,F,[1],199x,RU:,\Un,,
Carlos Gardel,1920-1935,Gardel,Carlos,M,1893,1935,R:singer and tango dancer,Argentina,,St(Paramount) Also(Composer),
Vincent Gardenia,1961-1988,Scognamiglio,Vincent,M,1922,199x,R:comic character,USA,,,
Reginald Gardiner,1932-1966,Gardiner,Reginald,M,1903,1980,R:amiable silly,Great Britain,,,
Ava Gardner,1942-1980,Gardner,Ava,F,1922,1990,R:beauty,USA,,"St(MGM) Mt(Mickey Rooney, Artie Shaw, Frank Sinatra.) Aw(AFI#25)",
Ed Gardner,1945,Gardner,Ed,M,1901,1963,R:comic,USA,,,
Allen Garfield,1972-1983,Goorwitz,Allen,M,1939,199x,R:heavyset,USA,,Note(uses real name after 1979),
John Garfield,1938-1951,Garfinkle,Jacob Julius,M,1913,1952,R:aggressive,USA,,,
Art Garfunkel,1970-1979,Garfunkel,Arthur,M,,199x,R:pop singer,USA,[4.12],,,
Ed Gargan,1933-1951,Gargan,Ed,M,1902,1964,R:cop,USA,[4.1156],Si(William Gargan),
William Gargan,1932-1957,Gargan,William,M,1905,1979,R:good guy,USA,"[4.164,1083]",Si(Ed Gargan),
John Garko,,,,M,[1],199x,RU:,\Un,,
Beverly Garland,1949-1980,Fessenden,Beverly,F,1926,199x,R:pert and pretty screamer,USA,,,
Judy Garland,1936-1963,Gumm,Frances,F,1922,1969,R:singer,USA,,"St(MGM) Mt(, Vincent Minelli;D@{Meet Me in St.Louis}) Aw(AFI#8)",
James Garner,1956-1993,Baumgarner,James,M,1928,199x,"R:amiable, good-looking",USA,,,
Peggy Ann Garner,1938-1978,Garner,Peggy Ann,F,1931,199x,R:child star,USA,,,
Steve Garay,,,,M,[1],199x,RU:,\Un,[4.400],,,
Joaquin Garay~III,,,,M,[1],199x,RU:,\Un,,
Teri Garr,1977-1983,Garr,Teri,F,1952,199x,R:blonde mother,USA,,,
Jane Garofalo,1996-1997,Garofalo,fn,F,1965,199x,R:comic,\Un,,,
