stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Brenda Vaccaro,1969-1979,Vaccaro,Brenda,F,1939,,R:character,USA,,,
Vera Vague,,,,F,[1],,RU:,,[4.697],,,
Karen Valentine,1969-1978,Valentine,Karen,F,1948,,R:light,USA,,,
Rudolph Valentino,1914-1926,d'Antonguolla,Rodolpho,M,1895,1926,R:romantic idol,USA,[18.217],Mt(Natacha Rambova),
Frederick Valk,1940-1955,Valk,Frederick,M,1901,1956,R:heavyweight,Czechoslovakia,,,
Rudy Vallee,1929-1976,Vallee,Hubert,M,1901,1986,R:character comedian,USA,,,
Alida Valli,1936-1982,Altenburger,Alida Maria,F,1921,,R:starchy beauty,Italy,,Ww(Hitchcock),
Romolo Valli,,,,M,[1],1980,RU:,,[4.47],,,
Virginia Valli,1917-1932,McSweeny,Virginia,F,1898,1968,R:porcelein innocent heroine,USA,,Mt(Charles Farrell) Ww(Hitchcock) Er(dob),
Raf Vallone,1948-1979,Vallone,Raf,M,1916,,R:lead,Italy,,,
Saverio Vallone,,,,M,[1],,RU:,,,
Bobby Van,1952-1973,Stein,Robert,M,1930,1980,R:song-and-dance man,USA,,,
Irene Vanbrugh,1927-1937,Barnes,Irene,F,1872,1949,R:distinguished,Great Britain,,,
Vivian Vance,1950-1965,Vance,Vivian,F,1911,1979,R:cheerful,USA,,,
Lee VanCleef,1952-1982,Van Cleef,Lee,M,1925,1989,R:sneaky western villain,USA,,Nt(in spaghetti Westerns),
Jose vanDam,1989,vanDam,Jose,M,[1],,R:singer,Belgium,,,
Trish VanDevere,1970-1980,Van Devere,Trish,F,1943,,R:lead,USA,,,
Mamie VanDoren,1954-1966,Olander,Joan Lucille,F,1933,,R:blonde bombshell,USA,,,
Barry VanDyke,,,,M,[1],,RU:,,,
Conny VanDyke,,,,F,[1],,RU:,,,
Dick VanDyke,1963-1982,Van Dyke,Dick,M,1925,,R:lanky comedian,USA,[34.177],Ww(Hitchcock),
Charles Vanel,1933-1979,Vanel,Charles,M,1892,1989,R:character,France,Er(dod 79),
Peter VanEyck,1942-1969,Van Eyck,Peter,M,1911,1969,RU:,Germany,,,
John VanEyssen,1956-1960,Van Eyssen,John,M,1925,,RU:,South Africa,
Jo VanFleet,1955-1976,Van Fleet,Jo,F,1919,,R:character,USA,,,
Kevin VanHentenryck,,,,M,[1],,RU:,,,
Jon VanNess,,,,M,[1],,RU:,,,
Rik VanNutter,,,,M,[1],,RU:,,,
Nina VanPallandt,1973-1980,Van Pallandt,Nina,F,1932,,R:singer,Denmark,,,
Dick VanPatten,1972-1977,Van Patten,Dick,M,1928,,R:chubby,USA,,Mt(Joyce vanPatten),
Jimmie VanPatten,,Van Patten,James,M,[1],,RU:,,,
Joyce VanPatten,1958-1975,Van Patten,Joyce,F,1934,,R:lead,USA,,Mt(Dick vanPatten),
Timothy VanPatten,,,,M,[1],,RU:,,,
Vincent VanPatten,,,,M,[1],,RU:,,,
Deborah VanRhyn,,,,F,[1],,RU:,,,
Luis VanRooten,1944-1955,Van Rooten,Luis,M,1906,1973,R:character,Mexico,,,
Edward VanSloan,1930-1947,Van Sloan,Edward,M,1882,1964,R:elderly professor,USA,,,
Deborah VanValkenburgh,,,,F,[1],,RU:,,,
Monique VanVooren,,,,F,[1],,RU:,,,
Philip VanZandt,1941-1957,Van Zandt,Philip,M,1904,1958,R:character,Holland,
Victor Varconi,1926-1949,Varconi,Victor,M,1896,1976,R:lead,Hungary,,,
Evelyn Varden,1949-1956,Varden,Evelyn,F,1895,1958,R:character,USA,,,
Norma Varden,1932-1967,Varden,Norma,F,1898,,R:haughty aristocrat,Great Britain,,,
Leonor Varela,1998,Varela,Leonor,F,1985,,RU:,Chile,Lw(illy Zane),
Valentina Vargas,,,,F,[1],,RU:,,,
Beatrice Varley,1941-1955,Varley,Beatrice,F,1896,1969,R:worried little elderly lady,Great Britain,,,
Reg Varney,1966-1973,Varney,Reg,M,1922,,R:chirpy,Great Britain,,,
Diane Varsi,1957-1977,Varsi,Diane,F,1938,,R:slight,USA,,,
Frankie Vaughan,1956-1964,Abelson,Frank,M,1928,,R:flamboyant song and dance man,Great Britain,,,
Peter Vaughan,1959-1974,Ohm,Peter,M,1923,,R:solid presence,Great Britain,,,
Martin Vaughn,,,,M,[1],,RU:,,,
Robert Vaughn,1958-1983,Vaughn,Robert,M,1932,,"R: slight, intense",USA,,,
Conrad Veidt,1919-1943,Veidt,Conrad,M,1893,1943,R:liquid villain,Germany,[4.157],InB(Max Reinhardt),
Lupe Velez,1927-1943,Velez de Villalobos,Guadeloupe,F,1908,1944,R:temperamental,Mexico,,Ty(Mexican Spitfire),
Reginald VelJohnson,1987,,,M,,,R:rotund comic,,,
Evelyn Venable,1933-1943,Venable,Evelyn,F,1913,,R:demure,USA,"[4.254,696]",Ty(Mrs. Wiggs 1934),
Amy Veness,1931-1954,Veness,Amy,F,1876,1960,R:cheerful old soul,Great Britain,,,
Chick Vennera,,,,M,[1],,RU:,,,
Diane Venora,,,,F,[1],,RU:,,,
Wanda Ventham,1956-1973,Ventham,Wanda,F,,,R:lead,Great Britain,,,
Lino Ventura,1953-1982,Borrini,Angelino,M,1919,1987,R:lead,Italy,,,
VeraEllen,1945-1956,Rohe,Vera-Ellen Westmeyr,F,1920,1981,R:diminutive dancer,USA,,,
Gwen Verdon,1951-1983,Verdon,Gwen,F,1925,,R:vivacious,USA,,Mt(Bob Fosse),
Ellen Verdugo,1940-1975,Verdugo,Ellen,F,1926,,R:lead,USA,,,
Ben Vereen,1975-1980,Vereen,Ben,M,1946,,R:black dancer,USA,,,
Karen Verne,1939-1967,Klinekerfuss,Ingabor Katrine,F,1915,1967,R:lead,Germany,,,
Jerry Verno,1932-1957,Verno,Jerry,M,1895,1975,R:character,Great Britain,,,
Anne Vernon,1948-1968,Vignaud,Edith,F,1925,,R:vivacious,France,,,
John Vernon,1967-1980,Vernon,John,M,1935,,R:character,Canada,,,
Wally Vernon,1937-1964,Vernon,Wally,M,1904,1970,R:eccentric,USA,,,
Odile Versois,1946-1968,de Poliakoff-Baidarov,Militza,F,1930,1980,R:lead,France,,Si(Marina Vlady),
Verushka,,,,F,[1],,RU:,,,
Virginia Vestoff,,,,M,[1],,RU:,,,
Victoria Vetri,1967-1969,Dorian,Angela,M,1944,,R:lead,Australia,,,
Marcel Vibert,,,,M,[1],,RU:,,,
Martha Vickers,1944-1960,MacVicar,M.,F,1925,1971,R:lead,USA,,,
Charles Victor,1946-1957,Victor,Charles,M,1896,1965,R:character,Great Britain,,,
Henry Victor,1925-1941,Victor,Henry,M,1898,1945,R:villainous,Great Britain,,,
Henri Vidal,1946-1959,Vidal,Henri,M,1919,1959,R:tough-looking,France,,,
Florence Vidor,1921-1929,Arto,Florence,F,1895,1977,"R:lead, silent",USA,,,
Asia Viera,,,,F,[1],,RU:,,,
Abe Vigoda,1941-1964,Vigoda,Abe,M,1919,,R:character,USA,,,
Robert Viharo,,,,M,[1],,RU:,,,
Tony Vilar,,,,M,[1],,RU:,,,
Henri Vilbert,,,,M,[1],,RU:,,,
Frank Villard,1941-1964,Drouineau,Francois,M,1917,1980,R:lead,France,,,
Herve Villechaize,1973-1982,Villechaize,Herve,M,1943,1993,R:dwarf,France,,Ph(tiny),
James Villiers,1960-1982,Villiers,James,M,1933,,R:snooty or villainous,Great Britain,,,
Jan-Michael Vincent,1970-1983,Vincent,Jan-Michael,M,1944,,R:lead,USA,,,
June Vincent,1944-1948,Vincent,June,F,1919,,R:blonde lead,USA,,,
Helen Vinson,1931-1946,Rulfs,Helen,M,1907,,"R:cool, aristocratic",USA,,,
Jesse Vint,,,,M,[1],,RU:,,,
Enzo Vitale,,,,M,[1],,RU:,,,
Mario Vitale,,,,M,[1],,RU:,,,
Milly Vitale,1959-1979,Vitale,Milly,F,1928,,R:lead,Italy,,,
Monica Vitti,1959-1979,Ceciarelli,Monica Luisa,F,1933,,R:lead,Italy,,,
Viva,,,,F,[1],,RU:,,,
Ruth Vivian,,,,F,[1],,RU:,,,
Marina Vlady,1949-1980,de Poliakoff-Baidarov,Marina,M,1938,,R:lead,France,,,
Karl Michael Vogler,1965-1969,Vogler,Karl,M,1928,,RU:,Germany,,,
Jon Voight,1967-1983,Voight,Jon,M,1938,,R:lead,USA,"[4.130,230]",,,
Gian Maria Volonte,1964-1996,Volonte,Gian,M,1930,1997,R:lead,Italy,,,
Ferdinand vonAlten,,,,M,[1],,RU:,,,
"Thomas vonBr\""omssen",,,,M,[1],,RU:,,,
Lenny VonDohlen,,,,M,[1],,RU:,,,
Gustav vonSeyffertitz,1918-1939,Von Seyffertitz,Gustav,M,1863,1943,R:dignified,Germany,,,
Erich VonStroheim,1918-1956,Von Nordenwall,Hans Erich Maria Stroheim,M,1885,1957,R:despotic villain or stiff-necked Prussian,Austria,,Also(D),
Max vonSydow,1951-1981,Von Sydow,Carl Adolf,M,1929,,R:aristocratic villain,Sweden,
Gustav vonWangenheim,1920,von Wangenheim,Gustav,M,,,R:hunk,Germany,,,
George Voskovec,1952-1980,Voskovec,George,M,1905,1981,RU:,Czechoslovakia,,,
