stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Francoise Fabian,1956-1977,Fabian,Francoise,F,1935,,R:lead,Spain,,,
Fabio,dow,Lanzoni,Fabio,M,1961,,R:sexy,Italy,,,
Nanette Fabray,1939-1981,Fabares,Nanette,F,1920,,R:comedy,USA,,,
Aldo Fabrizi,1945-1968,Fabrizi,Aldo,M,1905,1990,R:character,Italy,,,
Douglas Fairbanks~sr,1915-1934,Ullman,Douglas,M,1883,1939,R:swashbuckling,USA,,Mt(Mary Pickford) Fd(cofounder: U.A.) Aw(AP),
Douglas Fairbanks~jr.,1920-1981,Fairbanks,Douglas~jr.,M,1909,,R:debonair,USA,,Also(TV P) Aw(AA special; 1939),
Sydney Fairbrother,1916-1938,Tapping,S.,M,1873,1941,R:character,Great Britain,,,
Morgan Fairchild,1978-1981,Fairchild,Morgan,F,1950,,R:lead,USA,,,
Adam Faith,1960-1974,Nelhams,Terence,M,1940,,RU:,Great Britain,,,
Eduardo Fajardo,,,,M,[1],,RU:,\Un,,
Lola Falana,,,,F,[1],,RU:,\Un,,
Fabray Falconetti,,,,F,[1],,RU:,\Un,,
Peter Falk,1958-1981,Falk,Peter,M,1927,,"R:fast-talking, cast-eyed",USA,.tiff,,,,
Deborah Fallender,,,,F,[1],,RU:,\Un,,
Dennis Lee Falt,,,,M,[1],,RU:,\Un,,
Sergio Fantoni,1960-1971,Fantoni,Sergio,M,1930,,R:lead,Italy,,,
Daniel Faraldo,,,,M,[1],,RU:,\Un,,
Amy Farber,,,,F,[1],,RU:,\Un,,
Maria Farebrother,,,,F,[1],,RU:,\Un,,
Violet Farebrother,,,,F,[1],,RU:,\Un,,
James Farentino,1964-1983,Farentino,James,M,1938,,R:lead,USA,,,
Antonio Fargas,1969-1978,Fargas,Antonio,M,,,R:bear,USA,,,,,
Chris Farley,-1997,Farley,Chris,,,,,,M,1964,1997,R:fat comic,USA,,,
Frances Farmer,1927-1958,Farmer,Frances,F,1914,1970,R:lead,USA,[4.868],Ww(Hitchcock),
Mimsy Farmer,1963-1980,Farmer,Mimsy,F,1945,,R:lead,USA,,,
Richard Farnsworth,,,,M,[1],,RU:,\Un,,
Dustin Farnum,1914,Farnum,Dustin,M,,,RU:,USA,,Mt(Winifred Kingston),
Franklyn Farnum,,Farnum,Franklyn,M,1876,1961,R:silent western lead,USA,,,
William Farnum,1914-1952,Farnum,William,M,1876,1953,R:silent lead,USA,,,
Derek Farr,1940-1968,Farr,Derek,M,1912,,R:lead,Great Britain,,Mt(Muriel Pavlow),
Felicia Farr,,,,F,[1],,RU:,\Un,,
Jamie Farr,1965-1973,Farr,Jamie,M,,,R:long-nosed comic,USA,,,
David Farrar,1938-1962,Farrar,David,M,1908,,"R:tall, virile",Great Britain,,,
Derek Farr,1940-1955,Farr,Derek,M,,1986,R:lead,,,,
Geraldine Farrar,1915-1920,Farrar,Geraldine,F,1882,1967,R:dramatic,USA,,Also(opera singer) Ww(Goldwyn),
Charles Farrell,1923-1960,Farrell,Charles,M,1901,,R:gentle,USA,,,
Charles Farrell,1931-1958,Farrell,Charles,M,1901,1990,R:character,Ireland,,,
Glenda Farrell,1930-1968,Farrell,Glenda,F,1904,1971,R:comedienne,USA,,,
Nick Farrell,,,,M,[1],,RU:,\Un,,
Sharon Farrell,1959-1979,Farrell,Sharon,F,,,R:general purpose,USA,,,
Mia Farrow,1964-1983,Farrow,Maria,F,1945,,R:lead,USA,[4.202],"Mt(Woody Allen) Ch(John Farrow: D, Maureen OSullivan)",
Stephanie Farrow,1983,,,F,[1],,RU:,\Un,,
Tisa Farrow,,,,F,[1],,RU:,\Un,,
Rainer Fassbinder,1969-1975,Fassbinder,Rainer Werner,1945,1982,R:lead),Germany,,In(Own Movies),
Graham Faulkner,,,,M,[1],,RU:,\Un,,
James Faulkner,,,,M,[1],,RU:,\Un,,
Farrah Fawcett,1971-1980,FawcettMajors,Farrah,F,1947,,R:pin-up,USA,,,
Michelle Fawden,,,,F,[1],,RU:,\Un,,
Alice Faye,1934-1978,Leppert,Alice,F,1912,1992+,"R:wry, singer",USA,,,
Frank Faylen,1936-1968,Ruf,Frank,M,1907,,"R:bartender, sherriff, gangster",USA,,Nt(father of Dobbie Gillis;TV),
Louise Fazenda,1922-1939,Fazenda,Louise,F,1895,1962,R:lead,USA,,,
Lynne Federicks,,,,F,[1],,RU:,\Un,,
Birgitte Federspiel,,,,F,[1],,RU:,\Un,,
Bekim Fehmiu,1966-1977,Fehmiu,Bekim,M,1932,,R:stalwart,Czechoslovakia,,,
Frances Feist,,,,F,[1],,RU:,\Un,,
Fritz Feld,1929-1981,Feld,Fritz,M,1900,,R:dapper comedian,Germany,,,
Marty Feldman,1969-1983,Feldman,Marty,M,1933,1982,R:pop-eyed comic,Great Britain,,,
Barbara Feldon,1967-1979,Feldon,Barbara,F,1939,,R:lead,USA,,,
Tovah Feldshuh,1973-1983,Feldshuh,Tovah,F,,,R:lead,USA,,,
Maria Felix,1947-1955,Felix,Maria,F,1915,,R:strong personality,Mexico,,,
Norman Fell,1961-1981,Fell,Norman,M,1928,,R:sad-looking,USA,,,
Rockliffe Fellowes,1917-1934,Fellowes,Rockliffe,M,1885,1950,R:general purpose,Canada,,,
Edith Fellows,1932-1947,Fellows,Edith,F,1923,,R:teenage star,USA,,,
Hansjoerg Felmy,1956-1966,Felmy,Hansjoerg,M,1931,,R:lead,Germany,,,
Verna Felton,1950-1960,Felton,Verna,F,1890,1966,R:character,USA,,,
Sherilyn Fenn,1985-1993,Fenn,Sherilyn,F,1965,,R:sexy,,,,
Sylvie Fennec,1989,Fennec,Sylvie,M,[1],,RU:,Belgium,,,
Willie Fennell,,,,M,[1],,RU:,\Un,,
Frank Fenton,1942-1958,Fenton,Frank,M,1906,1957,R:general purpose supporting,USA,,,
Pamelyn Ferdin,,,,F,[1],,RU:,\Un,,
Elsie Ferguson,1917-1927,Ferguson,Elsie,F,1883,1961,R:lead,USA,,,
Frank Ferguson,1942-1968,Ferguson,Frank,M,1899,1978,R:toothy,USA,,,
J. Don Ferguson,,,,M,[1],,RU:,\Un,,
Jane Ferguson,,,,F,[1],,RU:,\Un,,
Fernandel,1937-1967,Contandin,Fernand,M,1903,1971,R:rubber-faced,France,,,
Wilhelmina Fernandez,1981,Fernandez,Wilhelmina Wiggins,F,[1],,R:singer,,,
