stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Willie Aames,,Aames,William,M,1960,199x,RU:,USA,,,
Bud Abbott,1939-1956,Abbott,William,M,1895,1974,R:straight,comedian,USA,,Ww(Lou Costello) St(Universal),
Diahnne Abbott,1976-1982,,,F,[1][23],199x,R:sexy,USA,,Cit(2) Mt(Robert deNiro;),
George Abbott,1928-1958,Abbott,George,M,1887,199x,"R:playwright, producer",USA,,,
John Abbott,1937-1975,Abbott,John,M,1905,199x,"R:staring eyes, eccentric parts",Great Britain,,,
Philip Abbott,1957-1973,Abbott,Philip,M,1923,199x,R:second lead,USA,,,
Kareem AbdulJabbar,,,,M,[1],199x,R:basketball player,USA,,,
Walter Abel,1935-1974,Abel,Walter,M,1898,1987,R:harrassed hero,USA,,,
F.Murray Abraham,1983,,,M,[1][23],199x,RU:,\Un,,Cit(1),
James Abrahams,,,,M,[1][23],199x,RU:,\Un,,Cit(1),
Maury Abram,,,,,[1][23],199x,RU:,\Un,,Er(name) Cit(1),
Victoria Abril,1985-1990,,,F,[1][23],199x,R:sexy,\Portugse,,Cit(2),
Joss Ackland,1949-1979,Ackland,Joss,M,1928,199x,R:larger-than-life personality,Great Britain,,,
Dan Ackroyd,1979-1990,Ackroyd,Dan,M,[23],199x,R:comic,USA,,,
David Ackroyd,,,,M,1940,199x,RU:,USA,,Cit(0),
Peter Ackroyd,,,,M,[1],199x,RU:,\Un,,Cit(0),
Rodolfo Acosta,1948-1967,Acosta,Rodolfo,M,1920,1974,R:cold-eyed,USA-Me,,,
Eddie Acuff,1935-1947,Acuff,Eddie,M,1902,1956,R:supporting comedian,USA,,,
Jean Adair,1922-1947,Adair,Jean,F,1872,1956,R:sweet aunt,USA,,,
Alfred Adam,1935-1961,Adam,Alfred,M,1909,1982,"R:weak, villainous",\Fr,,,
Ronald Adam,1938-1971,Adam,Ronald,M,1896,1979,"R:well-bred, stuffy professional",Great Britain,,,
John Adames,,,,M,[1][23],199x,RU:,\Un,,Cit(1),
Beverly Adams,1963-1967,Adams,Beverly,F,1945,199x,R:lead,Canada,,,
Brooke Adams,1977-1983,Adams,Brooke,F,1949,199x,R:laid-back,USA,,,
Catlin Adams,,Barab,Catlin,,1950,199x,RU:,USA,,,
Dorothy Adams,1938-1976,Adams,Dorothy,F,1915,199x,R:timorous sullen,USA,,,
Edie Adams,1960-1979,Enke,Elizabeth Edith,F,1929,199x,R:pert comedienne,USA,,Mt(Ernie Kovacs),
Jane Adams,1945-1949,Adams,Jane,F,1921,199x,RU:,USA,,,
Jill Adams,1954-1966,Adams,Julia,F,1931,199x,R:pert light lead,Great Britain,,,
Julie Adams,1947-1981,Adams,\S{Betty May (Julia),F,1926,199x,R:soft,USA,,,
Maud Adams,1952-1967,Wikstrom,Maude,F,1950,199x,R:lead,\Sw-USA,,,
Nick Adams,1952-1967,Adamschock,Nicholas,M,1931,1968,R:neurotic aggressive lead,USA,,,
Robert Adams,1935-1947,Adams,Robert,M,1906,199x,R:black,\WI,,,
Sam Adams,,,,M,[1][23],199x,R:comic,,,
Tome Adams,1963-1975,Adams,Tome,M,1938,199x,R:burly,Great Britain,,,
Dawn Addams,1951-1977,Addams,Dawn,F,1930,1985,"R:smart, glamorous",Great Britain,,,
Wesley Addy,1951-1982,Addy,Wesley,M,1912,1997,"R:humourless, sinister",USA,,Mt(Celeste Holm),
Isabelle Adjani,1971-1983,Adjani,Isabelle,F,1955,199x,R:lead,\Fr-\Ge,,"Lw(Nuytten, Warren Beatty, Daniel DayLewis)",
Jay Adler,1938-1965,Adler,Jay,M,1899,1978,R:character,USA,,Si(Luther Adler),
Luther Adler,1937-1981,Adler,Lutha,M,1903,1984,R:heavy,USA,,"Si(Jay,Stella)",
Renee Adoree,1920-1930,de la Font\`e,Jeanne,F,1898,1933,R:exotic,\Fr,,,
Mario Adorf,1959-1981,Adorf,Mario,M,1930,199x,R:European films,\Zw,,,
Max Adrian,1934-1971,Bor,Max,M,1902,1973,R:high camp personality,\Ir,,,
John Agar,1948-1976,Agar,John,M,1921,199x,R:lead,USA,,Mt(Shirley Temple),
Rati Agnihotri,1985,bn,fn,F,1960,199x,R:modern dancer,\In,,,,,
Jenny Agutter,1964-1981,Agutter,Jenny,F,1952,199x,R:lead,Great Britain,,,
Brian Aherne,1924-1967,Aherne,Brian,M,1902,1986,R:gentle lead,Great Britain,,,
Philip Ahn,1936-1975,Ahn,Philip,M,1911,1978,R:Asiatic,USA,,,
Anouk Aim\'ee,1947-1983,Dreyfus,Francoise Sorya,F,1932,199x,R:poised heartthrob,\Fr,,,,
Richard Ainley,1936-1949,Ainley,Richard,M,1910,1967,RU:,Great Britain,,Ch(Henry Ainley),
Maria Aitkins,1989,,,F,[1][23],199x,RU:,\Un,,Cit(1),
Franklyn Ajaye,1976-1978,,,M,1949,199x,RU:,USA,,,
Muriel Aked,1922-1953,Aked,Muriel,F,1887,1955,"R:comedy spinster, gossip",Great Britain,,,
Claude Akins,1953-1979,Akins,Claude,M,1918,1994,"R:western villain, burly middle-aged hero",USA,,,
Serap Aksoy,1991,Aksoy,Serap,F,,199x,R:sr,\Tu,,Nt(ex-ballerina),
Josh Albee,1979,,,M,[1],199x,RU:,\Un,,Cit(0),
Anna Maria Alberghetti,1951-1960,Alberghetti,Anna Maria,F,1936,199x,R:singer,\It,,Also(operatic singer),
Han Albers,1923-1960,Albers,Han,M,1892,199x,R:lead,\Ge,,,
Eddie Albert,1938-1982,Heimberger,Eddie Albert,M,1908,199x,R:honest Joe,USA,,,
Edward Albert,1965-1982,Albert,Edward,M,1951,199x,R:light,USA,,Ch(Eddie Albert),
Edward Albert~jr.,,,,M,[1],199x,RU:,\Un,,Cit(0),
William Albert,1982,,,M,[1],199x,RU:,\Un,,Cit(0),
Frank Albertson,1928-1963,Albertson,Frank,M,1907,1981,R:straight,USA,,Ww(Hitchcock),
Jack Albertson,1947-1978,Albertson,Jack,M,1907,1981,R:character,USA,,,
Mabel Albertson,1939-1970,Albertson,Mabel,F,1901,1982,"R:nosey neighbour, wise and witty grandma",USA,,,
Hardie Albright,1931-1957,Albrecht,Hardy,M,1903,1971,R:underused lead,USA,,,
Lola Albright,1949-1968,Albright,Lola,F,1925,199x,"R:stylish, tough-talking",USA,,,
Alan Alda,1963-1982,Alda,Alan,M,1936,199x,R:lead,USA,.tiff,Ch(Robert Alda),
Robert Alda,1945-1976,d'Abruzzo,Alphonso,M,1914,1986,RU:,\Un,,
Rutanya Alda,1978-1982,,,F,[1],199x,R:},\Un,,Cit(2),
John Alderton,1964-1976,Alderton,John,M,1940,199x,R:light lead,Great Britain,,Mt(Pauline Collins),
Vera Alentova,1980,,,F,[1],199x,RU:,\Un,,Cit(0),
Ben Alexander,1917-1957,Alexander,Nicholas Benton,M,1911,1969,R:boy actor,USA,,,
Jane Alexander,1970-1983,Quigley,Jane,F,1939,199x,R:regal,USA,,,
John Alexander,1936-1960,Alexander,John,M,1901,1982,R:portly,USA,,,
Katherine Alexander,1934-1949,Alexander,Katherine,F,1901,1981,R:sympathetic,USA,,,
Ross Alexander,1932-1937,Alexander,Ross,M,1907,1937,R:lead,USA,,,
Sandy Alexander,1983,,,,[1],199x,RU:,\Un,,Cit(0),
Terence Alexander,1951-1979,Alexander,Terence,M,1923,199x,R:ineffectual,Great Britain,,,
Hope AlexanderWells,,,,F,[1],199x,RU:,\Un,,
Muhammed Ali,1977,Clay,Cassius,M,1942,199x,RU:,Black-USA,,Also(boxing champion),
Dorothy Alison,1952-1972,Alison,Dorothy,F,1925,199x,RU:,Australia,,,
Andrea Allan,,,,F,[1],199x,RU:,\Un,,
Elizabeth Allan,1931-1958,Allan,Elizabeth,F,1908,199x,R:delicate or aristocratic heroines,Great Britain,,,
William Alland,1941-1961,Alland,William,M,1916,199x,R:enquiring reporter,USA,,Ww(Orson Welles),
Chesney Allen,1935-1944,Allen,Chesney,M,1894,1982,R:light comedian,Great Britain,,,
Catherine Allegret,1965,,,F,,199x,RU:,\Fr,,Ch(Simone Signoret),
Elizabeth Allen,1960-1972,Gillease,Elizabeth,F,1934,199x,R:lead,USA,,,
Fred Allen,1935-1953,Sullivan,John F.,M,1894,1956,R:lead,USA,,Also(comedienne),
Gracie Allen,1933-1944,Allen,Gracie,F,1902,1964,R:scatterbrained comedienne,USA,[4.95],Mt(George Burns) Er(dob 1906),
Karen Allen,1978-1982,Allen,Karen,F,1955,199x,R:lead,USA,,,
Nancy Allen,1973-1983,Allen,Nancy,F,1954,199x,R:lead,USA,,Mt(Brian dePalma),
Patrick Allen,1955-1982,Allen,Patrick,M,1927,199x,R:lead,Great Britain,,,
Rae Allen,,,,,[1],199x,RU:,\Un,,
