stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Yacef Saadi,,,,M,[1],,RU:,,,
Sabu,1938-1963,Dastagir,Sabu,M,1924,1963,R:boyish,India,,,
Greta Sacchi,,,,F,[1],,RU:,,,
Stephen Sachs,,,,M,[1],,RU:,,,
Michael Sacks,,,,M,[1],,RU:,,,
Marianne Sagebrecht,1984-1990,"S\""agebrecht",Marianne,F,,,R:tourist,Germany,,Nt(),
Kengji Sahara,,,,,[1],,RU:,,,
Mort Sahl,1958-1968,Sahl,Mort,M,1926,,R:sardonic political comedian,USA,,,
Eva Marie Saint,1954-1983,Saint,Eva Marie,F,1924,,R:heroine,USA,,Ww(Hitchcock),
Michael SaintDenis,1936,Saint Denis,Michael,M,,,RU:,France,,Nt(Mainly stage) Ww(Hitchcock),
Susan SaintJames,1968-1980,Miller,Susan,F,1946,,R:determined and kooky,USA,,,
S.Z. Sakall,1916-1954,Szakall,Eugene Gero,M,1884,1955,R:comic character,Hungary,,Alias(Cuddles),
Harold Sakata,1963-1963,Sakata,Harold,M,1920,1982,R:character,South Korea,[4.77],,,
Theresa Saldana,,,,F,[1],,RU:,,,
Charles Sale,1931-1936,Sale,Charles,M,1885,1937,R:character,USA,,,
P.J. Sales,,,,M,[1],,RU:,,,
Soupy Sales,1966-1966,Hines,Milton,M,1926,,R:children's TV,USA,,,
Peter Sallis,1956-1974,Sallis,Peter,M,1921,,R:bemused-looking,Great Britain,,,
Albert Salmi,1958-1981,Salmi,Albert,M,1928,,R:chubby,USA,[34.261],Ww(Hitchcock),
Louis Salon,,,,M,[1],,RU:,,,
Jennifer Salt,1969-1980,Salt,Jennifer,F,1944,,R:lead,USA,,,
Renato Salvatori,,,,M,[1],,RU:,,,
Tatania Samoilova,1957-1967,Samoilova,Tatania,F,1934,,R:lead,Russia,,,
Will Sampson,1975-1978,Sampson,Will,M,1935,,R:character,USA,[4.239],,,
JoAnne Samuel,,,,F,[1],,RU:,,,
Henry Sanada,,,,M,[1],,RU:,,,
Jaime Sanchez,,,,M,[1],,RU:,,,
Salvatore Sanchez,,,,M,[1],,RU:,,,
Paul Sand,1972-1980,Sanchez,Paul,M,1944,,R:light,USA,,,
Dominique Sanda,1970-1977,Varaigne,Dominique,F,1948,,R:lead,France,,,
Walter Sande,1938-1956,Sande,Walter,M,1906,1972,R:character,USA,,,
George Sanders,1936-1972,Sanders,George,M,1906,1972,R:suave cad,Great Britain,,"Ww(Hitchcock) Si(Tim Conway) Mt(1, Zsa Zsa Gabor, Berita Hume, Magda Gabor)",
Scott Sanders,1938-1938,Sanders,Scott,M,1885,1956,R:clubbable gentleman,Great Britain,,,
William Sanderson,,,,M,[1],,RU:,,,
