stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Henry Wadsworth,1929-1938,Wadsworth,Henry,M,1902,1974,R:juvenile,USA,,,
John Wade,,,,M,[1][1],,RU:,,,
Russel Wade,,,,M,[1][1],,RU:,,,
Anthony Wager,1946-1946,Wager,Anthony,M,1933,,R:juvenile,Great Britain,,,
Christie Wagner,,,,F,[1],,RU:,,,
Lindsay Wagner,1973-1983,Wagner,Lindsay,F,1949,,R:bionic,USA,,,
Robert Wagner,1950-1983,Wagner,Robert,M,1930,,R:hearty,USA,,"Mt(Marion Marshall, Natalie Wood, Jill StJohn)",
Ken Wahl,1982-1984,Wahl,Ken,M,1956,,R:hunk,,"Mt(Corinne Alphen,)",
James Wainwright,1971-1978,Wainwright,James,M,,,R:general purpose,USA,,,
Ralph Waite,1967-1981,Waite,Ralph,M,1928,,R:reliable looking,USA,,,
Akiko Wakabayashi,,,,F,[1],,RU:,,,
Eijo Wakabayashi,,,,M,[1],,RU:,,,
Duggie Wakefield,1935-1939,Wakefield,Duggie,M,1899,1951,R:simpleton,Great Britain,,,
Hugh Wakefield,1930-1954,Wakefield,Hugh,M,1888,1971,R:monocled,Great Britain,,,
Anton Walbrook,1922-1957,"Wohlbr\""uck",Adolf Anton,M,1900,1967,"R:prince, distinguished",Austria,,,
Raymond Walburn,1934-1955,Walburn,Raymond,M,1887,1969,R:bumbling pomposity,USA,,,
Christopher Walken,1971-1983,Walken,Christopher,M,1943,,R:young,USA,,,
Clint Walker,1954-1977,Walker,Norman,M,1927,,R:square-jawed giant cowboy,USA,"Ph(H=6'5.5"")",
Helen Walker,1942-1955,Walker,Helen,F,1921,1968,R:lead,USA,,,
Kathryn Walker,,,,F,[1],,RU:,,,
Maggie Walker,,,,F,[1],,RU:,,,
Nancy Walker,1943-1977,Barto,Ann Swoyer,F,1921,1992,R:pint-size waitress,USA,,Mainly(TV),
Nella Walker,1929-1954,Walker,Nella,F,1886,1971,R:placid mother or socialite,USA,,,
Robert Walker,1951,Walker,Robert,M,1914,1951,"R:slight, modest",USA,[4.942],Ww(Hitchcock),
Robert Walker~jr.,1963-1983,Waker,Robert~jr.,M,1941,,R:second lead,USA,,,
Syd Walker,1937-1939,Walker,Syd,M,1887,1945,"R:comic, monologuist",Great Britain,,,
Tippy Walker,,,,F,[1],,RU:,,,
Zena Walker,1961-1983,Walker,Zena,F,1934,,R:lead,Great Britain,,,
Max Wall,1980-1988,Wall,Max,M,[1],1990,RU:,,,
Bill Wallace,,,,M,[1],,RU:,,,
Dee Wallace,1982-1983,Wallace Stone,Dee,F,,,R:lead,USA,,,
Jean Wallace,1944-1971,Wallasek,Jean,F,1923,,R:lead,USA,,Mt(CornelWilde),
Eli Wallach,1956-1982,Wallach,Eli,M,1915,,R:villain,USA,,,
Bill Wallis,,,,M,[1],,RU:,,,
Shani Wallis,1967-1973,Wallis,Shani,M,1938,,R:cabaret singer,Great Britain,,,
Tom Walls,1930-1949,Walls,Tom,M,1883,1949,R:amiable philanderer,Great Britain,,,
Hugh Walpole,1934-1934,Walpole,Sir Hugh,M,1884,1941,R:vicar,Great Britain,,,
Dermot Walsh,1952-1963,Walsh,Dermot,M,1924,,R:lead,Great Britain,,,
J.T. Walsh,1983-1997,Walsh,J.T,M,1944,1998,R:,USA,,,
Kay Walsh,1934-1971,Walsh,Kay,F,1914,,R:lead character,Great Britain,,,
Ray Walston,1957-1982,Walston,Ray,M,1917,,R:comedian,USA,,,
Jessica Walter,1964-1979,Walter,Jessica,F,1944,,R:lead,USA,,,
Julie Walter,,,,F,[1],,RU:,,,
