stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Mr. T,,,,M,,,RU:,\Un,,
Sidney Tafler,1946-1977,Tafler,Sidney,M,1916,1979,R:character,Great Britain,,,
George Takei,,,,M,[1],,RU:,\Un,,
Lyle Talbot,1917-1987,Talbot,Lyle,M,1902,,R:hood,USA,,"Mt(Margaret Eppie) Nt(lives on vanNess, SF)",
Constance Talmadge,1915-1929,Talmadge,Constance,F,1898,1973,R:silent heroine,USA,,Si(Norma Talmadge),
Norma Talmadge,1914-1930,Talmadge,Norma,F,1893,1969,"R:lead, silent",USA,,Si(Constance Talmadge) Er(dob),
William Talman,1949-1967,Talman,William,M,1915,1968,"R:crook, cop",USA,,,
Tetsuro Tamba,1961-1975,Tamba,Tetsuro,M,1929,,RU:,Japan,,,
Russ Tamblyn,1950-1975,Tamblyn,Russ,M,1934,,"R:buoyant dancer, tumbler",USA,,,
Zoe Tamerlis,1981,Tamerlis,"Zo\""e",F,1965,,RU:,\Un,,
Akim Tamiroff,1934-1968,Tamiroff,Akim,M,1899,1972,R:character,Russia,[4.868],,,,
Mary Tamm,,,,F,[1],,RU:,\Un,,
Jessica Tandy,1944-1989,Tandy,Jessica,F,1909,1994,R:dignified charm,Great Britain,,Ww(Hitchcock) Mt(Hume Cronyn) Aw(Emmy; 1988),
Yoki Tani,1957-1966,Tani,Yoki,F,1932,,R:lead,Japan,,,
Tony Tanner,1964-1966,Tanner,Tony,M,1932,,R:light,Great Britain,,,
Colin Tapley,1934-1956,Tapley,Colin,M,1911,,R:character,New Zealand,,,
Quentin Tarantino,1992-1994,Tarantino,Quentin,M,\Un,,R:tough,USA,,Lw(Mia Sorvino),
Lilyan Tashman,1921-1933,Tashman,Lilyan,F,1899,1934,R:silent sophisticate,USA,,,
Reba Tassel,1956,Tassel,Reba,F,,,R:nice girl,USA,[34.81],Ww(Hitchcock),
Reginald Tate,1935-1955,Tate,Reginald,M,1896,1955,R:character,Great Britain,,,
Sharon Tate,1967-1969,Tate,Sharon,F,1943,1969,R:lead,USA,,Nt(murdered),
Jaques Tati,1949-1974,Tati,Jaques,M,1908,1982,R:pantomimist,France,[9.170],,,
Sven-Bertil Taube,1970-1979,Taube,Sven-Bertil,M,,,R:lead,Sweden,,,
Richard Tauber,1931-1945,Tauber,Richard,M,1892,1948,R:operatic tenor,Austria,,,
Vic Tayback,1968-1977,Tayback,Vic,M,,1990,R:tough-looking,USA,,Ty(hashslinger),
Alma Taylor,1909-1957,Taylor,Alma,F,1895,1974,R:silent screen,Great Britain,,,
Delores Taylor,,,,F,[1],,RU:,\Un,,
Don Taylor,1948-1957,Taylor,Don,M,1920,,R:light lead,USA,,Also(D),
Dub Taylor,,,,M,[1],,RU:,\Un,,
Elizabeth Taylor,1942-1977,Taylor,Elizabeth,M,1932,,R:beauty,USA,,"Or(born in Great Britain) Mt(Nick Hilton, Michael Wilding, Mike Todd, Eddie Fisher, Richard Burton, Richard Burton, John Warner, Larry Fortensky) St(MGM) Aw(AFI#7)",
Estelle Taylor,1922-1928,Boylan,Estelle,F,1899,1958,RU:,USA,,,
George Taylor,,,,M,[1],,RU:,\Un,,
Kent Taylor,1932-1973,Weiss,Louis,M,1907,,R:suave,USA,"[4.254,696]",,,
Kit Taylor,,,,,[1],,RU:,\Un,,
Laurette Taylor,1922,Cooney,Laurette,F,1884,1946,R:lead,USA,,,
Renee Taylor,,,,F,[1],,RU:,\Un,,
Rip Taylor,,,,M,[1],,RU:,\Un,,
Robert Taylor,1934-1968,Brugh,Spangler Arlington,M,1911,1969,R:durable,USA,,Mt(Barbara Stanwyk.),
Rod Taylor,1954-1983,Taylor,Robert,M,1929,,R:lead,Australia,,,
Sharon Taylor,,,,F,[1],,RU:,\Un,,
Valerie Taylor,1942,Taylor,Valerie,F,,1988,R:sr,,,,
Vaughn Taylor,1960,,,M,[1],,RU:,\Un,,Ww(Hitchcock),
Zack Taylor,,,,M,[1],,RU:,\Un,,
Leigh TaylorYoung,1968-1981,Taylor-Young,Leigh,F,1944,,R:lead,USA,,,
Ray Teal,1940-1971,Teal,Ray,M,1902,1976,R:character,USA,,,
Conway Tearle,1918-1936,Levy,Frederick,M,1878,1938,R:lead,USA,,Si(Godrey Tearle; halfbrother),
Godfrey Tearle,1906-1953,Tearle,Sir Godfrey,M,1884,1953,R:distinguished,Great Britain,,Ww(Hitchcock),
Verree Teasdale,1929-1941,Teasdale,Verree,F,1904,,R:sophisticated or suspicious,USA,,,
