Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Rademakers,D,FRa,@1980,Rademakers,Fons,,,Holland,,
Radford,D,MiR,@1984,Radford,Michael,,,,,
Radler,D,RRa,@1989,Radler,Robert,,,USA,,
Rafelson,DW,BRf,@1970-1997,Rafelson,Bob,1934,,USA,,
Rafkin,D,ARa,@1967,Rafkin,Alan,,,,Er(Or),
Ragona,D,UbR,@1964,Ragona,Ubaldo,19xx,,Italy,,
Raimi,DA,SRi,@1977-1990,Raimi,Sam,1960,,USA,,
Rainer,D,YRa,@1974,Rainer,Yvonne,19xx,,USA,,
Ramis,AWD,HaR,@1980-1993,Ramis,Harold,,,,,
Ramsay,WD,LyR,@1999,Ramsay,Lynn,19xx,19yy,Great Britain,,
Randel,D,CRd,@1992,Randel,Christopher,19xx,,USA,,
Ranga,D,DRa,@1997,Ranga,Donna,,199x,,,
Ransick,DW,WhR,@1993,Ransick,Whitney,19xx,,USA,,
Ransohoff,WP,,1962-93,Ransohoff,Martin,1927,,USA,,
Rappaport,WD,MRa,@1996,Rappaport,Mark,,,,,
Rappeneau,D,JPR,@1977-1991,Rappeneau,Jean-Paul,*,,France,,
Rapper,D,IrR,@1941-1978,Rapper,Irving,1898,,USA,St(Warners),
Rash,D,SRa,@1981,Rash,Steven,[1],,USA,,
Ratner,D,BRa,@1997-1999,Ratner,Brett,,199x,,,
Ratoff,AD,GrR,@1937-1957,Ratoff,Gregory,1897,1960,Russia,,
Ravel,D,GRv,@1928,Ravel,Gaston,19xx,,France,,
Irving~Ravetch,,,1958,Ravetch,Irving,,,USA,Mt(Harriet Frank~jr.; W),
Ravett,D,ARv,@1989,Ravett,Abraham,,,,,
Rawlins,D,IRa,@1946-1947,Rawlins,John,,,USA,Ty(Actn: Dick Tracy) ER(Jack?),
F.O.Ray,D,FOR,@1980-1990,Ray,Fred Olen,,,USA,"Ty(B-movies, Porn)",
Man~Ray,D,MnR,@1923,Radnitsky,Emmanuel,1890,1976,USA,Ty(surreal) Ww(Meret Oppenheim),
N.Ray,WDA,NR,@1947-1976,Kienzle,Raymond Nicholas,1911,1979,USA,,
S.Ray,D,SR,@1954-1977,Ray,Satyajit,1921,1992,India,Aw(AFI Lifetime AA? 1992) InB(Billy Wilder) Pa(Sondeep Ray; D),
Raymond,PD,JRa,@1934-1952,Caines,John (Jack),1892,11953,Great Britain,Ty(Comd),
S.Raymond,D,SRd,@1973,Raymond,Susan,19xx,,USA,Mt(Allen Raymond),
Redford,AD,RR,@1980-1998,Redford,"Charles Robert, jr.",1937,,USA,Mt(Lola van Wagenen;),
C.Reed,D,CR,@1934-1972,Reed,Sir Carol,1906,1976,Great Britain,Ty(civilized),
L.Reed,WD,LuR,@1929-1930,Reed,Luther,,,USA,,
T.Reed,D,ThR,@1939,Reed,Theodore,,,USA,,
Rees,D,JeR,@1991,Rees,Jerry,,,USA,,
Reeves,D,MRv,@1965-1968,Reeves,Michael,1944,1969,Great Britain,,
Regan,D,RRe,@1990,Regan,Rob,,,,,
Reggio,DW,GoR,@1983-1988,Reggio,Godfrey,,,,[1],
Reichert,D,MRc,@1980,Reichert,Mark,,,USA,,
C.Reiner,AWD,CaR,@1959-1989,Reiner,Carl,1922,,USA,Ty(Comd),
Reid,D,IRd,@1979-1994,Reid,John,,199x,New Zealand,,
R.Reiner,D,RbR,@1983,Reiner,Robert,,,USA,Mt(Penny Marshall),
Reinert,D,ARt,@1990,Reinert,Al,,,USA,Ty(Docu),
G.Reinhardt,WPD,GxR,@1961-1964,Reinhardt,Gottfried,1913,1994,,"St(MGM) Ch(Max Reinhardt) Note(W,P since 1940)",
