Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Babenco,D,HeB,@1975-1991,Babenco,Hector,[1],\Un,Argentina gentine,Mt(Xu xa Lopes; A),
Bacon,D,LlB,@1926-1954,Bacon,Lloyd,1890,1955,USA,St(Warners),
Bachmann,D,GiB,@1970,Bachmann,Gideon,19xx,\Un,,,
Back,D,FrB,@1970-1994,Back,Frederick,19xx,\Un,Canada,Ty(Cart; handdrawn),
Badger,D,CBa,@1919-1939,Badger,Clarence,1880,1964,USA,,
Badham,D,IBa,@1971-1988,Badham,John,*,\Un,USA,,
M.Baer,ADP,MxB,@1975-1976,Baer,Max~jr,1937,\Un,USA,,
L.Baer,D,LzB,@1990,Baer,Liza,,\Un,USA,Gd(F),
Bahr,D,FxB,@1991,Bahr,Fax,,\Un,,,
Baier,D,JoB,@1991,Baier,Jo,19xx,\Un,Germany,,
Bail,D,CkB,@1976,Bail,Chuck,,\Un,USA,,
Bailey,D,IBl,@1991-1994,Bailey,John,,\Un,,,
Baird,D,SBd,@1996,Baird,Stuart,19xx,199x,,,
G.Baker,D,GrB,@1981-1988,Baker,Graham,[1],\Un,,,
R.S.Baker,PD,RSB,@1950-1961,Baker,Robert S.,1916,\Un,Great Britain,St(Tempean) Ty(Susp: the Saint),
R.W.Baker,DP,RWB,@1934-1981,Baker,Roy Ward,1916,\Un,Great Britain,St(Gainsborough),
Bakshi,WD,RBa,@1971-1982,Bakshi,Ralph,1939,\Un,USA,Ty(Cart),
Baxley,D,CBx,@1988,Baxley,Craig R.,19xx,199x,,,
Bela~Balazs,W,,1919-1931,Bauer,Hubert,1884,1949,Hungary,,
Balsmeyer,D,JBm,@1991,Balsmeyer,Jeff,19xx,\Un,USA,,
Barney~Balaban,P,,,Balaban,Barney,1887,1971,USA,St(Paramount),
Balabanov,D,AxB,@1998,Balabanov,Alexei,,\Un,Russia,,
Barney,D,MwB,@1992,name1,Matthew,19xx,199x,,Ty(Docu),
Batabas,D,xBa,@1993,Bartabas,gn,19xx,\Un,,,
Bob~Balaban,AD,BoB,@1989,Balaban,Bob,1965,\Un,USA,,
Burt~Balaban,DP,BB,@1957-1966,Balaban,Burt,1922,\Un,USA,Ch(Barney Balaban),
Balcon,P,,1923-1963,Balcon,Sir Michael,1896,1977,Great Britain,"Pa(Jill Balcon) Ww(Hitchcock) Fd(Gainsborough, Bryanston) St(Gainsborough, Gaumont-British, MGM-British (Ealing), Bryanston, British Lion)",
Baldwin,D,RAB,@1917,Baldwin,Ruth Ann,[1],\Un,,St(Universal),
C.Ballard,D,CBd,@1980-1983,Ballard,Carroll,*,\Un,USA,,
J.Ballard,DW,IBd,@1980,Ballard,John,,\Un,USA,,
Lucien-Ballard,C,,@1935-1976,Ballard,Lucien,1908,\Un,USA,,
Ballhaus,C,,@1970-1990,Ballhaus,Michael,1935,\Un,Germany,"Ww(Fassbinder, Scorsese) Ch(Si(Ophuls))",
Band,DPW,ABd,@1956-1957,Band,Afredo (Albert),1924,\Un,Italy,,
Banks,AD,MBa,@1931-1941,Bianchi,Mario (Monty),1897,1950,Italy,,
Banno,D,YBa,@1971,Banno,Yoshimitsu,,\Un,Japan,,
Bano,D,AlB,@1978,Bano,Albert,,\Un,,,
N.Barker,D,NBa,@1998,Barker,Nicholas,,\Un,,,
R.Barker,D,ReB,@1914,Barker,Reginald,,\Un,,,
George~Barnes,C,,1945,Barnes,George,,\Un,USA,Ww(Hitchcock),
Barnett,D,IvB,@1949,Barnett,Ivan,[1],\Un,
Barret,D,BuB,@1927,Barret,Bruno,,\Un,Russia,,
B.Barreto,D,BBa,@1976,Barreto,Bruno,[2],\Un,Brazil,,
L.Barreto,D,LBa,@1953,Barreto,Lima,1905,1982,Brazil,,
L.C.Barreto,P,,@1976,Barreto,Luis Carlos,[2],\Un,Brazil,,
Barrett,D,SlB,@1997,Barrett,Shirley,,199x,Australia,Ge(F),
Barron,D,SBa,@1990-1993,Barron,Steve,[1],\Un,USA,,
Barrymore,AWD,LiB,@1938-1945,Blythe,Lionel,1878,1954,USA,,
Bartel,DAW,PBa,@1972-1989,Bartel,Paul,1940,\Un,USA,,
Bartlett,WPD,HaB,@1955-1978,Bartlett,Hall,1922,1993,USA,Mt(Rhonda Fleming;),
Basaran,D,TuB,@1991,Basaran,Tunc,,\Un,Turkey,,
Barton,D,CTB,@1948-1959,Barton,Charles T.,,\Un,,,
Bass,D,SBs,@1974,Bass,Saul,,\Un,USA,,
Bava,CDW,MaB,@1960-1971,Bava,Mario,,\Un,Italy,,
Bay,D,MBy,@1995,Bay,Michael,,199x,USA,Inb(Tony Scott),
Bean,D,RBB,@1971,Bean,Robert B.,,\Un,,,
Beatty,APWD,WBe,@1978-1998,Beatty,Warren,1937,\Un,USA,,
Beaudine,D,WiB,@1923-1966,Beaudine,William,1892,197x,USA,Nt(prolific),
Ch.Beaumont,WD,CBe,@1981,Beaumont,Charles,,,USA,,
H.Beaumont,D,HB,@1929-1947,Beaumont,Harry,1888,1966,USA,,
H.Becker,D,Hbe,@1979-1989,Becker,Harold,,\Un,USA,,
J.Becker,WD,JqB,@1942-1960,Becker,Jacques,1906,1960,France,Ty(civilized comedies),
Bedford,D,TeB,@1983,Bedford,Terry,,\Un,USA,,
Beebe,DPW,FoB,@1938-1954,Beebe,Ford,,\Un,,,
Beineix,D,JJB,@1981-1988,Beineix,Jean-Jacques,,,France,,
Belikov,D,MiB,@1989,Bilikov,Mikhael,,\Un,Russia,,
Bekolo,D,JPB,@1993,Bekolo,Jean-Pierre,19xx,\Un,,,
Mo.Bell,D,MoB,@1925,Bell,Monta,,\Un,
Mt.Bell,D,MtB,@1984-1993,Bell,Martin,,\Un,USA,Mt(Mary Ellen Mark; photojournalist),
Bellamy,D,EBy,@1966-1977,Bellamy,Earl,,\Un,,,
Bellocchio,WD,MBe,@1965-1994,Bellocchio,Marco,1941,\Un,Italy,,
Belson,D,JBs,@1982,Belson,Jerry,,\Un,USA,,
Belvaux,AD,RBx,@1992,Belvaux,Remy,19xx,\Un,France,,
Benacerraf,D,MBc,@1958,Benacerraf,Margot,,\Un,Venezuela,Gd(F) Ty(Cinema Novo),
P.Benchley,BW,,"1975,1977",Benchley,Peter,1940,\Un,USA,,
Benedek,D,LaB,@1954,Benedek,Laszlo,,\Un,,,
Benegal,D,ShB,@1970,Benegal,Shyam,1935,\Un,India,,
Benigni,AWD,RrB,@1992,Benigni,Roberto,19xx,\Un,Italy,,
Benjamin,D,RiB,@1982-1993,Benjamin,Richard,,,,,
Benner,D,RBn,@1977,Benner,Richard,,\Un,USA,,
Bennet,D,SGB,@1930-1965,Bennett,Spencer Gordon,1893,,USA,Ty(serials),
A.Bennett,WD,AaB,@1964-1993,Bennett,Alan,1934,,Great Britain,,
C.Bennett,ED,CoB,@1945-1965,Compton-Bennett,Robert,1900,1974,Great Britain,,
H.Bennett,PW,,1986,Bennett,Harve,,,USA,,
