Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Jablonski,D,DzJ,@1999,Jablonski,Dariusz,19xx,19yy,Poland,,
M.Jackson,D,MiJ,@1990-1993,Jackson,Mick,,,Great Britain,Ty(TV),
P.Jackson,WD,PaJ,@1941-1964,Jackson,Patrick,,,Great Britain,,
W.Jackson,D,WlJ,@1949,Jackson,Wilfred,,,USA,Ww(Disney),
Peter.Jackson,D,PeJ,@1993,Jackson,Peter,,,,,
Jacobs,D,AJa,@1995,Jacobs,Alan,19xx,,,note(Stanford; 1991),
Jacobson,D,AJs,@1927,Jacobson,Arthur,[1],,USA,St(Paramount),
Jaeckin,D,JuJ,@1974-1985,Jaeckin,Just,,,France,,
Jacquot,D,BJq,@1990-1995,Jacquot,Benoit,,199x,France,,
Jaglom,DA,HJ,@1971-1980,Jaglom,Henry,1941,,USA,Ty(excentric) St(independent) Ww(Orson Wells) Lw(Andrea Marcovicci; singer) Mt(Victoria Foyt; A),
Jameson,D,JeJ,@1972-1980,Jameson,Jerry,,,USA,,
Jarman,D,DeJ,@1978-1994,Jarman,Derek,,,USA,,
Jarmusch,D,JJm,@1983-1989,Jarmusch,Jim,,,USA,,
Jarrot,D,CJ,@1962-1982,Jarrot,Charles,1927,,Great Britain,,
Jason,D,LeJ,@1928-1952,Jason,Leigh,1904,1979,USA,Ty(sec.features),
Jean,D,RJe,@1989,Jean,Raymond,,,France,,
Jeffries,ADW,LJe,@1970-1978,Jeffries,Lionel,1926,,Great Britain,,
Jeffrey,D,TJe,@1979,Jeffrey,Tom,,,USA,,
Jenkins,WD,TJk,@1998,Jenkins,Tamara,,,,Ge(F),
Jennings,D,HuJ,@1943,Jennings,Humphrey,,,Great Britain,Ty(Docu),
H.Jessup,V,,1988,Jessup,Harley,,,USA,Nt(Stanford MFA '78),
Jewell,D,AuJ,@1957,Jewell,Austen,,,USA,,
Jewison,D,NJ,@1963-1988,Jewison,Norman,1926,,Canada,,
Jhabvala,W,,1965-1993,Jhabvala,Ruth Prawer,19xx,,Germany,"Ww(Ivory, Merchant)",
Jimenez,WD,NJi,@1992,Jimenez,Neal,,,USA,,
Joanou,D,PhJ,@1990,Joanou,Phil,,,,,
Jodorowsky,DWA,AJy,@1971,Jodorowsky,Alexendro,[1],,Mexico,Er(Or),
C.R.Joffe,P,,1985,Joffe,Charles R.,19xx,,\US,Ww(Woody Allen),
A.Joffe,CDW,AxJ,@1946,Joffe,Alexandre,1918,,France,,
M.Joffe,D,MkJ,@1996-1998,Joffe,Mark,19xx,,France,,
R.Joffe,D,RoJ,@1984-1999,Joffe,Roland,,,Great Britain,,
A.Johnson,D,AlJ,@1983,Johnson,Alan,[1],,,,
L.Johnson,D,LaJ,@1967-1983,Johnson,Lamont,1920,,USA,,
M.S.Johnson,WD,MSJ,@1998,Johnson,Mark Steven,19xx,,USA,,
P.R.Johnson,D,PRJ,@1994,Johnson,Patrick Read,19xx,,,,
Nunally~J.,WPD,NuJ,@1953-1965,Johnson,Nunally,1897,1977,USA,,
Johnston,D,JJo,@1989-1999,Johnston,Joe,[6],,USA,St(Industrial Light and Magic),
A.Jones,WD,AJo,@1983,Jones,Amy,,,,Gd(F) Ww(Dieterle?),
Ch.Jones,D,CJo,@1940-1990,Jones,Charles M. (Chuck),1912,199x,,"Ty(Daffy Duck Cartoons) St(Warners) Er(dow, but close, 1935?)",
D.Jones,D,DvJ,@1989-1993,Jones,David,[1],,,,
F.R.Jones,D,FRJ,@1929,Jones,F.Richard,,,USA,,
H.Jones,D,HrJ,@1951-1966,Jones,Harmon,1911,1972,Canada,,
K.Jones,WD,KJo,@1998,Jones,Kriak,,,USA,,
L.Jones,D,LJo,@1973,Jones,Lee,,,USA,,
J.C.Jones,D,JCJ,@1973,Jones,James Cellan,,,,,
Q.Jones,MP,,,Jones,Quincy,,,USA,"Mt(Peggy Lipton, Natassia Kinsky)",
L.Q.Jones,AD,LQJ,@1975,McQueen,L.E.,1936,,USA,,
T.Jones,D,TrJ,@1979-1987,Jones,Terry,[1],,Great Britain,Ty(Monty Python),
G.Jordan,D,GlJ,@1973-1993,Jordan,Glenn,,,USA,,
N.Jordan,WD,NeJ,@1982-1992,Jordan,Neil,1950,,Ireland,Ww(Boorman),
Jordon,D,GJo,@1983,Jordon,Glenn,,,USA,,
Julian,D,RuJ,@1923-1930,Julian,Rupert,1886,1943,USA,,
Julien,D,IsJ,@1989-1991,Julien,Isaac,1960,,Great Britain,,
Adrien~Joyce,W,,1975,Eastman,Carol,,,USA,Nt(same as actress?),
J.Judge,DW,JJu,@1954,Judge,Joel,19xx,,,,
M.Judge,D,MJu,@1998,Judge,Mike,19xx,,,Note(creator of Beavis & Butthead),
Junger,D,GJu,@1999,Junger,Gil,19xx,19yy,,,
Junghans,D,CJu,@1929,Junghans,Carl,,,,,
Junil,D,ZJu,@1949,Junil,Zheng,,,,,
Juran,VD,NJu,@1952-1975,Hertz,Nathan,1907,,Austria,,
Justiniano,D,GoJ,@1985,Justiniano,Gonzalo,19xx,,
Jutzi,CD,PJ,@1929-1931,Jutzi,Piel,[1],,Germany,,
