Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
McAnuff,D,DMc,@1998,McAnuff,Des,,,Great Britain,,
MacArthur,WDP,CMA,@1935-1936,MacArthur,Charles,1895,1956,USA,Ww(Ben Hecht) M(Helen Hayes),
D.MacDonald,D,DMD,@1927-1961,MacDonald,David,1904,1961,Great Britain,,
R.MacDonald,D,RMc,@1992,MacDonald,Rodney,,,,,
Ross~MacDonald,W,,,Millar,Kenneth,,,USA,Ty(Detective writer) Mt(Margaret Millar),
MacDougall,D,RMD,@1960,MacDougall,Ranald,,,,,
MacFadden,D,HMF,@1930-1942,MacFadden,Hamilton,1901,,USA,,
MacGowan,P,,MacGowan,Kenneth M.~,1888,1963,USA,,St(Fox) Ww(Hitchcock),
Machaty,WD,GMy,@1926-1945,Machaty,Gustav,1898,1963,Czechoslovakia,,
Mack,D,RMk,@1933,Mack,Russell,,,,,
Mackay,D,WMk,@1909,Mackay,Windsor,,,,Er(sp),
Mackendrick,WDA,SM,@1949,Mackendrick,Alexander (Sandy),1912,,USA,,
Mackenzie,D,IMz,@1980,Mackenzie,John,,,,,
MacKinnon,D,GMK,@1992-1999,MacKinnon,Gillies,,,Ireland,,
MacLaine,D,SML,@1998,MacLaine,Shirley,,,,,
MacLean,D,AMc,@1989,McLean,Alison,,,New Zealand,Gd(F),
Madden,D,IMd,@1993-1994,Madden,John,,,,,
Maddin,D,GuM,@1985-1990,Maddin,Guy,,,Canada,,
Ben~Maddow,BWP,,1950,Maddow,Ben,1909,1992,USA,,
Magwood,WD,PMa,@1971,Magwood,Paul,,,USA,,
Maggenti,WD,MgM,@1997,Maggenti,Maggie,,19yy,USA,,
Maggi,D,LMi,@1908-1914,Maggi,Luigi,,,Italy,,
Mailer,BD,NoM,@1987,Mailer,Norman,,,USA,Mainly(B),
Maisch,D,xMa,@1938,Maisch,gn,,,Germany,Er(Ct),
Mahlin,D,CrM,@1997,Mahlin,Charlie,,,,Er(sp name) Er() Ch(W. Mahlin),
Makavejev,D,DuM,@1981-1985,Makavejev,Dusan,,,,,
Makk,D,KaK,@1982,Makk,Karoly,,,Hungary,,
Makmalbaf,D,SMf,@1999,Makmalbaf,Samira,,19yy,Iran,Ch<m.makmalbaf) </m.makmalbaf)
