Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Gabel,D,SGa,@1997,Gabel,Shainee,,199x,,Ge(F),
Gad,D,UrG,@1911,Gad,Urban,19xx,,,,
Gage,D,IGg,@1948,Gage,John,,,,,
Gallo,WDA,VGa,@1998,Gallo,Vincent,,,,,
Gallone,D,CGl,@1914-1962,Gallone,Carmine,1886,1973,Italy,Ty(Musc: opera) Inc(Visconti) Mt(Soava Gallone),
Gallu,D,SaG,@1967,Gallu,Samuel,19xx,,,,
Rita~Gam,DP,RtG,@1990,Gam,Rita,1940,,USA,Er(dob 194x) Er(dow) Ty(Films on films),
Gance,DA,AG,@1919-1937,Gance,Abel,,1981,France,Er(Or),
Gabriel~Garcia,B,,1964-1991,Garcia Marquez,Gabriel,,,Argentina,,
N.Garcia,D,NcG,@1998,Garcia,Nicole,,,USA,Ge(F),
R.Garcia,D,RsG,@1999,Garcia,Risa Bramon,,,USA,Mainly(Casting) Ge(F),
Gardner,D,HGr,@1976,Gardner,Herb,,,USA,,
Gardos,D,PGa,@1985,Gardos,Peter,,,Hungary,,
Garfein,D,JGf,@1961,Garfein,Jack,,,,,
Garnett,D,TG,@1928-1973,Garnett,Tay,1895,1977,USA,,
Garrel,D,PhG,@1993,Garrel,Phillip,,199x,France,,
Garrett,D,LGr,@1980,Garrett,Lila,,,USA,,
T.Garrett,D,TGr,@1983,Garrett,Tony,,,USA,,
Garris,D,MkG,@1992,Garris,Mick,,,,,
Gast,D,LoG,@1974-1997,Gast,Leon,,199x,,Ty(Docu),
Gastyne,D,xGa,@1929,Gastyne,gn,[1],,France,,
Gaugh,D,HoG,@1977,Gaugh,Homer,19xx,,,,
Gaup,AD,NGp,@1990,Gaup,Nils,1955,,\No,,
Gaziadis,D,DGz,@1929,Gaziadis,Dimitris,19xx,,Greece,,
Gazcon,D,GiG,@1966,Gazcon,Gilberto,,,USA,,
David~Geffen,X,,@191985-1994,Geffen,David,19xx,,USA,St(Warners),
