Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Pabst,D,GP,@1923-1956,Wilhelm,George,1885,1967,Germany,,
Pachard,D,HPa,@1982,Pachard,Henri,,199x,,Ty(Porn),
Pacino,AD,AlP,@1987,Pacino,Al,1939,,USA,Mainly(A),
Padovan,D,APv,@1911,Padovan,Adolfo,19xx,,Italy,,
A.Page,D,AnP,@1968-1994,Page,Anthony,1935,,Great Britain,,
Pagnol,WD,MPa,@1934-1955,Pagnol,Marcel,1894,1974,France,,
Pakula,D,AJP,@1976-1993,Pakula,Alan J.,,1998,USA,,
Pal,PD,GPl,@1960,Pal,George,,,USA,,
Palcy,D,EPy,@1984,Palcy,Euzhan,[1],,,Er(dow),
Palekar,D,APl,@1990,Palekar,Arnol,19xx,,India,,
Palermi,D,,1923-1926,Palermi,Amleto,19xx,,Italy,Ww(Gallone),
Palmer,D,ToP,@1984,Palmer,Tony,[1],,Great Britain,Er(lost name and film entry),
Paltrow,PD,BrP,@1982,Paltrow,Bruce,,,USA,Pa(Gwyneth Paltrow),
Panama,WPD,NPa,@1955-1977,Panama,Norman,1914,,USA,Ww(M. Frank),
Papastathis,D,LPs,@1987,Papastathis,Lakis,19xx,,Greece,,
Papatakis,D,NPk,@1967-1986,Papatakis,Nikos,19xx,,Greece,,
Parajanov,D,SgP,@1990,Parajanov,Sergei,19xx,,Russia (Armenian),,
Parent,D,JPt,@1935,Parent,James,,199x,,Er(dow),
Paris,D,JrP,@1968,Paris,Jerry,,,USA,,
Parisot,D,DPs,@1996,Parisot,Dean,,,,,
Park,D,NiP,@1991,Park,Nick,19xx,,Great Britain,Ty(Cart),
Albert~Parker,D,AlP,@1918-1936,Parker,Albert,,,,,
A.Parker,WD,APa,@1973-1990,Parker,Alan,1944,,Great Britain,,
D.Parker,D,DPa,@1992,Parker,David,,,Australia,,
J.Parker,PWD,IPa,@1955,Parker,John,,,Australia,,
T.Parker,WDA,TPa,@1998,Parker,Trey,,,USA,,
