Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Caan,AD,JsC,@1980,Caan,James,,,USA,,
Cabanne,D,CCb,@1940,Cabanne,Christy,,,,,
Cacoyannis,D,MCy,@1953-1976,Cacoyannis,Michael,1922,,Greece,,
Cadiff,D,ACf,@1997,Cadiff,Andy,,,,,
E.L.Cahn,D,ELC,@1931-1963,Cahn,Edward L.,1899,1963,USA,Nt(prodigious),
Sammy~Cahn,M,,@1940-1963,Cahn,Sammy,1913,1992,USA,Nt(lyrics),
J.M.Cain,B,,1933-1968,Cain,James M.,1892,,,,
Caiozzi,WDP,SCz,@1990,Caiozzi,Silvio,,,Chile,,
Callow,D,SCa,@1991,Callow,Simon,,,USA,,
Camerini,D,xCm,@1933,Camerini,Mario,,,Italy,Er(1930/1954 same),
J.Cameron,VDWP,JCm,@1978-1994,Cameron,James,1955,,Canada,"Mt(Gale Ann Hurd;P, Kathryn Bigelow; D) Ww(Roger Corman)",
K.Cameron,D,KCm,@1992,Cameron,Ken,,,,,
Cammell,D,DCa,@1969-1977,Cammell,Donald,,,USA,,
Camp,D,JCp,@1981-1982,Camp,Joe,,,USA,,
Campanella,D,JJC,@1998,Campanella,Juan J.,,,,,
Campanile,D,PFC,@1970-1971,Campanile,Pasquale Festa,,,Italy,,
C.Campbell,D,CoC,@1914,Campbell,Colin,[1],,USA,Ty(Chicago),
M.Campbell,D,MtC,@1994-1998,Campbell,Martin,,,USA,,
Campion,D,JCi,@1984-1993,Campion,Jane,,,Australia,Gd(F),
Camus,D,MCm,@1958,Camus,Marcel,1912,1982,France,,
Cannon,D,DCn,@1995-1998,Cannon,Danny,,1980,,,
Capra,D,FC,@1926,Capra,Frank Chico,1897,1991,Italy,,
Capuano,D,ACp,@1991,Capuano,Antonio,,,Italy,,
Carax,D,LCa,@1985,Carax,Leos,,,,Ww(Juliette Biniche) Ty(obscure) Er(year),
Carewe,D,ECa,@1915-1934,Fox,"Jay (Edwin, Arthur Edmund)",1883,1940,USA,,
Cardiff,CDP,JCa,@1958-1976,Cardiff,Jack,1914,,Great Britain,,
Cardona,D,RCj,@1977-1980,Cardona,Rene jr.,,,,,
Cardos,D,ICd,@1979,Cardos,John,[1],,,,
Cardoza,D,AnC,@1979,Cardoza,Anthony,,,,,
Carlsen,D,HCn,@1992,Carlsen,Henning,,,Sweden,
Carlei,WD,CCa,@1993-1995,Carlei,Carlo,,,Italy,,
Carlino,D,LIC,@1976-1983,Carlino,Lewis John,,,USA,,
Carne,DW,MC,@1936-1971,Carne,Marcel,1903,,France,,
Caron,DW,GGC,@1994,Caron,Glenn Gordon,,,,,
Caros,D,IBC,@1992,Caros,John `Bud',,,,Er(sp fn),
Carow,D,HCa,@1989,Carow,Heiner,,,Germany,Or(GDR),
Carpenter,DP,ICa,@1974-1998,Carpenter,John,,,,,
Carr,D,HoC,@1953,Carr,Howard,,,USA,,
Carra,PD,LuC,@1992,Carra,Lucille,,,,Gd(F),
Carreras,D,MlC,@1966,Carreras,Michael,,,,,
Carriere,WP,,1962-1982,Carriere,Jean-Claude,1931,,France,Ww(Louis Bunuel),
Carstairs,D,IPC,@1939-1961,Keys,John Paddy,1912,1970,Great Britain,,
Carter,D,CrC,@1998,Carter,Chris,,,USA,,
P.Carter,D,PeC,@1984,Carter,Peter,,,USA,,
T.Carter,D,ThC,@1970-1993,Carter,Thomas,[10],,USA,Er(dow),
H.Carver,D,HPC,@1930,Carver,H.P.,,,USA,Ty(Docu),
S.Carver,D,StC,@1974,Carver,Steve,[1],,,,
JCassavetes,ADWP,ICs,@1961-1983,Cassavetes,John,1929,1989,USA,,
NCassavetes,D,NCs,@1997,Cassavetes,Nick,,1980,USA,Ch(Jcassavetes) Mt(Gena Rowlands?),
Castellani,WD,EGC,@1970-1994,Castellani,Enzo Girolami,,,Italy,,
Caserini,D,MCs,@1913,Caserini,Mario,,,Italy,,
Cass,D,HyC,@1950,Cass,Henry,,,Great Britain,,
Cassini,D,AxC,@1991,Cassini,Alexander,,,USA,,
Castellani,WD,ReC,@1941-1972,Castellani,Renato,1913,,Italy,,
Castellvi,D,xCa,@1940,Castellvi,gn,,,Spain,,
N.Castle,D,NiC,@1984-1993,Castle,Nick,,,USA,,
W.Castle,ADP,WiC,@1943-1968,Castle,William,,,USA,Ty(Horr; after 1958),
Cates,D,GiC,@1968-1980,Cates,Gilbert,,,USA,,
CatonJones,D,MCJ,@1989-1995,Caton-Jones,Michael,[6],,Great Britain,,
Cattaneo,D,PCa,@1997,Cattaneo,Peter,,,,,
Caulfield,D,MCa,@1982,Caulfield,Michael,,,USA,,
Cavalcanti,D,ACa,@1926-1962,Cavalcanti,Alberto,1897,1982,Brazil,,
Cavalier,WD,ACv,@1986,Cavalier,Alain,,,France,,
Cayatte,D,ACy,@1949-1970,Cayatte,Andre,1909,,France,,
Cerf,D,NAC,@1956,Cerf,Norman A.,,,,,
Chabrol,WD,ClC,@1958-1983,Chabrol,Claude,1930,,France,,
Chadha,DSWSS,GuC,@1994,Chadha,Gurinder,,,,,
Chaffey,D,DCh,@1963,Chaffey,Don,,,USA,,
Chahine,D,YCh,@1958-1973,Chahine,Youssef,,,Egypt,,
Champion,D,GCh,@1983,Champion,Gregg,,,USA,Er(year),
J.Chan,AD,JCh,@1982-1986,Chan,Jackie,,,Hong Kong,"Ty(Comd,Actn)",
P.Chan,D,PtC,@1997,Chan,Peter Ho-Sun,,,Hong Kong,,
T.Chan,AD,TCn,@1993,Chan,Tony,,,,,
Chaplin,ADP,CC,@1914-1966,Chaplin,Sir Charles,1889,1977,Great Britain,,
Ma.Chapman,D,MCp,@1979,Chapman,Michael,,,USA,,
Mi.Chapman,D,MCh,@1983-1984,Chapman,Michael,,,USA,,
Chappelle,WD,JCe,@1994,Chappelle,Joe,,,,,
Chartoff,P,,1979-1989,Chartoff,Robert,,,USA,,
Chase,D,RiC,@1983,Chase,Richard,,,USA,,
