Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
LaBute,D,NLB,@1997,LaBute,Nick,,,,,
LaCava,DW,GLC,@1925-1947,La Cava,Gregory,1892,1952,USA,,
Lacerte,WD,JqL,@1972,Lacerte,Jaques,,,,,
LeChanois,D,JPL,@1948,Le Chanois,Jaea-Paul,,,France,,
Lachman,D,HLa,@1928-1942,Lachman,Harry,1886,1968,USA,Or(Great Britain),
Lacombe,D,GLa,@1942,Lacombe,Georges,[1],,France,,
Laemmle,P,,1906-1935,Laemmle,Carl,1867,1939,Germany,"Fd(Laemmle film exchange; 1906, IMP, 1909) St(Universal)",
E.Laemmle,D,ELa,@1929,Laemmle,Ernst,,,Germany,Er(Carl),
Laemmle~jr,P,,@1923-1936,Laemmle,Carl~jr,1908,1979,Germany,St(Universal),
Lafia,WD,ILf,@1993,Lafia,John,,,,,
LaGravenese,WD,RLG,@1998,LaGravenese,Richard,,,,,
Laloggia,WDP,FLg,@1981,Lalogia,Frank,1958,,,,
Lalouche,D,CLa,@1995,Lalouche,Claude,,,France,, Claude Lalouche :,T:Les Miserables,"1995 col Epic 2thumbs France T(1900-1946) M(Michel LeGrand,)",
Laloux,D,RLa,@1973,Laloux,Rene,[1],,France,animator,
Lamb,CWDP,ILb,@1961-1965,Lamb,John,,,USA,Mainly(undersea C),
Lambert,D,MLa,@1989,Lambert,Mary,[1],,,Gd(F),
Lamprect,D,MLa,@1989,Lambert,Mary,[1],,,Gd(F),
Lamont,D,CLa,@1925-1956,Lamont,Charles,1898,,USA,Ty(Comd) St(Universal),
Lamorisse,D,AlL,@1949-1964,Lamorisse,Albert,1922,1970,France,,
Lampin,D,GLm,@1946,Lampin,Georges,,,France,,
Lamprecht,D,GLp,@1924-1931,Lamprecht,Gerhard,,,Germany,,
Lane,DA,ChL,@1976,Lane,Charles,1944,,USA,,
Landers,D,LLa,@1949-1953,Landers,Lew,,,USA,,
Landis,DW,ILa,@1963-1983,Landis,John,1950,,USA,,
J.Landon,D,ILd,@1994,Landon,John,,,,,
M.Landon,PD,MLn,@1976,Landon,Michael,,1991,,,
Landres,D,PLd,@1957,Landres,Paul,,,,,
Lanfield,MD,SLa,@1932-1952,Lanfield,Sidney,1900,1972,USA,,
Ch.Lang,C,,1932-1956,Lang,Charles,,,USA,,
Ch.Lang~jr,C,,1961-1983,Lang,Charles~jr.,,,USA,Er(mi E.),
F.Lang,DWA,FL,@1919-1958,Lang,Fritz,1890,1976,Germany,Mt(Thea vonHarbou: W) Inf(Hitchcock) Ty(noir),
J.Lang,P,,1983,Lang,Jennings,,,USA,,
R.Lang,D,RiL,@1978,Lang,Richard,,,USA,,
W.Lang,DA,WLa,@1927-1961,Lang,Walter,1896,1972,USA,,
Langdon,AD,HLg,@1928-1944,Langdon,Harry,1884,1944,USA,,
Lanza,D,AML,@1970,Lanza,Anthony M.,[1],,USA,,
Lanzman,DP,CLz,@1985,Lanzman,Claude,,,USA,,
Lapine,D,JLp,@1991,Lapine,James,,,,Mt(Sarah Kernochan),
Larraz,D,JLr,@1971,Larraz,Joseph,,,,,
Laskos,D,OrL,@1931-1932,Laskos,Orestes,,,Greece,Er(lakos),
Lasky,P,,1914,Lasky,Jesse L.,1880,1958,USA,St(Famous) Inf(Hitchcock) Pa(Blanche Lasky),
Lasseter,D,ILt,@1985-1998,Lasseter,John,,,,"St(Pixar) Er(Lassiter) Ty(Cart, 3-D) St(Disney, Lucasfilm)",,
A.Laszlo,C,,1964-1992,Laszlo,Andrew,1926,,Yugoslavia,,
E.Laszlo,C,,1929-1977,Laszlo,Ernest,1905,1984,Yugoslavia,,
J.Laszlo,C,,1985-1991,Laszlo,Ernest,,,USA,,
M.Laughlin,D,MSL,@1971-1981,Laughlin,Michael S.,,,USA,MT(Leslie Caron),
T.Laughlin,ADW,ToL,@1967-1971,Frank,Tom C.,,,,,
Laughton,AD,CL,@1955,Laughton,Charles,1899,1962,Great Britain,Ww(Hitchcock),
Launder,WDP,FLd,@1943-1965,Launder,Frank,1907,,Great Britain,Ww(Gilliat),
Lautner,D,GLt,@1963-1990,Lautner,Georges,[1],,,,
Lauzon,WD,JLz,@1990-1992,Lauzon,Jean-Claude,,,Canada,,
Laven,D,ALv,@1953-1964,Laven,Arnold,,,USA,Ww(Hitchcock),
Lavin,DW,JLa,@1995`,Lavin,Julianna,,,,,
A.Lazarus,D,AsL,@1977,Lazarus,Ashley,,,USA,,
M.Lazarus,D,MLz,@1993,Lazarus,Margaret,,,USA,Gd(F),
Ri.Leacock,CD,RhL,@1960-1968,Leacock,Richard,1921,,Great Britain,Si(Philip Leacock) Ty(Cinema Verite),
Ro.Leacock,D,RtL,@1994,Leacock,Robert,,,Great Britain,Ch(Richard Leacock) Ty(Docu),
Ph.Leacock,D,PhL,@1952-1980,Leacock,Philip,1917,,Great Britain,Ww(Hitchcock; TV),
Leach,DW,WiL,@1982,Leach,Wilford,[1],,Great Britain,,
Lean,ED,DL,@1942-1984,Lean,David,1908,,Great Britain,"Mt(, Ann Todd)",
Norman~Lear,P,,1967-1972,Lear,Norman,1926,,USA,Ty(Comd) Note(P:All in the Family,
LeBorg,D,RLB,@1944-1956,Le Borg,Reginald,,,,,
leCarre,B,id,@1999,"Cromwell, le Carre","David, John",1932,\,Great Britain,,
Leconte,D,PLe,@1990-1992,Leconte,Patrice,,,France,Er(Or),
H.Leder,D,HJL,@1969,Leder,Herbert J.,,,,,
M.Leder,D,MmL,@1997,Leder,Mimi,,,,,
Lederman,D,xLe,@1938,Lederman,fn,,,USA,,
Leduc,D,PLu,@1986,Leduc,Paul,,,,,
A.Lee,D,AnL,@1992-1997,Lee,Ang,,,Taiwan,,
N.Lee,D,NoL,@1929-1950,Lee,Norman,,,Great Britain,,
R.V.Lee,DP,RVL,@1926-1945,Lee,Rowland V.,1891,1975,USA,,
Q.Lee,D,QuL,@1998,Lee,Quentin,,,,,
Robert~E.~Lee,W,,,Lee,Robert E.,1919,1994,USA,,
Spike~Lee,MDPA,SpJ,@1986-1998,Jones,Spike Lee,,,USA,Ch(Bill Lee: M),
Leeds,D,HIL,@1938-1951,Levy,Herbert I.,1900,1954,USA,,
