Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Carol~Eastman,W,,@1970,Joyce,Adrien,19xx,,,,
Eastwood,AD,CEa,@1977-1993,Eastwood,Clint,1930,,USA,,
G.Eckman,AD,GEc,@1912-1937,Eckman,"G\""osta",1890,1938,Sweden,Pt(Hasse Eckman),
H.Eckman,DAW,HEc,@1940-1964,Eckman,Hasse,1915,1938,Sweden,Pt(Eckman),
Edel,D,UEd,@1982-1992,Edel,Uli,,,USA,,
Eddington,P,,,Eddington,Samsom,1896,1983,USA,St(RKO) Ww(Hitchcock),
Edgren,D,GuE,@1935,Edgren,Gustav,,,Sweden,,
Edison,D,ThE,@1904,Edison,Thomas Alva,1847,1831,USA,,
B.Edwards,AWDP,BE,@1955-1990,McEdwards,William Blake,1922,,USA,"Ch(Ch(G.Edwards)) Pa(Jennifer Blake; A, Geoffrey Blake, W) Mt(Julie Andrews) Ww(Quine)",
Buck~Edwards,P,,1972,Edwards,Buck,,,USA,,
G.Edwards,D,JGE,@1915-1924,Edwards,J. Gordon,,,USA,,
H.Edwards,AD,HeE,@1932-1941,Edwards,Henry,1882,1952,Great Britain,Mainly(A),
W.Edwards,PWD,WEd,@1969,Edwards,William,,,,,
Edzard,PD,CEd,@1988-1992,Edzard,Christine,[1],,,Gd(F) Mt(Richard Goodwin),
Egoyan,D,AEy,@1985-1995,Egoyan,Atom,,,Canada,Er(dow) Note(Armenian background) Mt(Arsinee Khanjian),
Eichorn,D,FrE,@1956,Eichorn,Franz,19xx,,,,
Eisenstein,DW,SE,@1924-1944,Eisenstein,Sergei,1898,1948,Russia,,
Eisner,P,,y-1988,Eisner,Hal,,,USA,St(Disney) Er(f_name),
Ek,M,MEk,@1998,Ek,Matt,,,Sweden,,
Elias,D,MEl,@1994,Elias,Michael,19xx,,,,
Ellen,D,DEl,@1998,Ellen,Doug,19xx,199x,,,
Elliott,D,StE,@1998,Elliott,Stephan,,,,,
B.Ellis,D,BEE,@1987,Ellis,Bret Easton,,,USA,,
D.Ellis,D,DRE,@1996,Ellis,David R.,,,USA,,
J.Ellis,D,,@1987,Ellis,J,,,USA,,
Elman,D,IrE,@1958,Elman,Irving,,,USA,Ww(Hitchcock; TV),
Else,D,IEl,@1990,Else,John,19xx,,USA,Ty(Docu) Er(dow),
Elvey,D,ME,@1912-1956,Folkard,William (Maurice),1887,1967,Great Britain,,
Emmerich,D,RlE,@1992-1997,Emmerich,Roland,1946,,Germany,,
Enders,D,RoE,@1978,Enders,Robert,,,USA,,
Endfield,D,CyE,@1951-1969,Endfield,Cy,,,USA,,
Engel,D,xEn,@1935,Engel,,[1],,Germany,,
English,D,IEn,@1935-1951,English,John,1903,,Great Britain,St(Republic) Ty(West) Ww(Witney),
Englund,PD,GgE,@1962,Englund,George,,,,,
Enright,ED,REn,@1927-1939,Enright,Ray,1896,1965,USA,,
Enyedi,D,IlE,@1990,Enyedi,Ildik\^o,[1],,Hungary,,
H.Ephron,WP,,,Ephron,Henry,1911,1992,USA,Pa(Nora Ephron) Mt(Phoebe Ephron),
N.Ephron,BWAD,NoE,@1992,Ephron,Nora,,,USA,Gd(F) Si(Delia Ephron) Mt(Carl Bernstein?),
J.Epstein,D,JEp,@1922-1947,Epstein,Jean,1897,1953,France,Inf(Hitchcock) Si(M.Epstein),
Julius~Epstein,WP,,1942-1972,Epstein,Julius J.,1910,1992+,USA,Si(Philip G. Epstein; twin),
M.Epstein,DW,MEp,@1933-1938,Epstein,Marie,1899,,France,Si(J.Epstein) Gd(F),
Philip~Epstein,W,,1941,Epstein,Philip G.,1910,,USA,Si(Julius~Epstein; twin),
R.Epstein,DW,REp,@1984,Epstein,Robert,,,USA,Ty(Docu),
Erschbamer,D,GeE,@1992,Erschbamer,Georg,19xx,,,,
Erskine,WPD,ChE,@1934-1959,Erskine,Chester,1905,,USA,,
Essex,D,HEs,@1953,Essex,Harry,,,USA,,
Eszterhaz,W,id,1997,Eszterhaz,Joe,1945,1998,,T(sexual situations),
Estevez,D,EmE,@1990,Estevez,Emilio,,,,,
Etaix,WPD,PEt,@1961,Etaix,Pierre,19xx,199x,France,,
Eustache,D,JEu,@1964-1973,Eustache,Jean,[1],,France,,
Evans,D,DME,@1993,Evans,David Mickey,19xx,,,,
Eyres,D,IEy,@1992,Eyres,John,19xx,,,,
