Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
C.Haas,WD,ChH,@1959-1963,Haas,Charles,,,USA,Ww(Hitchcock; TV),
G.Haas,D,GeH,@1999,Haas,George,,,USA,,
H.Haas,WPDA,HgH,@1951,Haas,Hugo,,,USA,Ty(B films),
P.Haas,D,PhH,@1993-1996,Haas,Philip,,,USA,Ww(Hitchcock; TV),
Hackford,DP,TaH,@1980-1997,Hackford,Taylor,"[1,6]",,,,
Haggar,PD,WHa,@1902,Haggar,William,1851,1924,Great Britain,Inf(Hitchcock),
Haedrich,WD,RHd,@1963-1964,Haedrich,Rolf,,,Germany,Er(New Zealand),
Haggard,D,PHa,@1980,Haggard,Piers,,,USA,,
Haines,D,RaH,@1989,Haines,Randa,,,USA,,
Haldane,D,BHd,@1913,Haldane,Bert,[1],,Great Britain,Inf(Hitchcock),
J.Hale,D,JfH,@1968,Hale,Jeffrey,,,USA,Ty(Cart),
W.Hale,D,WiH,@1980,Hale,William,,,USA,,
Haley,PD,JHr,@1974,Haley,Jack~jr.,,,USA,,
A.Hall,D,AlH,@1932-1956,Hall,Alexander,1894,1968,USA,,
P.Hall,DP,PrH,@1983,Hall,Peter,,,Great Britain,,
V.C.Hall,D,VCH,@1997,Hall,Vondie Curtis,,,,,
Hallenbeck,D,DrH,@1966,Hallenbeck,Darrell,,,,,
Haller,VD,DnH,@1969,Haller,Danny,,,USA,Ww(Corman),
Hallstrom,D,LHa,@1987-1991,Hallstrom,Lasse,[1],,Sweden,,
Halmi,P,,1995-1999,Halmi,"Robert, sr,-",,19yy,,Ty(TV miniseries),
Dname,D,Did,@1999,fname,xn,,19yy,,,
Halperin,D,VHa,@1932,Halperin,Victor,,,USA,,
Hamer,WD,RHa,@1945-1960,Hamer,Robert,1911,1963,Great Britain,,
D.Hamilton,D,DdH,@1983,Hamilton,David,,,,,
W.Hamilton,D,WlH,@1936,Hamilton,William,,,,,
G.Hamilton,D,GH,@1952-1982,Hamilton,Guy,1922,,Great Britain,,
Hamm,D,NHa,@1998,Hamm,Nick,,,Great Britain,,
Dashiell~Hammett,BW,,1931-1943,Hammett,Dashiell,1894,1961,USA,"Ty(Susp) Lw(Lillian Hellman; B,W)",
Hampton,D,CHp,@1996,Hampton,Christopher,,,,,
Hancock,D,IHc,@1973,Hancock,John,,,USA,,
Hand,D,DvH,@1937,Hand,David,,,USA,Ty(Cartoons) St(Disney),
Handa,D,VHd,@1997,Handa,Vipin,,,India,,
Handke,DW,PeH,1988,Handke,Peter,,,Germany,,
Hani,D,SuH,@1955,Hani,Susumu,,,,Ty(Nouvelle Vague Japonais),
Hanks,AD,THk,@1992-1998,Hanks,Tom,,,USA,,
Hansen,D,RfH,@1937-1954,Hansen,Rolf,1907,1981,Sweden,"Er(Ct,dow)",
Hanson,D,CHa,@1982-1995,Hanson,Curtis,,,USA,InB(Hitchcock),
Hara,D,KHa,@1987,Hara,Kazuo,,,Japan,,
J.Hardy,D,JHy,@1978,Hardy,Joseph,,,USA,,
R.Hardy,D,RHy,@1978,Hardy,Robin,,,USA,,
Hark,DWP,TsH,@1986,Hark,Tsui,,,Vietnam,,
Harlan,D,VtH,@1936-1964,Harlan,Veit,1899,1964,Germany,Ty(Nazi?),
Harlin,D,ReH,@1990-1993,Harlin,Renny,,,Finland,Mt(Geena Davis),,
Harling,WD,RHg,@1996,Harling,Robert,,,,,,
Harlow,D,IHw,@1940,Harlow,John,,,,,
Harmon,D,RbH,@1993,Harmon,Robert,,,,,
Harper,P,,1990,Harper,fn,,,USA,,
Harrington,D,CuH,@1963-1985,Harrington,Curtis,1928,,USA,,
Dm.Harris,D,DHr,@1991-1994,Harris,Damian,,,USA,,
D.Harris,D,DeH,@1980,Harris,Denny,,,USA,,
F.Harris,D,FrH,@1991,Harris,Frank,,,USA,,
L.Harris,D,LlH,@1993,Harris,Leslie,,,,,
J.B.Harris,PWD,JBH,@1965-1993,Harris,James B.,,,,,
W.Harris,WDA,WHj,@1991,Harris,Wendell jr.,,,USA,,
J.Harrison,WP,,1939-1965,Harrison,Joan,1915,,Great Britain,"Ww(Hitchcock, TV P@1944) Er(dob) Gd(F) Mt(Eric Ambler:B)",
J.Harrison,D,IHs,@1990,Harrison,John,,,,,
M.Harrison,D,MHa,@1997,Harrison,Matthew,,,,,
Harryhausen,V,,1953-1983,Harryhausen,Ray,,,USA,Aw(AA; 1982) InB(Willis~OBrien),
Hart,D,HvH,@1963-1964,Hart,Harvey,,,USA,Ww(Hitchcock; TV),
