Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Francis~Iles,B,,1935,Cox,Anthony Berkeley,,\Un,\Br,,
Im,D,KTI,@1993,Im,Kwon-Taek,19xx,\Un,\Ko rean,,
Imamura,D,ShI,@1950-1998,Imamura,Shohei,1927,\Un,\Ja,Nt(founded a film school),
Imboden,D,MaI,@1998,Imboden,Markus,,\Un,\Ge,,
R.Ince,AD,RaI,@1921-1937,Ince,Ralph,1882,1937,\Am,Ty(British quota quickies),
Th.Ince,DP,ThI,@1911-1925,Ince,Thomas H.,1882,1924,\Am,NT(innovative productions),
Rex~Ingram,AWD,RxI,@1921-1933,Hitchcock,Reginald,1892,1950,\Ir,"Inf(David Lean, Michael Powell)",
Iosseliani,D,OIo,@1993,Iosseliani,Otar,19xx,\Un,\Ct,,
D.Ireland,D,DIl,@1996,Ireland,Dan,19xx,\Un,\Ct,,
J.Ireland,AD,IIl,@1954,Ireland,John,1914,\Un,\Ca,,
Irvin,D,IIr,@1980-1996,Irvin,John,,\Un,\Br,Nt(works in US),
Irving,D,DIr,@1980-1984,Irving,David,,\Un,\Am,Er(dow),
Isasmendi,DWP,AII,@1964-1986,Isasmendi,Antonio Isasi,,199x,\Sp,,
Ismael,D,UsI,@1954,Ismael,Usmar,,\Un,\II,,
Israel,D,NIs,@1984,Israel,Neal,,\Un,\Am,,
Itami,DW,JI,@1984-1989,Itami,Juzo,1934,\Un,\Ja,Mt(Miyamoto Nobuko) InB(Ozu) Ch(Mansaku Itami),
Ivory,WD,JIv,@1953-1987,Ivory,James,1928,\Un,\Am,Nt(early films in India),
