Ref_name,codes,Did,years,last_n,first_n,dob,dod,bkgd,notes,
Vadim,D,RoV,@1956,Plemiannikoff,Roger Vadim,1927,,France,"Mt(Brigitte Bardot, Annette Stroyberg, Jane Fonda, Catherine Schneider, MarieChristine Barrault)",
Valdez,D,LVa,@1987,Valdex,Luis,[1],,USA,,
Valentine,C,,1943,Valentine,Joseph A.,,,,Er(A.?),
vanDamme,AP,JCD,1991,van Damme,Jean-Claude,,,,St(Imperial) Note(P;1991),
vanDiem,D,MvD,@1997,van Diem,Mike,,,Holland,,
VanDormael,D,JVD,@1991-1992,Van Dormael,Jaco,,,Belgium,,
VanDyke,D,WvD,@1918-1942,Van Dyke,"W.S., II",1889,1942,USA,"Nt(nick name: ""One-Take Woody"")",
vanHorn,D,BvH,@1978-1980,van Horn,Buddy,,,,,
vanLieshout,D,BvL,@1998,van Lieshout,Ben,,,Holland,,
MrVanPeebles,DA,MRP,@1991-1993,Van Peebles,Mario,1960,,USA,"Ch(MlVanPeebles, Maria Marx)",
MlVanPeebles,DA,MVP,@1967-1989,Van Peebles,Melvin,,,USA,,
vanSant,DW,GvS,@1988-1994,van Sant~jr.,Gus,1953,,USA,,
vanWarmerdam,ADW,AvW,@1984,van Warmerdam,Alex,1952,,Holland,InB(Hitchcock) Mt(Annet Malherbe; A),
Varda,D,AVa,@1962-1993,Varda,Agnes,,,France,Gd(F) Mt(Jacques Demy; D) Er(Warda),
Mr.Varnel,D,VrM,@1932-1947,Varnel,Marcel,1894,1947,France,Ty(Comd),
Mx.Varnel,D,VxM,@1958-1963,Varnel,Max,1925,,Great Britain,,
Vasquez,D,JVa,@1991,Vasquez,Joseph,,,USA,,
Vavra,D,OtV,@1937,Vavra,Otakar,19xx,,Czechoslovakia,,
Veber,WD,FrV,@1981-1986,Veber,Francis,[1],,France,,
Ventimiglia,C,,1925,Ventimiglia,Baron,,,,Ww(Hitchcock),
Verbinski,D,GVe,@1997,Verbinski,Gore,19xx,199x,,,
Verdone,D,CVe,@1999,Verdone,Carlo,19xx,19yy,,,
VerdonRoe,D,VVR,1990,VerdonRoe,Vivienne,19xx,,USA,Ty(Docu) Aw(AA),
Verheul,D,TVe,@1992,Verheul,Tom,19xx,,,,
M.Verhoeven,D,MVh,@1990,Verhoeven,Michael,[1],,,,
P.Verhoeven,D,PVh,@1981-1990,Verhoeven,Paul,[1],Holland,,
Verneuil,D,HVe,@1955,Verneuil,Henri,19xx,,France,,
Veronis,D,NVe,@1998,Veronis,Nick,,,,,
Verow,D,TVw,@1996,Verow,Todd,,,,,
Vertov,D,DzV,@1927-1941,Kaufman,Dennis (Dziga),1896,1954,Russia,Si(Boris Kaufman) Inf(Vigo),
VeSota,AD,BVS,@1955-1975,VeSota,Bruno,,,,,`
Victor,P,,1966,Victor,David,,,,,
Ch.Vidor,D,ChV,@1939-1957,Vidor,Charles,,,USA,,
K.Vidor,D,KV,@1918-1982,Vidor,King,1894,1982,USA,,
Viertel,D,Bvi,@1929-1936,Viertel,Berthold,1895,1953,Austria,,
Vigne,D,DaV,@1982,Vigne,Daniel,[1],,France,,
Vigo,D,JVi,@1930-1934,Almareyda,Jean,1905,1934,France,,
Villaronga,D,AgV,@1989,Villaronga,Agustin,,,Spain,,
Vilsmaier,D,JVm,@1985,Vilsmaier,Joseph,1938,,Germany,,
Vince,D,PTV,@1989,Vince,Pruit Taylor,,,,Er(sp),
Vincent,D,CVi,@1992,Vincent,Christian,,,,,
Vinterberg,D,TVb,@1998,Vinterberg,Thomas,,,Denmark,,
Viola,D,JVl,@1971,Viola,Joe,,,USA,Ww(Corman),
Virgien,D,NVg,@1998,Virgien,Norton,,,,,
Visconti,D,LuV,@1942-1976,Visconti de Modrone,Luchino,1906,1976,Italy,,
Petro~Vlahos,C?,,19dd,Vlahos,Petro,19xx,,,Aw(AA technical; 1993),
Vitale,D,TVi,@1997,Vitale,Tony,,199x,,,
Vohrer,D,AVo,@1962,Vohrer,Alfred,19xx,,Germany,,
vonPraunheim,WD,RvP,@1971,Miscwitzy,"Rosa, ex Holger",1942,,Germany,Gd(M),
vonTrier,D,LvT,@1988-1997,von Trier,Lars,1956,,Denmark,Inb(Hitchcock),
vonScherlerMayer,D,vSM,@1998,von Scherler Mayer,Daisy,,,,,
vonTrotta,D,MvT,@1990,von Trotta,Margaretha,,,Germany,,
Vorhaus,D,BVo,@1947,Vorhaus,Bernard,,,,,
Vorkapich,D,SlV,@1961,Vorkapich,Slauko,,,Canada,,
vonStroheim,DA,EvS,@1918-1928,Stroheim von Nordenwall,Hans Erich Maria,1885,1957,Austria,,
Voulgaris,D,PVg,@1972,Voulgaris,Pantellis,19xx,,Greece,,
Vrettakos,D,CVr,@1987,Vrettakos,Costas,19xx,,Greece,,
